"","date","timestamp","announce_date","created_at","score","date_tbd","url","id","visible_until_utc","datetime_tbd","type","short_title","description","datetime_local","time_tbd","popularity","title","status","datetime_utc","is_open","general_admission","highest_price","visible_listing_count","lowest_price","median_price","average_price","listing_count","lowest_price_good_deals","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","state","score_venue","name","url_venue","timezone","slug","display_location","id_venue","popularity_venue","metro_code","name_v2","has_upcoming_events","city","country","num_upcoming_events","postal_code","address","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"152","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:51",0.936,FALSE,"https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099",4347099,"2018-12-10T01:25:00",FALSE,"nfl","Lions at Cardinals","","2018-12-09T14:25:00",FALSE,0.82,"Detroit Lions at Arizona Cardinals","normal","2018-12-09T21:25:00",FALSE,NA,1214,1110,23,104,127.273766,2451,NA,"2018-08-24T21:53:42Z","QRCODE",FALSE,"AZ",0.93402725,"State Farm Stadium","https://seatgeek.com/venues/state-farm-stadium/tickets","America/Phoenix","state-farm-stadium","Glendale, AZ",43,0,753,"State Farm Stadium",TRUE,"Glendale","US",9,"85305","1 Cardinals Drive","Glendale, AZ 85305",33.5294,-112.262,"2015-12-21T17:26:05Z","NONE",FALSE
"153","2018-10-04","2018-10-04_11.07.19","2018-04-05T00:00:00","2018-04-05T23:08:46",1.004,FALSE,"https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919",4327919,"2018-12-10T01:25:00",FALSE,"nfl","Eagles at Cowboys","","2018-12-09T15:25:00",FALSE,0.868,"Philadelphia Eagles at Dallas Cowboys","normal","2018-12-09T21:25:00",TRUE,NA,4309,2431,44,354,427.51617,2877,44,"2018-04-17T22:02:33Z","QRCODE",FALSE,"TX",0.9751414,"AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago","at-t-stadium","Arlington, TX",4965,0,623,"AT&T Stadium",TRUE,"Arlington","US",24,"76011","1 AT&T Way","Arlington, TX 76011",32.7459,-97.0957,"2018-04-17T22:02:33Z","QRCODE",FALSE
"154","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T01:04:24",0.939,FALSE,"https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151",4347151,"2018-12-10T05:20:00",FALSE,"nfl","Steelers at Raiders","","2018-12-09T17:20:00",FALSE,0.812,"Pittsburgh Steelers at Oakland Raiders","normal","2018-12-10T01:20:00",FALSE,NA,1794,657,175,380,407.30792,354,175,"2018-08-24T21:53:42Z","QRCODE",FALSE,"CA",0.7817843,"Oakland-Alameda County Coliseum","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","America/Los_Angeles","oakland-alameda-county-coliseum","Oakland, CA",14,0,807,"Oakland-Alameda County Coliseum",TRUE,"Oakland","US",8,"94621","7000 Coliseum Way","Oakland, CA 94621",37.7469,-122.201,"2015-06-24T00:00:00Z","PDF417",FALSE
"155","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:55",0.956,FALSE,"https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123",4347123,"2018-12-11T05:15:00",FALSE,"nfl","Vikings at Seahawks","","2018-12-10T17:15:00",FALSE,0.825,"Minnesota Vikings at Seattle Seahawks","normal","2018-12-11T01:15:00",FALSE,NA,1341,746,156,357,380.19525,338,139,"2018-08-24T21:53:42Z","QRCODE",FALSE,"WA",0.87232786,"CenturyLink Field","https://seatgeek.com/venues/centurylink-field/tickets","America/Los_Angeles","centurylink-field","Seattle, WA",339,0,819,"CenturyLink Field",TRUE,"Seattle","US",11,"98134","800 Occidental Ave S","Seattle, WA 98134",47.6,-122.33,"2018-03-02T22:54:54Z","QRCODE",FALSE
"156","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:26",0.922,FALSE,"https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978",4346978,"2018-12-14T05:20:00",FALSE,"nfl","Chargers at Chiefs","","2018-12-13T19:20:00",FALSE,0.796,"Los Angeles Chargers at Kansas City Chiefs","normal","2018-12-14T01:20:00",FALSE,NA,700,1098,42,125,146.33043,917,42,"2018-08-24T21:53:42Z","QRCODE",FALSE,"MO",0.8827867,"Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","America/Chicago","arrowhead-stadium","Kansas City, MO",1128,0,616,"Arrowhead Stadium",TRUE,"Kansas City","US",8,"64129","1 Arrowhead Drive","Kansas City, MO 64129",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"157","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:35",0.945,FALSE,"https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015",4347015,"2018-12-16T01:30:00",FALSE,"nfl","Texans at Jets","","2018-12-15T16:30:00",FALSE,0.815,"Houston Texans at New York Jets","normal","2018-12-15T21:30:00",FALSE,NA,917,1324,32,122,147.68127,1164,28,"2018-08-24T21:53:42Z","QRCODE",FALSE,"NJ",0.94873494,"MetLife Stadium","https://seatgeek.com/venues/metlife-stadium/tickets","America/New_York","metlife-stadium","East Rutherford, NJ",1587,0,501,"MetLife Stadium",TRUE,"East Rutherford","US",15,"07073","1 MetLife Stadium Drive","East Rutherford, NJ 07073",40.8142,-74.0737,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"158","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T01:04:04",0.902,FALSE,"https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135",4347135,"2018-12-16T01:30:00",FALSE,"nfl","Browns at Broncos","","2018-12-15T14:30:00",FALSE,0.789,"Cleveland Browns at Denver Broncos","normal","2018-12-15T21:30:00",FALSE,NA,1186,631,129,244,311.2233,103,95,"2018-08-24T21:53:42Z","QRCODE",FALSE,"CO",0.9028296,"Sports Authority Field at Mile High","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","America/Denver","sports-authority-field-at-mile-high","Denver, CO",1131,0,751,"Sports Authority Field at Mile High",TRUE,"Denver","US",6,"80204","1701 Bryant Street","Denver, CO 80204",39.74,-105.02,"2015-08-07T18:39:02Z","QRCODE_TM",FALSE
"159","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:41",0.931,FALSE,"https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047",4347047,"2018-12-16T22:00:00",FALSE,"nfl","Cardinals at Falcons","","2018-12-16T13:00:00",FALSE,0.812,"Arizona Cardinals at Atlanta Falcons","normal","2018-12-16T18:00:00",FALSE,NA,1196,1216,66,149,182.69281,1058,64,"2018-08-24T21:53:42Z","QRCODE",FALSE,"GA",0.76958936,"Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","America/New_York","mercedes-benz-stadium","Atlanta, GA",419590,0,0,"Mercedes-Benz Stadium",TRUE,"Atlanta","US",19,"30313","35 Northside Dr NW","Atlanta, GA 30313",33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"160","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:43",0.886,FALSE,"https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057",4347057,"2018-12-16T22:00:00",FALSE,"nfl","Lions at Bills","","2018-12-16T13:00:00",FALSE,0.773,"Detroit Lions at Buffalo Bills","normal","2018-12-16T18:00:00",FALSE,NA,638,1486,22,56,76.388435,1349,22,"2018-08-24T21:53:42Z","QRCODE",FALSE,"NY",0.8815085,"New Era Field","https://seatgeek.com/venues/new-era-field/tickets","America/New_York","new-era-field","Orchard Park, NY",1135,0,514,"New Era Field",TRUE,"Orchard Park","US",7,"14127","1 Bills Drive","Orchard Park, NY 14127",42.7737,-78.7874,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
"161","2018-10-04","2018-10-04_11.07.19","2018-04-20T00:00:00","2018-04-20T00:47:20",0.965,FALSE,"https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955",4346955,"2018-12-16T22:00:00",FALSE,"nfl","Cowboys at Colts","","2018-12-16T13:00:00",FALSE,0.837,"Dallas Cowboys at Indianapolis Colts","normal","2018-12-16T18:00:00",FALSE,NA,1983,936,119,247,305.35455,440,119,"2018-08-24T21:53:42Z","QRCODE",FALSE,"IN",0.9071682,"Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis","lucas-oil-stadium","Indianapolis, IN",1130,0,527,"Lucas Oil Stadium",TRUE,"Indianapolis","US",12,"46225","500 South Capitol Avenue","Indianapolis, IN 46225",39.7601,-86.1639,"2018-09-13T22:29:37Z","QRCODE_TM",FALSE
