"","date","timestamp","is_open","description","created_at","datetime_local","visible_until_utc","popularity","datetime_utc","title","type","announce_date","url","date_tbd","datetime_tbd","id","time_tbd","short_title","status","score","general_admission","average_price","lowest_price","highest_price","listing_count","lowest_price_good_deals","median_price","visible_listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","timezone","display_location","name_v2","name","address","popularity_venue","extended_address","city","has_upcoming_events","country","postal_code","url_venue","num_upcoming_events","id_venue","slug","state","score_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"153","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:16","2018-11-18T13:00:00","2018-11-18T22:00:00",0.834,"2018-11-18T18:00:00","Tampa Bay Buccaneers at New York Giants","nfl","2018-04-20T00:00:00","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929",FALSE,FALSE,4346929,FALSE,"Buccaneers at Giants","normal",0.906,NA,263.34,96,1500,597,96,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","East Rutherford, NJ","MetLife Stadium","MetLife Stadium","1 MetLife Stadium Drive",0,"East Rutherford, NJ 07073","East Rutherford",TRUE,"US","07073","https://seatgeek.com/venues/metlife-stadium/tickets",19,1587,"metlife-stadium","NJ",0.94873494,-74.0737,40.8142,"2015-09-12T14:14:07Z","QRCODE_TM",FALSE
"154","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:17","2018-11-18T13:00:00","2018-11-18T22:00:00",0.835,"2018-11-18T18:00:00","Houston Texans at Washington Redskins","nfl","2018-04-20T00:00:00","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939",FALSE,FALSE,4346939,FALSE,"Texans at Redskins","normal",0.903,NA,184.38,84,458,746,84,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","Landover, MD","FedEx Field","FedEx Field","1600 Fedex Way",0,"Landover, MD 20785","Landover",TRUE,"US","20785","https://seatgeek.com/venues/fedex-field/tickets",9,35,"fedex-field","MD",0.9333444,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"155","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:51","2018-11-18T14:05:00","2018-11-19T01:05:00",0.847,"2018-11-18T21:05:00","Oakland Raiders at Arizona Cardinals","nfl","2018-04-20T00:00:00","https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100",FALSE,FALSE,4347100,FALSE,"Raiders at Cardinals","normal",0.913,NA,293.62,127,608,85,130,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Phoenix","Glendale, AZ","State Farm Stadium","State Farm Stadium","1 Cardinals Drive",0,"Glendale, AZ 85305","Glendale",TRUE,"US","85305","https://seatgeek.com/venues/state-farm-stadium/tickets",10,43,"state-farm-stadium","AZ",0.93402725,-112.262,33.5294,"2015-12-21T17:26:05Z","NONE",FALSE
"156","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:52","2018-11-18T13:05:00","2018-11-19T01:05:00",0.837,"2018-11-18T21:05:00","Denver Broncos at Los Angeles Chargers","nfl","2018-04-20T00:00:00","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110",FALSE,FALSE,4347110,FALSE,"Broncos at Chargers","normal",0.918,NA,299.29,186,767,350,186,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Los_Angeles","Carson, CA","StubHub Center","StubHub Center","18400 Avalon Blvd",0,"Carson, CA 90746","Carson",TRUE,"US","90746","https://seatgeek.com/venues/stubhub-center/tickets",13,52,"stubhub-center","CA",0.7228164,-118.261,33.8643,NA,NA,NA
"157","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:19","2018-11-18T20:20:00","2018-11-19T05:20:00",0.79,"2018-11-19T01:20:00","Pittsburgh Steelers at Jacksonville Jaguars","nfl","2018-04-20T00:00:00","https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-tiaa-bank-field/nfl/4346947",FALSE,FALSE,4346947,FALSE,"Steelers at Jaguars","normal",0.855,NA,380.33,165,1046,491,165,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/New_York","Jacksonville, FL","TIAA Bank Field","TIAA Bank Field","1 Everbank Field Dr",0,"Jacksonville, FL 32202","Jacksonville",TRUE,"US","32202","https://seatgeek.com/venues/tiaa-bank-field/tickets",10,5178,"tiaa-bank-field","FL",0.83759147,-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"158","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T01:04:04","2018-11-19T19:15:00","2018-11-20T05:15:00",0.784,"2018-11-20T01:15:00","Kansas City Chiefs at Los Angeles Rams","nfl","2018-04-20T00:00:00","https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",FALSE,FALSE,4347137,FALSE,"Chiefs at Rams","normal",0.848,NA,366.71,152,679,70,152,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Mexico_City","Mexico City, Mexico","Estadio Azteca","Estadio Azteca","Calzada de Tlalpan 3665",0,"Mexico City, Mexico","Mexico City",TRUE,"Mexico","14370","https://seatgeek.com/venues/estadio-azteca-2/tickets",1,41952,"estadio-azteca-2",NA,0,-99.15,19.3,NA,NA,NA
"159","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-04-20T00:47:36","2018-11-22T12:30:00","2018-11-22T21:30:00",0.845,"2018-11-22T17:30:00","Chicago Bears at Detroit Lions","nfl","2018-04-20T00:00:00","https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024",FALSE,FALSE,4347024,FALSE,"Bears at Lions","normal",0.913,NA,205.55,103,1198,540,106,NA,NA,"2018-08-24T21:53:40Z","QRCODE",FALSE,"America/Detroit","Detroit, MI","Ford Field","Ford Field","2000 Brush St.",0,"Detroit, MI 48226","Detroit",TRUE,"US","48226","https://seatgeek.com/venues/ford-field/tickets",10,346,"ford-field","MI",0.9029952,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"160","2018-09-10","2018-09-10_11.01.00",TRUE,"","2018-04-05T23:08:47","2018-11-22T15:30:00","2018-11-23T01:30:00",0.858,"2018-11-22T21:30:00","Washington Redskins at Dallas Cowboys","nfl","2018-04-05T00:00:00","https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921",FALSE,FALSE,4327921,FALSE,"Redskins at Cowboys","normal",0.942,NA,397.99,35,4309,2910,35,NA,NA,"2018-04-17T22:02:33Z","QRCODE",FALSE,"America/Chicago","Arlington, TX","AT&T Stadium","AT&T Stadium","1 AT&T Way",0,"Arlington, TX 76011","Arlington",TRUE,"US","76011","https://seatgeek.com/venues/at-t-stadium/tickets",24,4965,"at-t-stadium","TX",0.9751414,-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"161","2018-09-10","2018-09-10_11.01.00",TRUE,"","2018-04-20T00:47:24","2018-11-22T19:20:00","2018-11-23T05:20:00",0.803,"2018-11-23T01:20:00","Atlanta Falcons at New Orleans Saints","nfl","2018-04-20T00:00:00","https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968",FALSE,FALSE,4346968,FALSE,"Falcons at Saints","normal",0.873,NA,327.11,119,4200,1306,119,NA,NA,"2018-05-29T20:39:22Z","QRCODE",FALSE,"America/Chicago","New Orleans, LA","Mercedes-Benz Superdome","Mercedes-Benz Superdome","1500 Sugar Bowl Drive",0,"New Orleans, LA 70112","New Orleans",TRUE,"US","70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",19,128,"mercedes-benz-superdome","LA",0.8966978,-90.0786,29.9515,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"162","2018-09-10","2018-09-10_11.01.00",FALSE,"","2018-02-28T15:00:16","2018-11-23T12:00:00","2018-11-23T22:00:00",0.36,"2018-11-23T18:00:00","Coastal Carolina Chanticleers at South Alabama Jaguars Football","ncaa_football","2018-02-28T00:00:00","https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-12-pm/4281983",FALSE,FALSE,4281983,FALSE,"Coastal Carolina at South Alabama","normal",0.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"America/Chicago","Mobile, AL","Ladd Peebles Stadium","Ladd Peebles Stadium","1621 Virginia St.",0,"Mobile, AL 36604","Mobile",TRUE,"US","36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",7,3716,"ladd-peebles-stadium","AL",0.50177634,-88.0761,30.6748,NA,NA,NA
