"","date","timestamp","short_title","title","created_at","date_tbd","datetime_tbd","popularity","description","url","visible_until_utc","datetime_utc","id","announce_date","is_open","score","status","type","datetime_local","time_tbd","general_admission","lowest_price","visible_listing_count","median_price","listing_count","lowest_price_good_deals","average_price","highest_price","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","state","postal_code","timezone","country","extended_address","slug","url_venue","has_upcoming_events","popularity_venue","id_venue","address","score_venue","metro_code","display_location","name","name_v2","num_upcoming_events","city","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"78","2018-09-19","2018-09-19_08.16.19","Saints at Ravens","New Orleans Saints at Baltimore Ravens","2018-04-20T00:47:45",FALSE,FALSE,0.837,"","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-22T00:05:00","2018-10-21T20:05:00",4347071,"2018-04-20T00:00:00",FALSE,0.871,"normal","nfl","2018-10-21T16:05:00",FALSE,NA,57,913,127,482,57,154.139,607,"QRCODE",FALSE,"2018-08-24T21:53:38Z","MD","21230","America/New_York","US","Baltimore, MD 21230","m-t-bank-stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets",TRUE,0,1121,"1101 Russell St",0.8927189,512,"Baltimore, MD","M&T Bank Stadium","M&T Bank Stadium",8,"Baltimore",-76.623,39.2774,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"79","2018-09-19","2018-09-19_08.16.19","Cowboys at Redskins","Dallas Cowboys at Washington Redskins","2018-04-20T00:47:18",FALSE,FALSE,0.923,"","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-10-22T00:25:00","2018-10-21T20:25:00",4346941,"2018-04-20T00:00:00",FALSE,0.979,"normal","nfl","2018-10-21T16:25:00",FALSE,NA,186,1096,309,684,183,355.3377,1192,"QRCODE",FALSE,"2018-08-24T21:53:38Z","MD","20785","America/New_York","US","Landover, MD 20785","fedex-field","https://seatgeek.com/venues/fedex-field/tickets",TRUE,0,35,"1600 Fedex Way",0.9333444,511,"Landover, MD","FedEx Field","FedEx Field",7,"Landover",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"80","2018-09-19","2018-09-19_08.16.19","Rams at 49ers","Los Angeles Rams at San Francisco 49ers","2018-04-20T00:47:54",FALSE,FALSE,0.871,"","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-10-22T04:20:00","2018-10-22T00:20:00",4347118,"2018-04-20T00:00:00",FALSE,0.918,"normal","nfl","2018-10-21T17:20:00",FALSE,NA,109,1031,213,832,103,250.7488,2989,"QRCODE",FALSE,"2018-08-24T21:53:38Z","CA","95054","America/Los_Angeles","US","Santa Clara, CA 95054","levi-s-stadium","https://seatgeek.com/venues/levi-s-stadium/tickets",TRUE,0,58670,"4900 Marie P DeBartolo Way",0.95768774,0,"Santa Clara, CA","Levi's Stadium","Levi's Stadium",12,"Santa Clara",-121.969,37.4023,"QRCODE_TM",FALSE,"2015-07-10T00:00:00Z"
"81","2018-09-19","2018-09-19_08.16.19","Giants at Falcons","New York Giants at Atlanta Falcons","2018-04-20T00:47:42",FALSE,FALSE,0.882,"","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-10-23T04:15:00","2018-10-23T00:15:00",4347050,"2018-04-20T00:00:00",FALSE,0.93,"normal","nfl","2018-10-22T20:15:00",FALSE,NA,128,924,285,670,122,317.0015,1795,"QRCODE",FALSE,"2018-08-24T21:53:38Z","GA","30313","America/New_York","US","Atlanta, GA 30313","mercedes-benz-stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets",TRUE,0,419590,"441 M.L.K. Jr Dr NW",0.76958936,0,"Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium",19,"Atlanta",-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"82","2018-09-19","2018-09-19_08.16.19","Troy at South Alabama","Troy Trojans at South Alabama Jaguars Football","2018-02-28T15:00:17",FALSE,FALSE,0.378,"","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-10-24T04:00:00","2018-10-24T00:00:00",4281985,"2018-02-28T00:00:00",FALSE,0.275,"normal","ncaa_football","2018-10-23T19:00:00",FALSE,NA,26,11,42,29,26,45.310345,93,NA,NA,NA,"AL","36604","America/Chicago","US","Mobile, AL 36604","ladd-peebles-stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",TRUE,0,3716,"1621 Virginia St.",0.50177634,686,"Mobile, AL","Ladd Peebles Stadium","Ladd Peebles Stadium",6,"Mobile",-88.0761,30.6748,NA,NA,NA
"83","2018-09-19","2018-09-19_08.16.19","Dolphins at Texans","Miami Dolphins at Houston Texans","2018-04-20T00:47:36",FALSE,FALSE,0.841,"","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-10-26T04:20:00","2018-10-26T00:20:00",4347018,"2018-04-20T00:00:00",FALSE,0.891,"normal","nfl","2018-10-25T19:20:00",FALSE,NA,42,996,134,484,42,167.21901,715,"QRCODE",FALSE,"2018-08-24T21:53:38Z","TX","77054","America/Chicago","US","Houston, TX 77054","nrg-stadium","https://seatgeek.com/venues/nrg-stadium/tickets",TRUE,0,41,"1 Reliant Park",0.8624192,618,"Houston, TX","NRG Stadium","NRG Stadium",44,"Houston",-95.4107,29.6847,"QRCODE_TM",FALSE,"2015-11-04T18:42:27Z"
"84","2018-09-19","2018-09-19_08.16.19","Buccaneers at Bengals","Tampa Bay Buccaneers at Cincinnati Bengals","2018-04-20T00:47:40",FALSE,FALSE,0.822,"","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-10-28T21:00:00","2018-10-28T17:00:00",4347041,"2018-04-20T00:00:00",FALSE,0.862,"normal","nfl","2018-10-28T13:00:00",FALSE,NA,40,902,90,613,40,99.48287,332,"QRCODE",FALSE,"2018-08-24T21:53:39Z","OH","45202","America/New_York","US","Cincinnati, OH 45202","paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets",TRUE,0,1124,"1 Paul Brown Stadium",0.86166537,515,"Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium",7,"Cincinnati",-84.5177,39.0961,"QRCODE_TM",FALSE,"2015-10-09T16:14:37Z"
"85","2018-09-19","2018-09-19_08.16.19","Seahawks at Lions","Seattle Seahawks at Detroit Lions","2018-04-20T00:47:37",FALSE,FALSE,0.869,"","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-10-28T21:00:00","2018-10-28T17:00:00",4347026,"2018-04-20T00:00:00",FALSE,0.914,"normal","nfl","2018-10-28T13:00:00",FALSE,NA,70,NA,NA,430,72,163.23,780,"QRCODE",FALSE,"2018-08-24T21:53:39Z","MI","48226","America/Detroit","US","Detroit, MI 48226","ford-field","https://seatgeek.com/venues/ford-field/tickets",TRUE,0,346,"2000 Brush St.",0.9029952,505,"Detroit, MI","Ford Field","Ford Field",9,"Detroit",-83.0459,42.34,"NONE",FALSE,"2015-11-04T17:31:52Z"
"86","2018-09-19","2018-09-19_08.16.19","Redskins at Giants","Washington Redskins at New York Giants","2018-04-20T00:47:17",FALSE,FALSE,0.874,"","https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-10-28T21:00:00","2018-10-28T17:00:00",4346940,"2018-04-20T00:00:00",FALSE,0.933,"normal","nfl","2018-10-28T13:00:00",FALSE,NA,133,1397,230,468,125,289.84402,1498,"QRCODE",FALSE,"2018-08-24T21:53:39Z","NJ","07073","America/New_York","US","East Rutherford, NJ 07073","metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets",TRUE,0,1587,"1 MetLife Stadium Drive",0.94873494,501,"East Rutherford, NJ","MetLife Stadium","MetLife Stadium",17,"East Rutherford",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"87","2018-09-19","2018-09-19_08.16.19","Ravens at Panthers","Baltimore Ravens at Carolina Panthers","2018-04-20T00:47:45",FALSE,FALSE,0.842,"","https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-10-28T21:00:00","2018-10-28T17:00:00",4347070,"2018-04-20T00:00:00",FALSE,0.888,"normal","nfl","2018-10-28T13:00:00",FALSE,NA,87,827,167,383,87,216.97128,648,"QRCODE",FALSE,"2018-08-24T21:53:39Z","NC","28202","America/New_York","US","Charlotte, NC 28202","bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets",TRUE,0,1122,"800 South Mint Street",0.8968222,517,"Charlotte, NC","Bank of America Stadium","Bank of America Stadium",9,"Charlotte",-80.8524,35.2243,"QRCODE_TM",FALSE,"2015-09-25T18:23:51Z"
