"","date","timestamp","short_title","popularity","title","visible_until_utc","type","score","datetime_utc","announce_date","date_tbd","status","url","datetime_local","created_at","is_open","description","datetime_tbd","id","time_tbd","general_admission","highest_price","average_price","lowest_price_good_deals","listing_count","lowest_price","visible_listing_count","median_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","popularity_venue","score_venue","name_v2","timezone","postal_code","state","slug","name","display_location","country","url_venue","address","num_upcoming_events","city","has_upcoming_events","id_venue","extended_address","lat","lon","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"95","2018-09-10","2018-09-10_15.59.48","Panthers at Eagles",0.907,"Carolina Panthers at Philadelphia Eagles","2018-10-21T21:00:00","nfl",0.913,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036","2018-10-21T13:00:00","2018-04-20T00:47:39",FALSE,"",FALSE,4347036,FALSE,NA,3680,435.55,211,396,211,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.90542686,"Lincoln Financial Field","America/New_York","19148","PA","lincoln-financial-field","Lincoln Financial Field","Philadelphia, PA","US","https://seatgeek.com/venues/lincoln-financial-field/tickets","1020 Pattison Ave",16,"Philadelphia",TRUE,330,"Philadelphia, PA 19148",39.9046,-75.1675,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"96","2018-09-10","2018-09-10_15.59.48","Bengals at Chiefs",0.884,"Cincinnati Bengals at Kansas City Chiefs","2018-10-21T21:00:00","nfl",0.885,"2018-10-21T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982","2018-10-21T12:00:00","2018-04-20T00:47:27",FALSE,"",FALSE,4346982,FALSE,NA,602,136.68,42,1012,42,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.8827867,"Arrowhead Stadium","America/Chicago","64129","MO","arrowhead-stadium","Arrowhead Stadium","Kansas City, MO","US","https://seatgeek.com/venues/arrowhead-stadium/tickets","1 Arrowhead Drive",9,"Kansas City",TRUE,1128,"Kansas City, MO 64129",39.0489,-94.4839,"2015-08-20T16:20:51Z","QRCODE_TM",FALSE
"97","2018-09-10","2018-09-10_15.59.48","Saints at Ravens",0.862,"New Orleans Saints at Baltimore Ravens","2018-10-22T00:05:00","nfl",0.86,"2018-10-21T20:05:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071","2018-10-21T16:05:00","2018-04-20T00:47:45",FALSE,"",FALSE,4347071,FALSE,NA,607,169.51,57,368,57,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.8927189,"M&T Bank Stadium","America/New_York","21230","MD","m-t-bank-stadium","M&T Bank Stadium","Baltimore, MD","US","https://seatgeek.com/venues/m-t-bank-stadium/tickets","1101 Russell St",8,"Baltimore",TRUE,1121,"Baltimore, MD 21230",39.2774,-76.623,"2015-08-04T00:00:00Z","QRCODE_TM",FALSE
"98","2018-09-10","2018-09-10_15.59.48","Cowboys at Redskins",0.957,"Dallas Cowboys at Washington Redskins","2018-10-22T00:25:00","nfl",0.972,"2018-10-21T20:25:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941","2018-10-21T16:25:00","2018-04-20T00:47:18",FALSE,"",FALSE,4346941,FALSE,NA,1262,373.25,201,612,201,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.9333444,"FedEx Field","America/New_York","20785","MD","fedex-field","FedEx Field","Landover, MD","US","https://seatgeek.com/venues/fedex-field/tickets","1600 Fedex Way",9,"Landover",TRUE,35,"Landover, MD 20785",38.9071,-76.8658,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"99","2018-09-10","2018-09-10_15.59.48","Rams at 49ers",0.905,"Los Angeles Rams at San Francisco 49ers","2018-10-22T04:20:00","nfl",0.914,"2018-10-22T00:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118","2018-10-21T17:20:00","2018-04-20T00:47:54",FALSE,"",FALSE,4347118,FALSE,NA,2998,265.45,104,843,104,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.95768774,"Levi's Stadium","America/Los_Angeles","95054","CA","levi-s-stadium","Levi's Stadium","Santa Clara, CA","US","https://seatgeek.com/venues/levi-s-stadium/tickets","4900 Marie P DeBartolo Way",13,"Santa Clara",TRUE,58670,"Santa Clara, CA 95054",37.4023,-121.969,"2015-07-10T00:00:00Z","QRCODE_TM",FALSE
"100","2018-09-10","2018-09-10_15.59.48","Giants at Falcons",0.917,"New York Giants at Atlanta Falcons","2018-10-23T04:15:00","nfl",0.925,"2018-10-23T00:15:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-10-22T20:15:00","2018-04-20T00:47:42",FALSE,"",FALSE,4347050,FALSE,NA,1804,333.06,122,622,122,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.76958936,"Mercedes-Benz Stadium","America/New_York","30313","GA","mercedes-benz-stadium","Mercedes-Benz Stadium","Atlanta, GA","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","441 M.L.K. Jr Dr NW",15,"Atlanta",TRUE,419590,"Atlanta, GA 30313",33.76,-84.4,"2018-08-23T20:14:46Z","QRCODE",FALSE
"101","2018-09-10","2018-09-10_15.59.48","Troy at South Alabama",0.371,"Troy Trojans at South Alabama Jaguars Football","2018-10-24T04:00:00","ncaa_football",0.298,"2018-10-24T00:00:00","2018-02-28T00:00:00",FALSE,"normal","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-10-23T19:00:00","2018-02-28T15:00:17",FALSE,"",FALSE,4281985,FALSE,NA,93,46.6,32,26,32,NA,NA,NA,NA,NA,0,0.50177634,"Ladd Peebles Stadium","America/Chicago","36604","AL","ladd-peebles-stadium","Ladd Peebles Stadium","Mobile, AL","US","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","1621 Virginia St.",7,"Mobile",TRUE,3716,"Mobile, AL 36604",30.6748,-88.0761,NA,NA,NA
"102","2018-09-10","2018-09-10_15.59.48","Dolphins at Texans",0.866,"Miami Dolphins at Houston Texans","2018-10-26T04:20:00","nfl",0.876,"2018-10-26T00:20:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-10-25T19:20:00","2018-04-20T00:47:36",FALSE,"",FALSE,4347018,FALSE,NA,1198,180.95,49,501,49,NA,NA,"2018-08-24T21:53:38Z","QRCODE",FALSE,0,0.8624192,"NRG Stadium","America/Chicago","77054","TX","nrg-stadium","NRG Stadium","Houston, TX","US","https://seatgeek.com/venues/nrg-stadium/tickets","1 Reliant Park",46,"Houston",TRUE,41,"Houston, TX 77054",29.6847,-95.4107,"2015-11-04T18:42:27Z","QRCODE_TM",FALSE
"103","2018-09-10","2018-09-10_15.59.48","Seahawks at Lions",0.902,"Seattle Seahawks at Detroit Lions","2018-10-28T21:00:00","nfl",0.907,"2018-10-28T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-10-28T13:00:00","2018-04-20T00:47:37",FALSE,"",FALSE,4347026,FALSE,NA,786,164,72,448,71,NA,NA,"2018-08-24T21:53:39Z","QRCODE",FALSE,0,0.9029952,"Ford Field","America/Detroit","48226","MI","ford-field","Ford Field","Detroit, MI","US","https://seatgeek.com/venues/ford-field/tickets","2000 Brush St.",10,"Detroit",TRUE,346,"Detroit, MI 48226",42.34,-83.0459,"2015-11-04T17:31:52Z","NONE",FALSE
"104","2018-09-10","2018-09-10_15.59.48","Buccaneers at Bengals",0.85,"Tampa Bay Buccaneers at Cincinnati Bengals","2018-10-28T21:00:00","nfl",0.852,"2018-10-28T17:00:00","2018-04-20T00:00:00",FALSE,"normal","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-10-28T13:00:00","2018-04-20T00:47:40",FALSE,"",FALSE,4347041,FALSE,NA,332,99.15,39,683,39,NA,NA,"2018-08-24T21:53:39Z","QRCODE",FALSE,0,0.86166537,"Paul Brown Stadium","America/New_York","45202","OH","paul-brown-stadium","Paul Brown Stadium","Cincinnati, OH","US","https://seatgeek.com/venues/paul-brown-stadium/tickets","1 Paul Brown Stadium",8,"Cincinnati",TRUE,1124,"Cincinnati, OH 45202",39.0961,-84.5177,"2015-10-09T16:14:37Z","QRCODE_TM",FALSE
