"","date","timestamp","created_at","status","description","datetime_utc","date_tbd","popularity","score","time_tbd","is_open","visible_until_utc","url","datetime_tbd","id","announce_date","type","datetime_local","short_title","title","general_admission","listing_count","median_price","lowest_price_good_deals","average_price","lowest_price","highest_price","visible_listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","address","has_upcoming_events","display_location","metro_code","extended_address","popularity_venue","score_venue","state","country","name","url_venue","slug","postal_code","id_venue","timezone","name_v2","num_upcoming_events","city","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"75","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:39","normal","","2018-10-21T17:00:00",FALSE,0.887,0.932,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",FALSE,4347036,"2018-04-20T00:00:00","nfl","2018-10-21T13:00:00","Panthers at Eagles","Carolina Panthers at Philadelphia Eagles",NA,353,388,156,431.35977,211,3680,935,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1020 Pattison Ave",TRUE,"Philadelphia, PA",504,"Philadelphia, PA 19148",0,0.90542686,"PA","US","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","19148",330,"America/New_York","Lincoln Financial Field",16,"Philadelphia",39.9046,-75.1675,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"76","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:27","normal","","2018-10-21T17:00:00",FALSE,0.859,0.896,FALSE,FALSE,"2018-10-21T21:00:00","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982",FALSE,4346982,"2018-04-20T00:00:00","nfl","2018-10-21T12:00:00","Bengals at Chiefs","Cincinnati Bengals at Kansas City Chiefs",NA,990,135,48,147.09596,48,607,1129,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1 Arrowhead Drive",TRUE,"Kansas City, MO",616,"Kansas City, MO 64129",0,0.8827867,"MO","US","Arrowhead Stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium","64129",1128,"America/Chicago","Arrowhead Stadium",9,"Kansas City",39.0489,-94.4839,"2015-08-20T16:20:51Z",FALSE,"QRCODE_TM"
"77","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:45","normal","","2018-10-21T20:05:00",FALSE,0.833,0.864,FALSE,FALSE,"2018-10-22T00:05:00","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",FALSE,4347071,"2018-04-20T00:00:00","nfl","2018-10-21T16:05:00","Saints at Ravens","New Orleans Saints at Baltimore Ravens",NA,462,129,58,156.47186,58,608,960,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1101 Russell St",TRUE,"Baltimore, MD",512,"Baltimore, MD 21230",0,0.8927189,"MD","US","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium","21230",1121,"America/New_York","M&T Bank Stadium",8,"Baltimore",39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"78","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:18","normal","","2018-10-21T20:25:00",FALSE,0.926,0.976,FALSE,FALSE,"2018-10-22T00:25:00","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",FALSE,4346941,"2018-04-20T00:00:00","nfl","2018-10-21T16:25:00","Cowboys at Redskins","Dallas Cowboys at Washington Redskins",NA,654,307,171,353.44955,185,1095,1122,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1600 Fedex Way",TRUE,"Landover, MD",511,"Landover, MD 20785",0,0.9333444,"MD","US","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets","fedex-field","20785",35,"America/New_York","FedEx Field",7,"Landover",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"79","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:54","normal","","2018-10-22T00:20:00",FALSE,0.881,0.928,FALSE,FALSE,"2018-10-22T04:20:00","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118",FALSE,4347118,"2018-04-20T00:00:00","nfl","2018-10-21T17:20:00","Rams at 49ers","Los Angeles Rams at San Francisco 49ers",NA,778,220,111,252.12724,95,2994,1012,"2018-08-24T21:53:38Z",FALSE,"QRCODE","4900 Marie P DeBartolo Way",TRUE,"Santa Clara, CA",0,"Santa Clara, CA 95054",0,0.95768774,"CA","US","Levi's Stadium","https://seatgeek.com/venues/levi-s-stadium/tickets","levi-s-stadium","95054",58670,"America/Los_Angeles","Levi's Stadium",13,"Santa Clara",37.4023,-121.969,"2015-07-10T00:00:00Z",FALSE,"QRCODE_TM"
"80","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:42","normal","","2018-10-23T00:15:00",FALSE,0.889,0.933,FALSE,FALSE,"2018-10-23T04:15:00","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050",FALSE,4347050,"2018-04-20T00:00:00","nfl","2018-10-22T20:15:00","Giants at Falcons","New York Giants at Atlanta Falcons",NA,748,302,121,323.32486,127,1978,927,"2018-08-24T21:53:38Z",FALSE,"QRCODE","35 Northside Dr NW",TRUE,"Atlanta, GA",0,"Atlanta, GA 30313",0,0.76958936,"GA","US","Mercedes-Benz Stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","30313",419590,"America/New_York","Mercedes-Benz Stadium",19,"Atlanta",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"81","2018-09-21","2018-09-21_11.00.46","2018-02-28T15:00:17","normal","","2018-10-24T00:00:00",FALSE,0.399,0.315,FALSE,FALSE,"2018-10-24T04:00:00","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985",FALSE,4281985,"2018-02-28T00:00:00","ncaa_football","2018-10-23T19:00:00","Troy at South Alabama","Troy Trojans at South Alabama Jaguars Football",NA,29,36,26,43.689655,26,93,11,NA,NA,NA,"1621 Virginia St.",TRUE,"Mobile, AL",686,"Mobile, AL 36604",0,0.50177634,"AL","US","Ladd Peebles Stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","ladd-peebles-stadium","36604",3716,"America/Chicago","Ladd Peebles Stadium",6,"Mobile",30.6748,-88.0761,NA,NA,NA
"82","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:36","normal","","2018-10-26T00:20:00",FALSE,0.832,0.876,FALSE,FALSE,"2018-10-26T04:20:00","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018",FALSE,4347018,"2018-04-20T00:00:00","nfl","2018-10-25T19:20:00","Dolphins at Texans","Miami Dolphins at Houston Texans",NA,469,134,42,167.64392,42,715,974,"2018-08-24T21:53:38Z",FALSE,"QRCODE","1 Reliant Park",TRUE,"Houston, TX",618,"Houston, TX 77054",0,0.8624192,"TX","US","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","77054",41,"America/Chicago","NRG Stadium",44,"Houston",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"83","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:37","normal","","2018-10-28T17:00:00",FALSE,0.88,0.922,FALSE,FALSE,"2018-10-28T21:00:00","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026",FALSE,4347026,"2018-04-20T00:00:00","nfl","2018-10-28T13:00:00","Seahawks at Lions","Seattle Seahawks at Detroit Lions",NA,522,138,42,164.37164,66,2392,832,"2018-08-24T21:53:39Z",FALSE,"QRCODE","2000 Brush St.",TRUE,"Detroit, MI",505,"Detroit, MI 48226",0,0.9029952,"MI","US","Ford Field","https://seatgeek.com/venues/ford-field/tickets","ford-field","48226",346,"America/Detroit","Ford Field",11,"Detroit",42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
"84","2018-09-21","2018-09-21_11.00.46","2018-04-20T00:47:40","normal","","2018-10-28T17:00:00",FALSE,0.828,0.865,FALSE,FALSE,"2018-10-28T21:00:00","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041",FALSE,4347041,"2018-04-20T00:00:00","nfl","2018-10-28T13:00:00","Buccaneers at Bengals","Tampa Bay Buccaneers at Cincinnati Bengals",NA,597,88,40,98.68007,40,333,1177,"2018-08-24T21:53:39Z",FALSE,"QRCODE","1 Paul Brown Stadium",TRUE,"Cincinnati, OH",515,"Cincinnati, OH 45202",0,0.86166537,"OH","US","Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","paul-brown-stadium","45202",1124,"America/New_York","Paul Brown Stadium",7,"Cincinnati",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
