"","date","timestamp","datetime_tbd","description","is_open","short_title","visible_until_utc","type","score","time_tbd","date_tbd","announce_date","popularity","url","datetime_local","status","title","datetime_utc","created_at","id","general_admission","median_price","lowest_price_good_deals","lowest_price","visible_listing_count","average_price","highest_price","listing_count","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","has_upcoming_events","score_venue","slug","country","city","popularity_venue","postal_code","url_venue","extended_address","timezone","address","name","display_location","metro_code","state","id_venue","num_upcoming_events","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"213","2018-09-18","2018-09-18_11.00.31",FALSE,"",TRUE,"Buccaneers at Cowboys","2018-12-23T22:00:00","nfl",0.982,FALSE,FALSE,"2018-04-05T00:00:00",0.85,"https://seatgeek.com/buccaneers-at-cowboys-tickets/12-23-2018-arlington-texas-at-t-stadium/nfl/4327918","2018-12-23T12:00:00","normal","Tampa Bay Buccaneers at Dallas Cowboys","2018-12-23T18:00:00","2018-04-05T23:08:46",4327918,NA,224,27,27,3029,282.44708,4309,4402,FALSE,"2018-04-17T22:02:33Z","QRCODE","AT&T Stadium",TRUE,0.9751414,"at-t-stadium","US","Arlington",0,"76011","https://seatgeek.com/venues/at-t-stadium/tickets","Arlington, TX 76011","America/Chicago","1 AT&T Way","AT&T Stadium","Arlington, TX",623,"TX",4965,22,32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"214","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Rams at Cardinals","2018-12-24T01:05:00","nfl",0.929,FALSE,FALSE,"2018-04-20T00:00:00",0.82,"https://seatgeek.com/rams-at-cardinals-tickets/12-23-2018-glendale-arizona-state-farm-stadium/nfl/4347097","2018-12-23T14:05:00","normal","Los Angeles Rams at Arizona Cardinals","2018-12-23T21:05:00","2018-04-20T00:47:50",4347097,NA,100,36,36,1442,133.91096,6034,1112,FALSE,"2018-08-24T21:53:43Z","QRCODE","State Farm Stadium",TRUE,0.93402725,"state-farm-stadium","US","Glendale",0,"85305","https://seatgeek.com/venues/state-farm-stadium/tickets","Glendale, AZ 85305","America/Phoenix","1 Cardinals Drive","State Farm Stadium","Glendale, AZ",753,"AZ",43,10,33.5294,-112.262,FALSE,"2015-12-21T17:26:05Z","NONE"
"215","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Bears at 49ers","2018-12-24T01:05:00","nfl",0.967,FALSE,FALSE,"2018-04-20T00:00:00",0.848,"https://seatgeek.com/bears-at-49ers-tickets/12-23-2018-santa-clara-california-levi-s-stadium/nfl/4347116","2018-12-23T13:05:00","normal","Chicago Bears at San Francisco 49ers","2018-12-23T21:05:00","2018-04-20T00:47:54",4347116,NA,219,92,92,1237,237.89851,2989,1143,FALSE,"2018-08-24T21:53:43Z","QRCODE","Levi's Stadium",TRUE,0.95768774,"levi-s-stadium","US","Santa Clara",0,"95054","https://seatgeek.com/venues/levi-s-stadium/tickets","Santa Clara, CA 95054","America/Los_Angeles","4900 Marie P DeBartolo Way","Levi's Stadium","Santa Clara, CA",0,"CA",58670,12,37.4023,-121.969,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"216","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Ravens at Chargers","2018-12-24T01:05:00","nfl",0.935,FALSE,FALSE,"2018-04-20T00:00:00",0.811,"https://seatgeek.com/ravens-at-chargers-tickets/12-23-2018-carson-california-stubhub-center/nfl/4347106","2018-12-23T13:05:00","normal","Baltimore Ravens at Los Angeles Chargers","2018-12-23T21:05:00","2018-04-20T00:47:52",4347106,NA,NA,131,131,NA,229.93,648,439,FALSE,"2018-08-24T21:53:43Z","QRCODE","StubHub Center",TRUE,0.7228164,"stubhub-center","US","Carson",0,"90746","https://seatgeek.com/venues/stubhub-center/tickets","Carson, CA 90746","America/Los_Angeles","18400 Avalon Blvd","StubHub Center","Carson, CA",803,"CA",52,16,33.8643,-118.261,NA,NA,NA
"217","2018-09-18","2018-09-18_11.00.31",FALSE,"",TRUE,"Steelers at Saints","2018-12-24T01:25:00","nfl",0.95,FALSE,FALSE,"2018-04-20T00:00:00",0.822,"https://seatgeek.com/steelers-at-saints-tickets/12-23-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346967","2018-12-23T15:25:00","normal","Pittsburgh Steelers at New Orleans Saints","2018-12-23T21:25:00","2018-04-20T00:47:24",4346967,NA,NA,137,137,NA,365.37,2400,1545,FALSE,"2018-05-29T20:39:33Z","QRCODE","Mercedes-Benz Superdome",TRUE,0.8966978,"mercedes-benz-superdome","US","New Orleans",0,"70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","New Orleans, LA 70112","America/Chicago","1500 Sugar Bowl Drive","Mercedes-Benz Superdome","New Orleans, LA",622,"LA",128,17,29.9515,-90.0786,FALSE,"2018-08-27T20:46:59Z","QRCODE_TM"
"218","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Chiefs at Seahawks","2018-12-24T05:20:00","nfl",0.93,FALSE,FALSE,"2018-04-20T00:00:00",0.816,"https://seatgeek.com/chiefs-at-seahawks-tickets/12-23-2018-seattle-washington-centurylink-field/nfl/4347121","2018-12-23T17:20:00","normal","Kansas City Chiefs at Seattle Seahawks","2018-12-24T01:20:00","2018-04-20T00:47:55",4347121,NA,311,121,121,884,338.85748,1166,407,FALSE,"2018-08-24T21:53:43Z","QRCODE","CenturyLink Field",TRUE,0.87232786,"centurylink-field","US","Seattle",0,"98134","https://seatgeek.com/venues/centurylink-field/tickets","Seattle, WA 98134","America/Los_Angeles","800 Occidental Ave S","CenturyLink Field","Seattle, WA",819,"WA",339,18,47.6,-122.33,FALSE,"2018-03-02T22:54:54Z","QRCODE"
"219","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Broncos at Raiders","2018-12-25T05:15:00","nfl",0.923,FALSE,FALSE,"2018-04-20T00:00:00",0.802,"https://seatgeek.com/broncos-at-raiders-tickets/12-24-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347150","2018-12-24T17:15:00","normal","Denver Broncos at Oakland Raiders","2018-12-25T01:15:00","2018-04-20T01:04:24",4347150,NA,196,84,84,1051,205.15,1306,700,FALSE,"2018-08-24T21:53:43Z","QRCODE","Oakland-Alameda County Coliseum",TRUE,0.7817843,"oakland-alameda-county-coliseum","US","Oakland",0,"94621","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland, CA 94621","America/Los_Angeles","7000 Coliseum Way","Oakland-Alameda County Coliseum","Oakland, CA",807,"CA",14,24,37.7469,-122.201,FALSE,"2015-06-24T00:00:00Z","PDF417"
"220","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Colts at Titans","2018-12-30T21:00:00","nfl",0.853,FALSE,FALSE,"2018-04-20T00:00:00",0.751,"https://seatgeek.com/colts-at-titans-tickets/12-30-2018-nashville-tennessee-nissan-stadium/nfl/4346984","2018-12-30T12:00:00","normal","Indianapolis Colts at Tennessee Titans","2018-12-30T17:00:00","2018-04-20T00:47:28",4346984,NA,118,34,34,1053,143.26128,720,643,FALSE,"2018-08-24T21:53:43Z","QRCODE","Nissan Stadium",TRUE,0.8546275,"nissan-stadium","US","Nashville",0,"37213","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","America/New_York","1 Titans Way","Nissan Stadium","Nashville, TN",659,"TN",1126,14,36.1665,-86.7713,FALSE,"2015-10-19T15:09:39Z","NONE"
"221","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Browns at Ravens","2018-12-30T22:00:00","nfl",0.832,FALSE,FALSE,"2018-04-20T00:00:00",0.733,"https://seatgeek.com/browns-at-ravens-tickets/12-30-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347065","2018-12-30T13:00:00","normal","Cleveland Browns at Baltimore Ravens","2018-12-30T18:00:00","2018-04-20T00:47:44",4347065,NA,92,32,32,1358,123.771545,566,731,FALSE,"2018-08-24T21:53:43Z","QRCODE","M&T Bank Stadium",TRUE,0.8927189,"m-t-bank-stadium","US","Baltimore",0,"21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD 21230","America/New_York","1101 Russell St","M&T Bank Stadium","Baltimore, MD",512,"MD",1121,8,39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"222","2018-09-18","2018-09-18_11.00.31",FALSE,"",FALSE,"Jets at Patriots","2018-12-30T22:00:00","nfl",0.948,FALSE,FALSE,"2018-04-20T00:00:00",0.839,"https://seatgeek.com/jets-at-patriots-tickets/12-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347090","2018-12-30T13:00:00","normal","New York Jets at New England Patriots","2018-12-30T18:00:00","2018-04-20T00:47:49",4347090,NA,283,167,181,796,353.08948,1795,380,FALSE,"2018-08-24T21:53:43Z","QRCODE","Gillette Stadium",TRUE,0.8983344,"gillette-stadium","US","Foxborough",0,"02035","https://seatgeek.com/venues/gillette-stadium/tickets","Foxborough, MA 02035","America/New_York","1 Patriot Place","Gillette Stadium","Foxborough, MA",506,"MA",33,15,42.0906,-71.2674,FALSE,"2018-08-22T15:36:58Z","NONE"
