"","date","timestamp","url","short_title","title","id","datetime_tbd","score","popularity","is_open","time_tbd","description","announce_date","visible_until_utc","created_at","status","date_tbd","type","datetime_utc","datetime_local","general_admission","listing_count","visible_listing_count","average_price","lowest_price_good_deals","highest_price","lowest_price","median_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","name_v2","country","url_venue","slug","num_upcoming_events","id_venue","score_venue","has_upcoming_events","popularity_venue","address","state","city","timezone","postal_code","display_location","extended_address","name","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"21","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","Bills at Vikings","Buffalo Bills at Minnesota Vikings",4347142,FALSE,0.882,0.888,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T01:04:05","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T12:00:00",NA,518,NA,239.67,90,923,90,NA,FALSE,"2018-08-23T16:03:24Z","QRCODE","U.S. Bank Stadium","US","https://seatgeek.com/venues/u-s-bank-stadium/tickets","u-s-bank-stadium",13,218451,0.88524246,TRUE,0,"401 Chicago Avenue","MN","Minneapolis","America/Chicago","55415","Minneapolis, MN","Minneapolis, MN 55415","U.S. Bank Stadium",44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"22","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","Raiders at Dolphins","Oakland Raiders at Miami Dolphins",4347088,FALSE,0.862,0.875,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:48","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,177,NA,174.36,60,667,60,NA,FALSE,"2018-08-24T20:34:12Z","QRCODE","Hard Rock Stadium","US","https://seatgeek.com/venues/hard-rock-stadium/tickets","hard-rock-stadium",37,29,0.8378203,TRUE,0,"347 Don Shula Dr.","FL","Miami Gardens","America/New_York","33056","Miami Gardens, FL","Miami Gardens, FL 33056","Hard Rock Stadium",25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"23","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","Packers at Redskins","Green Bay Packers at Washington Redskins",4346943,FALSE,0.954,0.948,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:18","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,568,NA,333.38,170,991,170,NA,FALSE,"2018-08-24T18:25:58Z","QRCODE","FedEx Field","US","https://seatgeek.com/venues/fedex-field/tickets","fedex-field",9,35,0.9333444,TRUE,0,"1600 Fedex Way","MD","Landover","America/New_York","20785","Landover, MD","Landover, MD 20785","FedEx Field",38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
"24","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/saints-at-falcons-tickets/9-23-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347053","Saints at Falcons","New Orleans Saints at Atlanta Falcons",4347053,FALSE,0.905,0.906,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:42","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,560,NA,335.5,163,1432,163,NA,FALSE,"2018-08-24T18:29:05Z","QRCODE","Mercedes-Benz Stadium","US","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium",15,419590,0.76958936,TRUE,0,"441 M.L.K. Jr Dr NW","GA","Atlanta","America/New_York","30313","Atlanta, GA","Atlanta, GA 30313","Mercedes-Benz Stadium",33.76,-84.4,FALSE,"2018-08-23T20:14:46Z","QRCODE"
"25","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/broncos-at-ravens-tickets/9-23-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347072","Broncos at Ravens","Denver Broncos at Baltimore Ravens",4347072,FALSE,0.855,0.869,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:45","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,512,NA,156.7,63,707,63,NA,FALSE,"2018-08-24T18:29:20Z","QRCODE","M&T Bank Stadium","US","https://seatgeek.com/venues/m-t-bank-stadium/tickets","m-t-bank-stadium",8,1121,0.8927189,TRUE,0,"1101 Russell St","MD","Baltimore","America/New_York","21230","Baltimore, MD","Baltimore, MD 21230","M&T Bank Stadium",39.2774,-76.623,FALSE,"2015-08-04T00:00:00Z","QRCODE_TM"
"26","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/bengals-at-panthers-tickets/9-23-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347045","Bengals at Panthers","Cincinnati Bengals at Carolina Panthers",4347045,FALSE,0.862,0.877,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:41","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,381,NA,185.09,83,713,83,NA,FALSE,"2018-08-24T18:28:54Z","QRCODE","Bank of America Stadium","US","https://seatgeek.com/venues/bank-of-america-stadium/tickets","bank-of-america-stadium",9,1122,0.8968222,TRUE,0,"800 South Mint Street","NC","Charlotte","America/New_York","28202","Charlotte, NC","Charlotte, NC 28202","Bank of America Stadium",35.2243,-80.8524,FALSE,"2015-09-25T18:23:51Z","QRCODE_TM"
"27","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/giants-at-texans-tickets/9-23-2018-houston-texas-nrg-stadium/nfl/4347021","Giants at Texans","New York Giants at Houston Texans",4347021,FALSE,0.891,0.894,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:36","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T12:00:00",NA,327,NA,301.26,106,1245,106,NA,FALSE,"2018-08-24T18:27:18Z","QRCODE","NRG Stadium","US","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium",46,41,0.8624192,TRUE,0,"1 Reliant Park","TX","Houston","America/Chicago","77054","Houston, TX","Houston, TX 77054","NRG Stadium",29.6847,-95.4107,FALSE,"2015-11-04T18:42:27Z","QRCODE_TM"
"28","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/49ers-at-chiefs-tickets/9-23-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346985","49ers at Chiefs","San Francisco 49ers at Kansas City Chiefs",4346985,FALSE,0.872,0.88,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:28","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T12:00:00",NA,1067,NA,212.21,83,534,83,NA,FALSE,"2018-08-24T18:27:03Z","QRCODE","Arrowhead Stadium","US","https://seatgeek.com/venues/arrowhead-stadium/tickets","arrowhead-stadium",9,1128,0.8827867,TRUE,0,"1 Arrowhead Drive","MO","Kansas City","America/Chicago","64129","Kansas City, MO","Kansas City, MO 64129","Arrowhead Stadium",39.0489,-94.4839,FALSE,"2015-08-20T16:20:51Z","QRCODE_TM"
"29","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/titans-at-jaguars-tickets/9-23-2018-jacksonville-florida-tiaa-bank-field/nfl/4346950","Titans at Jaguars","Tennessee Titans at Jacksonville Jaguars",4346950,FALSE,0.791,0.826,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-23T21:00:00","2018-04-20T00:47:19","normal",FALSE,"nfl","2018-09-23T17:00:00","2018-09-23T13:00:00",NA,607,NA,106.94,42,775,42,NA,FALSE,"2018-08-24T18:26:19Z","QRCODE","TIAA Bank Field","US","https://seatgeek.com/venues/tiaa-bank-field/tickets","tiaa-bank-field",10,5178,0.83759147,TRUE,0,"1 Everbank Field Dr","FL","Jacksonville","America/New_York","32202","Jacksonville, FL","Jacksonville, FL 32202","TIAA Bank Field",30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"30","2018-09-11","2018-09-11_10.59.07","https://seatgeek.com/chargers-at-rams-tickets/9-23-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346923","Chargers at Rams","Los Angeles Chargers at Los Angeles Rams",4346923,FALSE,0.857,0.869,FALSE,FALSE,"","2018-04-20T00:00:00","2018-09-24T00:05:00","2018-04-20T00:47:14","normal",FALSE,"nfl","2018-09-23T20:05:00","2018-09-23T13:05:00",NA,745,NA,154.98,62,514,62,NA,FALSE,"2018-09-05T22:17:11Z","QRCODE","Los Angeles Memorial Coliseum","US","https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","los-angeles-memorial-coliseum-1",12,51012,0.86898464,TRUE,0,"3911 S Figueroa St","CA","Los Angeles","America/Los_Angeles","90037","Los Angeles, CA","Los Angeles, CA 90037","Los Angeles Memorial Coliseum",34.01,-118.29,FALSE,"2018-08-23T17:59:28Z","QRCODE"
