"","date","timestamp","type","description","is_open","datetime_tbd","date_tbd","time_tbd","score","visible_until_utc","short_title","url","popularity","status","announce_date","id","created_at","datetime_utc","title","datetime_local","general_admission","listing_count","highest_price","average_price","visible_listing_count","lowest_price","lowest_price_good_deals","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","name_v2","country","slug","score_venue","has_upcoming_events","timezone","extended_address","url_venue","postal_code","popularity_venue","city","id_venue","num_upcoming_events","state","metro_code","display_location","name","address","lon","lat","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"73","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.884,"2018-10-21T21:00:00","Lions at Dolphins","https://seatgeek.com/lions-at-dolphins-tickets/10-21-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347084",0.846,"normal","2018-04-20T00:00:00",4347084,"2018-04-20T00:47:47","2018-10-21T17:00:00","Detroit Lions at Miami Dolphins","2018-10-21T13:00:00",NA,165,900,151.0485,989,62,53,135,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Hard Rock Stadium","US","hard-rock-stadium",0.8378203,TRUE,"America/New_York","Miami Gardens, FL 33056","https://seatgeek.com/venues/hard-rock-stadium/tickets","33056",0,"Miami Gardens",29,38,"FL",528,"Miami Gardens, FL","Hard Rock Stadium","347 Don Shula Dr.",-80.24,25.96,"NONE","2017-10-03T18:58:44Z",FALSE
"74","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.813,"2018-10-21T21:00:00","Texans at Jaguars","https://seatgeek.com/texans-at-jaguars-tickets/10-21-2018-jacksonville-florida-everbank-field/nfl/4346948",0.793,"normal","2018-04-20T00:00:00",4346948,"2018-04-20T00:47:19","2018-10-21T17:00:00","Houston Texans at Jacksonville Jaguars","2018-10-21T13:00:00",NA,611,589,126.5581,873,48,48,97,"QRCODE","2018-08-24T21:53:38Z",FALSE,"EverBank Field","US","everbank-field",0.83759147,TRUE,"America/New_York","Jacksonville, FL 32202","https://seatgeek.com/venues/everbank-field/tickets","32202",0,"Jacksonville",5178,9,"FL",561,"Jacksonville, FL","EverBank Field","1 Everbank Field Dr",-81.6373,30.3239,"QRCODE_TM","2015-10-17T20:03:42Z",FALSE
"75","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.896,"2018-10-21T21:00:00","Bengals at Chiefs","https://seatgeek.com/bengals-at-chiefs-tickets/10-21-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346982",0.859,"normal","2018-04-20T00:00:00",4346982,"2018-04-20T00:47:27","2018-10-21T17:00:00","Cincinnati Bengals at Kansas City Chiefs","2018-10-21T12:00:00",NA,993,607,146.69487,1131,48,48,134,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Arrowhead Stadium","US","arrowhead-stadium",0.8827867,TRUE,"America/Chicago","Kansas City, MO 64129","https://seatgeek.com/venues/arrowhead-stadium/tickets","64129",0,"Kansas City",1128,9,"MO",616,"Kansas City, MO","Arrowhead Stadium","1 Arrowhead Drive",-94.4839,39.0489,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"76","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.932,"2018-10-21T21:00:00","Panthers at Eagles","https://seatgeek.com/panthers-at-eagles-tickets/10-21-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347036",0.887,"normal","2018-04-20T00:00:00",4347036,"2018-04-20T00:47:39","2018-10-21T17:00:00","Carolina Panthers at Philadelphia Eagles","2018-10-21T13:00:00",NA,354,3680,431.31638,937,211,156,388,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Lincoln Financial Field","US","lincoln-financial-field",0.90542686,TRUE,"America/New_York","Philadelphia, PA 19148","https://seatgeek.com/venues/lincoln-financial-field/tickets","19148",0,"Philadelphia",330,16,"PA",504,"Philadelphia, PA","Lincoln Financial Field","1020 Pattison Ave",-75.1675,39.9046,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"77","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.864,"2018-10-22T00:05:00","Saints at Ravens","https://seatgeek.com/saints-at-ravens-tickets/10-21-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347071",0.833,"normal","2018-04-20T00:00:00",4347071,"2018-04-20T00:47:45","2018-10-21T20:05:00","New Orleans Saints at Baltimore Ravens","2018-10-21T16:05:00",NA,464,608,156.79741,964,58,58,129,"QRCODE","2018-08-24T21:53:38Z",FALSE,"M&T Bank Stadium","US","m-t-bank-stadium",0.8927189,TRUE,"America/New_York","Baltimore, MD 21230","https://seatgeek.com/venues/m-t-bank-stadium/tickets","21230",0,"Baltimore",1121,8,"MD",512,"Baltimore, MD","M&T Bank Stadium","1101 Russell St",-76.623,39.2774,"QRCODE_TM","2015-08-04T00:00:00Z",FALSE
"78","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.976,"2018-10-22T00:25:00","Cowboys at Redskins","https://seatgeek.com/cowboys-at-redskins-tickets/10-21-2018-landover-maryland-fedex-field/nfl/4346941",0.926,"normal","2018-04-20T00:00:00",4346941,"2018-04-20T00:47:18","2018-10-21T20:25:00","Dallas Cowboys at Washington Redskins","2018-10-21T16:25:00",NA,662,1095,352.00906,1126,185,171,305,"QRCODE","2018-08-24T21:53:38Z",FALSE,"FedEx Field","US","fedex-field",0.9333444,TRUE,"America/New_York","Landover, MD 20785","https://seatgeek.com/venues/fedex-field/tickets","20785",0,"Landover",35,7,"MD",511,"Landover, MD","FedEx Field","1600 Fedex Way",-76.8658,38.9071,"QRCODE_TM","2015-09-12T14:13:58Z",FALSE
"79","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.928,"2018-10-22T04:20:00","Rams at 49ers","https://seatgeek.com/rams-at-49ers-tickets/10-21-2018-santa-clara-california-levi-s-stadium/nfl/4347118",0.881,"normal","2018-04-20T00:00:00",4347118,"2018-04-20T00:47:54","2018-10-22T00:20:00","Los Angeles Rams at San Francisco 49ers","2018-10-21T17:20:00",NA,786,2994,250.81044,1020,95,95,217,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Levi's Stadium","US","levi-s-stadium",0.95768774,TRUE,"America/Los_Angeles","Santa Clara, CA 95054","https://seatgeek.com/venues/levi-s-stadium/tickets","95054",0,"Santa Clara",58670,13,"CA",0,"Santa Clara, CA","Levi's Stadium","4900 Marie P DeBartolo Way",-121.969,37.4023,"QRCODE_TM","2015-07-10T00:00:00Z",FALSE
"80","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.933,"2018-10-23T04:15:00","Giants at Falcons","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050",0.889,"normal","2018-04-20T00:00:00",4347050,"2018-04-20T00:47:42","2018-10-23T00:15:00","New York Giants at Atlanta Falcons","2018-10-22T20:15:00",NA,751,1978,322.55258,931,127,121,302,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Mercedes-Benz Stadium","US","mercedes-benz-stadium",0.76958936,TRUE,"America/New_York","Atlanta, GA 30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","30313",0,"Atlanta",419590,19,"GA",0,"Atlanta, GA","Mercedes-Benz Stadium","35 Northside Dr NW",-84.4,33.76,"QRCODE","2018-08-23T20:14:46Z",FALSE
"81","2018-09-21","2018-09-21_08.02.02","ncaa_football","",FALSE,FALSE,FALSE,FALSE,0.315,"2018-10-24T04:00:00","Troy at South Alabama","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985",0.399,"normal","2018-02-28T00:00:00",4281985,"2018-02-28T15:00:17","2018-10-24T00:00:00","Troy Trojans at South Alabama Jaguars Football","2018-10-23T19:00:00",NA,29,93,43.689655,11,26,26,36,NA,NA,NA,"Ladd Peebles Stadium","US","ladd-peebles-stadium",0.50177634,TRUE,"America/Chicago","Mobile, AL 36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","36604",0,"Mobile",3716,6,"AL",686,"Mobile, AL","Ladd Peebles Stadium","1621 Virginia St.",-88.0761,30.6748,NA,NA,NA
"82","2018-09-21","2018-09-21_08.02.02","nfl","",FALSE,FALSE,FALSE,FALSE,0.876,"2018-10-26T04:20:00","Dolphins at Texans","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018",0.832,"normal","2018-04-20T00:00:00",4347018,"2018-04-20T00:47:36","2018-10-26T00:20:00","Miami Dolphins at Houston Texans","2018-10-25T19:20:00",NA,472,715,167.75636,972,42,42,134,"QRCODE","2018-08-24T21:53:38Z",FALSE,"NRG Stadium","US","nrg-stadium",0.8624192,TRUE,"America/Chicago","Houston, TX 77054","https://seatgeek.com/venues/nrg-stadium/tickets","77054",0,"Houston",41,44,"TX",618,"Houston, TX","NRG Stadium","1 Reliant Park",-95.4107,29.6847,"QRCODE_TM","2015-11-04T18:42:27Z",FALSE
