"","date","timestamp","url","time_tbd","date_tbd","status","announce_date","score","datetime_utc","type","visible_until_utc","title","popularity","short_title","id","datetime_tbd","description","is_open","created_at","datetime_local","general_admission","visible_listing_count","median_price","lowest_price","listing_count","lowest_price_good_deals","highest_price","average_price","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","url_venue","country","display_location","name","state","slug","postal_code","name_v2","timezone","score_venue","popularity_venue","extended_address","id_venue","has_upcoming_events","city","address","num_upcoming_events","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"33","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/patriots-at-lions-tickets/9-23-2018-detroit-michigan-ford-field/nfl/4347028",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.973,"2018-09-24T00:20:00","nfl","2018-09-24T04:20:00","New England Patriots at Detroit Lions",0.97,"Patriots at Lions",4347028,FALSE,"",FALSE,"2018-04-20T00:47:37","2018-09-23T20:20:00",NA,NA,NA,140,390,148,12062,347.82,"2018-08-24T18:27:28Z","QRCODE",FALSE,"https://seatgeek.com/venues/ford-field/tickets","US","Detroit, MI","Ford Field","MI","ford-field","48226","Ford Field","America/Detroit",0.9029952,0,"Detroit, MI 48226",346,TRUE,"Detroit","2000 Brush St.",9,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"34","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/steelers-at-buccaneers-tickets/9-24-2018-tampa-florida-raymond-james-stadium/nfl/4346932",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.892,"2018-09-25T00:15:00","nfl","2018-09-25T04:15:00","Pittsburgh Steelers at Tampa Bay Buccaneers",0.906,"Steelers at Buccaneers",4346932,FALSE,"",FALSE,"2018-04-20T00:47:16","2018-09-24T20:15:00",NA,NA,NA,202,31,202,1038,376.19,"2018-08-24T20:35:07Z","QRCODE",FALSE,"https://seatgeek.com/venues/raymond-james-stadium/tickets","US","Tampa, FL","Raymond James Stadium","FL","raymond-james-stadium","33607","Raymond James Stadium","America/New_York",0.86513025,0,"Tampa, FL 33607",39,TRUE,"Tampa","4201 North Dale Mabry Highway",15,-82.5034,27.9753,"2015-08-24T14:44:53Z","QRCODE_TM",FALSE
"35","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/vikings-at-rams-tickets/9-27-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346922",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.906,"2018-09-28T00:20:00","nfl","2018-09-28T04:20:00","Minnesota Vikings at Los Angeles Rams",0.908,"Vikings at Rams",4346922,FALSE,"",FALSE,"2018-04-20T00:47:14","2018-09-27T17:20:00",NA,NA,NA,65,613,65,971,217.99,"2018-09-05T22:17:16Z","QRCODE",FALSE,"https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets","US","Los Angeles, CA","Los Angeles Memorial Coliseum","CA","los-angeles-memorial-coliseum-1","90037","Los Angeles Memorial Coliseum","America/Los_Angeles",0.86898464,0,"Los Angeles, CA 90037",51012,TRUE,"Los Angeles","3911 S Figueroa St",12,-118.288,34.0138,"2018-08-23T17:59:28Z","QRCODE",FALSE
"36","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/arkansas-razorbacks-at-kentucky-wildcats-womens-volleyball-tickets/sport/2018-09-28-7-pm/4401810",FALSE,FALSE,"normal","2018-06-05T00:00:00",0.361,"2018-09-28T23:00:00","sports","2018-09-29T03:00:00","Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",0.502,"Arkansas Razorbacks at Kentucky Wildcats Women's Volleyball",4401810,FALSE,"",FALSE,"2018-06-05T16:00:59","2018-09-28T19:00:00",NA,6,35,11,6,NA,35,31,NA,NA,NA,"https://seatgeek.com/venues/memorial-coliseum-1/tickets","US","Lexington, KY","Memorial Coliseum","KY","memorial-coliseum-1","40506","Memorial Coliseum","America/New_York",0.4125833,0,"Lexington, KY 40506",5102,TRUE,"Lexington","338 Lexington Avenue",26,-84.5,38.04,NA,NA,NA
"37","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/southwest-classic-arkansas-vs-texas-aandm-tickets/ncaa-football/2018-09-29-3-30-am/4163969",TRUE,FALSE,"normal","2017-12-05T00:00:00",0.917,"2018-09-29T08:30:00","ncaa_football","2018-09-30T05:00:00","Southwest Classic: Arkansas vs Texas A&M",0.931,"Southwest Classic: Arkansas vs Texas A&M",4163969,FALSE,"*Child Policy::  Everyone, regardless of age, requires a ticket for entry.
*Donations::  Club seat purchases include a donation made to the respective school.
*Bag Policy::   All approved bags are subject to inspection upon entry and are subject to additional inspections within AT&amp;T Stadium. AT&amp;T Stadium has modified its security policy by limiting the size and style of bags allowed in the stadium.  Visit www.attstadium.com/bags for more information.",TRUE,"2017-12-05T15:00:24","2018-09-29T03:30:00",NA,NA,NA,102,1904,102,14133,342.77,"2018-04-17T22:02:33Z","QRCODE",FALSE,"https://seatgeek.com/venues/at-t-stadium/tickets","US","Arlington, TX","AT&T Stadium","TX","at-t-stadium","76011","AT&T Stadium","America/Chicago",0.9751414,0,"Arlington, TX 76011",4965,TRUE,"Arlington","1 AT&T Way",23,-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"38","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951",FALSE,FALSE,"normal","2018-02-28T00:00:00",0.442,"2018-09-29T19:30:00","ncaa_football","2018-09-29T23:30:00","South Alabama Jaguars at Appalachian State Mountaineers Football",0.557,"South Alabama at Appalachian State",4281951,FALSE,"",FALSE,"2018-02-28T15:00:11","2018-09-29T15:30:00",NA,86,83,54,156,57,215,92.48077,NA,NA,NA,"https://seatgeek.com/venues/kidd-brewer-stadium/tickets","US","Boone, NC","Kidd Brewer Stadium","NC","kidd-brewer-stadium","28607","Kidd Brewer Stadium","America/New_York",0.57884717,0,"Boone, NC 28607",3723,TRUE,"Boone","1 Kidd Brewer Stadium",6,-81.6856,36.2116,NA,NA,NA
"39","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.909,"2018-09-30T16:00:00","nfl","2018-09-30T20:00:00","Philadelphia Eagles at Tennessee Titans",0.905,"Eagles at Titans",4346992,FALSE,"",FALSE,"2018-04-20T00:47:30","2018-09-30T12:00:00",NA,NA,NA,208,322,236,1103,437.59,"2018-08-24T20:47:49Z","QRCODE",FALSE,"https://seatgeek.com/venues/nissan-stadium/tickets","US","Nashville, TN","Nissan Stadium","TN","nissan-stadium","37213","Nissan Stadium","America/New_York",0.8546275,0,"Nashville, TN 37213",1126,TRUE,"Nashville","1 Titans Way",15,-86.7713,36.1665,"2015-10-19T15:09:39Z","NONE",FALSE
"40","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.93,"2018-09-30T17:00:00","nfl","2018-09-30T21:00:00","Buffalo Bills at Green Bay Packers",0.924,"Bills at Packers",4346911,FALSE,"",FALSE,"2018-04-20T00:47:13","2018-09-30T12:00:00",NA,433,367,224,139,173,1080,391.7554,"2018-08-24T20:38:24Z","QRCODE",FALSE,"https://seatgeek.com/venues/lambeau-field/tickets","US","Green Bay, WI","Lambeau Field","WI","lambeau-field","54304","Lambeau Field","America/Chicago",0.92909414,0,"Green Bay, WI 54304",1125,TRUE,"Green Bay","1265 Lombardi Avenue",7,-88.0622,44.5013,"2015-09-02T22:43:34Z","QRCODE_TM",FALSE
"41","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.92,"2018-09-30T17:00:00","nfl","2018-09-30T21:00:00","Tampa Bay Buccaneers at Chicago Bears",0.914,"Buccaneers at Bears",4347009,FALSE,"",FALSE,"2018-04-20T00:47:33","2018-09-30T12:00:00",NA,NA,NA,160,80,180,1019,334.56,"2018-08-24T20:48:11Z","QRCODE",FALSE,"https://seatgeek.com/venues/soldier-field/tickets","US","Chicago, IL","Soldier Field","IL","soldier-field","60605","Soldier Field","America/Chicago",0.940013,0,"Chicago, IL 60605",31,TRUE,"Chicago","1410 S. Museum Campus Drive",12,-87.6159,41.8623,"2018-06-02T00:44:08Z","NONE",FALSE
"42","2018-09-12","2018-09-12_16.02.22","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092",FALSE,FALSE,"normal","2018-04-20T00:00:00",0.955,"2018-09-30T17:00:00","nfl","2018-09-30T21:00:00","Miami Dolphins at New England Patriots",0.939,"Dolphins at Patriots",4347092,FALSE,"",FALSE,"2018-04-20T00:47:49","2018-09-30T13:00:00",NA,NA,NA,312,86,312,2017,543.88,"2018-08-24T20:51:36Z","QRCODE",FALSE,"https://seatgeek.com/venues/gillette-stadium/tickets","US","Foxborough, MA","Gillette Stadium","MA","gillette-stadium","02035","Gillette Stadium","America/New_York",0.8983344,0,"Foxborough, MA 02035",33,TRUE,"Foxborough","1 Patriot Place",17,-71.2674,42.0906,"2018-08-22T15:36:58Z","NONE",FALSE
