"","date","timestamp","status","date_tbd","datetime_tbd","announce_date","created_at","popularity","short_title","score","description","datetime_utc","visible_until_utc","id","datetime_local","url","type","title","time_tbd","is_open","general_admission","lowest_price","lowest_price_good_deals","listing_count","average_price","highest_price","visible_listing_count","median_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","display_location","name","name_v2","country","timezone","city","has_upcoming_events","popularity_venue","score_venue","metro_code","num_upcoming_events","id_venue","state","url_venue","slug","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"117","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:32",0.831,"Bears at Giants",0.932,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347004,"2018-12-02T13:00:00","https://seatgeek.com/bears-at-giants-tickets/12-2-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347004","nfl","Chicago Bears at New York Giants",FALSE,FALSE,NA,97,94,770,241.75714,1666,1175,187,FALSE,"QRCODE","2018-08-24T21:53:41Z","East Rutherford, NJ 07073","East Rutherford, NJ","MetLife Stadium","MetLife Stadium","US","America/New_York","East Rutherford",TRUE,0,0.94873494,501,14,1587,"NJ","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","1 MetLife Stadium Drive","07073",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"118","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:41",0.819,"Ravens at Falcons",0.907,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347048,"2018-12-02T13:00:00","https://seatgeek.com/ravens-at-falcons-tickets/12-2-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347048","nfl","Baltimore Ravens at Atlanta Falcons",FALSE,FALSE,NA,78,77,725,213.18344,1200,985,172,FALSE,"QRCODE","2018-08-24T21:53:41Z","Atlanta, GA 30313","Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium","US","America/New_York","Atlanta",TRUE,0,0.76958936,0,18,419590,"GA","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","35 Northside Dr NW","30313",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"119","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T03:52:35",0.791,"Browns at Texans",0.882,"","2018-12-02T18:00:00","2018-12-02T22:00:00",4347156,"2018-12-02T12:00:00","https://seatgeek.com/browns-at-texans-tickets/12-2-2018-houston-texas-nrg-stadium/nfl/4347156","nfl","Cleveland Browns at Houston Texans",FALSE,FALSE,NA,43,39,554,177.2527,2238,977,134,FALSE,"QRCODE","2018-08-24T21:53:41Z","Houston, TX 77054","Houston, TX","NRG Stadium","NRG Stadium","US","America/Chicago","Houston",TRUE,0,0.8624192,618,42,41,"TX","https://seatgeek.com/venues/nrg-stadium/tickets","nrg-stadium","1 Reliant Park","77054",-95.4107,29.6847,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"120","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:29",0.765,"Jets at Titans",0.849,"","2018-12-02T20:05:00","2018-12-03T00:05:00",4346989,"2018-12-02T15:05:00","https://seatgeek.com/jets-at-titans-tickets/12-2-2018-nashville-tennessee-nissan-stadium/nfl/4346989","nfl","New York Jets at Tennessee Titans",FALSE,FALSE,NA,46,46,440,165.96591,723,766,151,FALSE,"QRCODE","2018-08-24T21:53:41Z","Nashville, TN 37213","Nashville, TN","Nissan Stadium","Nissan Stadium","US","America/New_York","Nashville",TRUE,0,0.8546275,659,15,1126,"TN","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium","1 Titans Way","37213",-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
"121","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T01:04:24",0.783,"Chiefs at Raiders",0.871,"","2018-12-02T21:05:00","2018-12-03T01:05:00",4347152,"2018-12-02T13:05:00","https://seatgeek.com/chiefs-at-raiders-tickets/12-2-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347152","nfl","Kansas City Chiefs at Oakland Raiders",FALSE,FALSE,NA,78,78,505,211.22375,1267,835,184,FALSE,"QRCODE","2018-08-24T21:53:41Z","Oakland, CA 94621","Oakland, CA","Oakland-Alameda County Coliseum","Oakland-Alameda County Coliseum","US","America/Los_Angeles","Oakland",TRUE,0,0.7817843,807,8,14,"CA","https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","oakland-alameda-county-coliseum","7000 Coliseum Way","94621",-122.201,37.7469,FALSE,"PDF417","2015-06-24T00:00:00Z"
"122","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:50",0.853,"Vikings at Patriots",0.947,"","2018-12-02T21:25:00","2018-12-03T01:25:00",4347094,"2018-12-02T16:25:00","https://seatgeek.com/vikings-at-patriots-tickets/12-2-2018-foxborough-massachusetts-gillette-stadium/nfl/4347094","nfl","Minnesota Vikings at New England Patriots",FALSE,FALSE,NA,269,266,181,476.16574,1263,534,402,FALSE,"QRCODE","2018-08-24T21:53:41Z","Foxborough, MA 02035","Foxborough, MA","Gillette Stadium","Gillette Stadium","US","America/New_York","Foxborough",TRUE,0,0.8983344,506,13,33,"MA","https://seatgeek.com/venues/gillette-stadium/tickets","gillette-stadium","1 Patriot Place","02035",-71.2674,42.0906,FALSE,"NONE","2018-08-22T15:36:58Z"
"123","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:55",0.833,"49ers at Seahawks",0.938,"","2018-12-03T01:20:00","2018-12-03T05:20:00",4347124,"2018-12-02T17:20:00","https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124","nfl","San Francisco 49ers at Seattle Seahawks",FALSE,FALSE,NA,174,137,242,415.04544,1173,678,392,FALSE,"QRCODE","2018-08-24T21:53:41Z","Seattle, WA 98134","Seattle, WA","CenturyLink Field","CenturyLink Field","US","America/Los_Angeles","Seattle",TRUE,0,0.87232786,819,9,339,"WA","https://seatgeek.com/venues/centurylink-field/tickets","centurylink-field","800 Occidental Ave S","98134",-122.33,47.6,FALSE,"QRCODE","2018-03-02T22:54:54Z"
"124","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:17",0.816,"Redskins at Eagles",0.918,"","2018-12-04T01:15:00","2018-12-04T05:15:00",4346936,"2018-12-03T20:15:00","https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936","nfl","Washington Redskins at Philadelphia Eagles",FALSE,FALSE,NA,144,122,559,299.16638,1189,1182,240,FALSE,"QRCODE","2018-08-24T21:53:41Z","Philadelphia, PA 19148","Philadelphia, PA","Lincoln Financial Field","Lincoln Financial Field","US","America/New_York","Philadelphia",TRUE,0,0.90542686,504,12,330,"PA","https://seatgeek.com/venues/lincoln-financial-field/tickets","lincoln-financial-field","1020 Pattison Ave","19148",-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"125","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:29",0.725,"Jaguars at Titans",0.808,"","2018-12-07T00:20:00","2018-12-07T04:20:00",4346987,"2018-12-06T19:20:00","https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987","nfl","Jacksonville Jaguars at Tennessee Titans",FALSE,FALSE,NA,37,37,542,157.59595,2276,869,134,FALSE,"QRCODE","2018-08-24T21:53:42Z","Nashville, TN 37213","Nashville, TN","Nissan Stadium","Nissan Stadium","US","America/New_York","Nashville",TRUE,0,0.8546275,659,15,1126,"TN","https://seatgeek.com/venues/nissan-stadium/tickets","nissan-stadium","1 Titans Way","37213",-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
"126","2018-10-08","2018-10-08_10.57.45","normal",FALSE,FALSE,"2018-04-20T00:00:00","2018-04-20T00:47:15",0.778,"Saints at Buccaneers",0.873,"","2018-12-09T18:00:00","2018-12-09T22:00:00",4346926,"2018-12-09T13:00:00","https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926","nfl","New Orleans Saints at Tampa Bay Buccaneers",FALSE,FALSE,NA,77,79,15,203.26666,524,379,182,FALSE,"QRCODE","2018-08-24T21:53:42Z","Tampa, FL 33607","Tampa, FL","Raymond James Stadium","Raymond James Stadium","US","America/New_York","Tampa",TRUE,0,0.86513025,539,15,39,"FL","https://seatgeek.com/venues/raymond-james-stadium/tickets","raymond-james-stadium","4201 North Dale Mabry Highway","33607",-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
