"","date","timestamp","popularity","datetime_utc","datetime_tbd","score","status","type","datetime_local","time_tbd","is_open","description","date_tbd","announce_date","short_title","url","visible_until_utc","created_at","id","title","general_admission","listing_count","average_price","lowest_price_good_deals","lowest_price","highest_price","employee_only_accessMethod","created_at_accessMethod","method_accessMethod","timezone","popularity_venue","display_location","city","name","country","has_upcoming_events","score_venue","postal_code","slug","extended_address","state","num_upcoming_events","address","name_v2","url_venue","id_venue","lat","lon","employee_only_AccessMethod","created_at_AccessMethod","method_AccessMethod"
"31","2018-09-05","2018-09-05_11.00.08",0.956,"2018-09-16T20:25:00",FALSE,0.88,"normal","nfl","2018-09-16T14:25:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Raiders at Broncos","https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149","2018-09-17T00:25:00","2018-04-20T01:04:06",4347149,"Oakland Raiders at Denver Broncos",NA,920,435.31,158,158,1480,FALSE,"2018-08-24T18:24:52Z","QRCODE","America/Denver",0,"Denver, CO","Denver","Sports Authority Field at Mile High","US",TRUE,0.9028296,"80204","sports-authority-field-at-mile-high","Denver, CO 80204","CO",8,"1701 Bryant St.","Sports Authority Field at Mile High","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",1131,39.74,-105.02,FALSE,"2015-08-07T18:39:02Z","QRCODE_TM"
"32","2018-09-05","2018-09-05_11.00.08",0.95,"2018-09-16T20:25:00",FALSE,0.87,"normal","nfl","2018-09-16T16:25:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Patriots at Jaguars","https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951","2018-09-17T00:25:00","2018-04-20T00:47:19",4346951,"New England Patriots at Jacksonville Jaguars",NA,798,342.69,156,156,1283,FALSE,"2018-08-24T18:23:21Z","QRCODE","America/New_York",0,"Jacksonville, FL","Jacksonville","TIAA Bank Field","US",TRUE,0.83759147,"32202","tiaa-bank-field","Jacksonville, FL 32202","FL",10,"1 Everbank Field Dr","TIAA Bank Field","https://seatgeek.com/venues/tiaa-bank-field/tickets",5178,30.3239,-81.6373,FALSE,"2015-10-17T20:03:42Z","QRCODE_TM"
"33","2018-09-05","2018-09-05_11.00.08",1.004,"2018-09-17T00:20:00",FALSE,0.938,"normal","nfl","2018-09-16T19:20:00",FALSE,TRUE,"",FALSE,"2018-04-05T00:00:00","Giants at Cowboys","https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925","2018-09-17T04:20:00","2018-04-05T23:08:47",4327925,"New York Giants at Dallas Cowboys",NA,2354,392.9,47,47,3000,FALSE,"2018-04-17T22:02:33Z","QRCODE","America/Chicago",0,"Arlington, TX","Arlington","AT&T Stadium","US",TRUE,0.9751414,"76011","at-t-stadium","Arlington, TX 76011","TX",25,"1 AT&T Way","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets",4965,32.7459,-97.0957,FALSE,"2018-04-17T22:02:33Z","QRCODE"
"34","2018-09-05","2018-09-05_11.00.08",0.975,"2018-09-18T00:15:00",FALSE,0.907,"normal","nfl","2018-09-17T19:15:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Seahawks at Bears","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010","2018-09-18T04:15:00","2018-04-20T00:47:34",4347010,"Seattle Seahawks at Chicago Bears",NA,994,473.71,153,153,11645,FALSE,"2018-08-24T18:25:05Z","QRCODE","America/Chicago",0,"Chicago, IL","Chicago","Soldier Field","US",TRUE,0.940013,"60605","soldier-field","Chicago, IL 60605","IL",12,"1410 S. Museum Campus Drive","Soldier Field","https://seatgeek.com/venues/soldier-field/tickets",31,41.8623,-87.6159,FALSE,"2018-06-02T00:44:08Z","NONE"
"35","2018-09-05","2018-09-05_11.00.08",0.901,"2018-09-21T00:20:00",FALSE,0.833,"normal","nfl","2018-09-20T20:20:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Jets at Browns","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000","2018-09-21T04:20:00","2018-04-20T00:47:31",4347000,"New York Jets at Cleveland Browns",NA,2017,140.54,33,33,1507,FALSE,"2018-08-24T18:25:16Z","QRCODE","America/New_York",0,"Cleveland, OH","Cleveland","FirstEnergy Stadium","US",TRUE,0.86852187,"44114","firstenergy-stadium-15","Cleveland, OH 44114","OH",8,"100 Alfred Lerner Way","FirstEnergy Stadium","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",1123,41.5065,-81.7,FALSE,"2015-11-11T20:55:31Z","NONE"
"36","2018-09-05","2018-09-05_11.00.08",0.603,"2018-09-23T00:00:00",FALSE,0.463,"normal","ncaa_football","2018-09-22T19:00:00",FALSE,FALSE,"",FALSE,"2018-01-31T00:00:00","South Alabama at Memphis","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762","2018-09-23T04:00:00","2018-01-31T15:00:53",4241762,"South Alabama Jaguars at Memphis Tigers Football",NA,208,60.24,27,27,245,NA,NA,NA,"America/Chicago",0,"Memphis, TN","Memphis","Liberty Bowl Stadium","US",TRUE,0.6733288,"38104","liberty-bowl-stadium","Memphis, TN 38104","TN",8,"335 South Hollywood St","Liberty Bowl Stadium","https://seatgeek.com/venues/liberty-bowl-stadium/tickets",2827,35.12,-89.98,NA,NA,NA
"37","2018-09-05","2018-09-05_11.00.08",0.958,"2018-09-23T17:00:00",FALSE,0.904,"normal","nfl","2018-09-23T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Colts at Eagles","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963","2018-09-23T21:00:00","2018-04-20T00:47:23",4346963,"Indianapolis Colts at Philadelphia Eagles",NA,1165,421.81,160,160,3094,FALSE,"2018-08-24T18:26:28Z","QRCODE","America/New_York",0,"Philadelphia, PA","Philadelphia","Lincoln Financial Field","US",TRUE,0.90542686,"19148","lincoln-financial-field","Philadelphia, PA 19148","PA",18,"1020 Pattison Ave","Lincoln Financial Field","https://seatgeek.com/venues/lincoln-financial-field/tickets",330,39.9046,-75.1675,FALSE,"2015-07-10T00:00:00Z","QRCODE_TM"
"38","2018-09-05","2018-09-05_11.00.08",0.914,"2018-09-23T17:00:00",FALSE,0.854,"normal","nfl","2018-09-23T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Raiders at Dolphins","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088","2018-09-23T21:00:00","2018-04-20T00:47:48",4347088,"Oakland Raiders at Miami Dolphins",NA,2010,316.73,63,63,123594,FALSE,"2018-08-24T20:34:12Z","QRCODE","America/New_York",0,"Miami Gardens, FL","Miami Gardens","Hard Rock Stadium","US",TRUE,0.8378203,"33056","hard-rock-stadium","Miami Gardens, FL 33056","FL",39,"347 Don Shula Dr.","Hard Rock Stadium","https://seatgeek.com/venues/hard-rock-stadium/tickets",29,25.96,-80.24,FALSE,"2017-10-03T18:58:44Z","NONE"
"39","2018-09-05","2018-09-05_11.00.08",0.931,"2018-09-23T17:00:00",FALSE,0.874,"normal","nfl","2018-09-23T12:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Bills at Vikings","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142","2018-09-23T21:00:00","2018-04-20T01:04:05",4347142,"Buffalo Bills at Minnesota Vikings",NA,1365,277.61,104,104,1623,FALSE,"2018-08-23T16:03:24Z","QRCODE","America/Chicago",0,"Minneapolis, MN","Minneapolis","U.S. Bank Stadium","US",TRUE,0.88524246,"55415","u-s-bank-stadium","Minneapolis, MN 55415","MN",14,"401 Chicago Avenue","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets",218451,44.97,-93.26,FALSE,"2018-08-22T15:34:15Z","NONE"
"40","2018-09-05","2018-09-05_11.00.08",0.999,"2018-09-23T17:00:00",FALSE,0.948,"normal","nfl","2018-09-23T13:00:00",FALSE,FALSE,"",FALSE,"2018-04-20T00:00:00","Packers at Redskins","https://seatgeek.com/packers-at-redskins-tickets/9-23-2018-landover-maryland-fedex-field/nfl/4346943","2018-09-23T21:00:00","2018-04-20T00:47:18",4346943,"Green Bay Packers at Washington Redskins",NA,1870,360.34,159,159,1276,FALSE,"2018-08-24T18:25:58Z","QRCODE","America/New_York",0,"Landover, MD","Landover","FedEx Field","US",TRUE,0.9333444,"20785","fedex-field","Landover, MD 20785","MD",9,"1600 Fedex Way","FedEx Field","https://seatgeek.com/venues/fedex-field/tickets",35,38.9071,-76.8658,FALSE,"2015-09-12T14:13:58Z","QRCODE_TM"
