"","date","timestamp","short_title","time_tbd","visible_until_utc","date_tbd","description","title","datetime_tbd","datetime_local","is_open","announce_date","popularity","created_at","status","url","score","datetime_utc","type","id","general_admission","lowest_price_good_deals","highest_price","average_price","visible_listing_count","median_price","lowest_price","listing_count","created_at_accessMethod","method_accessMethod","employee_only_accessMethod","slug","has_upcoming_events","country","city","address","state","name_v2","timezone","extended_address","num_upcoming_events","popularity_venue","postal_code","url_venue","score_venue","name","display_location","id_venue","lon","lat","created_at_AccessMethod","method_AccessMethod","employee_only_AccessMethod"
"152","2018-09-11","2018-09-11_16.00.13","Texans at Redskins",FALSE,"2018-11-18T22:00:00",FALSE,"","Houston Texans at Washington Redskins",FALSE,"2018-11-18T13:00:00",FALSE,"2018-04-20T00:00:00",0.851,"2018-04-20T00:47:17","normal","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939",0.902,"2018-11-18T18:00:00","nfl",4346939,NA,84,1015,180.77,NA,NA,84,763,"2018-08-24T21:53:40Z","QRCODE",FALSE,"fedex-field",TRUE,"US","Landover","1600 Fedex Way","MD","FedEx Field","America/New_York","Landover, MD 20785",9,0,"20785","https://seatgeek.com/venues/fedex-field/tickets",0.9333444,"FedEx Field","Landover, MD",35,-76.8658,38.9071,"2015-09-12T14:13:58Z","QRCODE_TM",FALSE
"153","2018-09-11","2018-09-11_16.00.13","Raiders at Cardinals",FALSE,"2018-11-19T01:05:00",FALSE,"","Oakland Raiders at Arizona Cardinals",FALSE,"2018-11-18T14:05:00",FALSE,"2018-04-20T00:00:00",0.862,"2018-04-20T00:47:51","normal","https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100",0.91,"2018-11-18T21:05:00","nfl",4347100,NA,110,608,293.8,NA,NA,110,83,"2018-08-24T21:53:40Z","QRCODE",FALSE,"state-farm-stadium",TRUE,"US","Glendale","1 Cardinals Drive","AZ","State Farm Stadium","America/Phoenix","Glendale, AZ 85305",10,0,"85305","https://seatgeek.com/venues/state-farm-stadium/tickets",0.93402725,"State Farm Stadium","Glendale, AZ",43,-112.262,33.5294,"2015-12-21T17:26:05Z","NONE",FALSE
"154","2018-09-11","2018-09-11_16.00.13","Broncos at Chargers",FALSE,"2018-11-19T01:05:00",FALSE,"","Denver Broncos at Los Angeles Chargers",FALSE,"2018-11-18T13:05:00",FALSE,"2018-04-20T00:00:00",0.847,"2018-04-20T00:47:52","normal","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110",0.91,"2018-11-18T21:05:00","nfl",4347110,NA,186,765,297.89,NA,NA,186,348,"2018-08-24T21:53:40Z","QRCODE",FALSE,"stubhub-center",TRUE,"US","Carson","18400 Avalon Blvd","CA","StubHub Center","America/Los_Angeles","Carson, CA 90746",13,0,"90746","https://seatgeek.com/venues/stubhub-center/tickets",0.7228164,"StubHub Center","Carson, CA",52,-118.261,33.8643,NA,NA,NA
"155","2018-09-11","2018-09-11_16.00.13","Steelers at Jaguars",FALSE,"2018-11-19T05:20:00",FALSE,"","Pittsburgh Steelers at Jacksonville Jaguars",FALSE,"2018-11-18T20:20:00",FALSE,"2018-04-20T00:00:00",0.829,"2018-04-20T00:47:19","normal","https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-tiaa-bank-field/nfl/4346947",0.886,"2018-11-19T01:20:00","nfl",4346947,NA,171,1046,400.18,NA,NA,171,327,"2018-08-24T21:53:40Z","QRCODE",FALSE,"everbank-field",TRUE,"US","Jacksonville","1 Everbank Field Dr","FL","EverBank Field","America/New_York","Jacksonville, FL 32202",10,0,"32202","https://seatgeek.com/venues/everbank-field/tickets",0.83759147,"EverBank Field","Jacksonville, FL",5178,-81.6373,30.3239,"2015-10-17T20:03:42Z","QRCODE_TM",FALSE
"156","2018-09-11","2018-09-11_16.00.13","Chiefs at Rams",FALSE,"2018-11-20T05:15:00",FALSE,"","Kansas City Chiefs at Los Angeles Rams",FALSE,"2018-11-19T19:15:00",FALSE,"2018-04-20T00:00:00",0.842,"2018-04-20T01:04:04","normal","https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",0.898,"2018-11-20T01:15:00","nfl",4347137,NA,679,679,679,NA,NA,679,1,"2018-08-24T21:53:40Z","QRCODE",FALSE,"estadio-azteca-2",TRUE,"Mexico","Mexico City","Calzada de Tlalpan 3665",NA,"Estadio Azteca","America/Mexico_City","Mexico City, Mexico",1,0,"04650","https://seatgeek.com/venues/estadio-azteca-2/tickets",0,"Estadio Azteca","Mexico City, Mexico",41952,-99.15,19.3,NA,NA,NA
"157","2018-09-11","2018-09-11_16.00.13","Bears at Lions",FALSE,"2018-11-22T21:30:00",FALSE,"","Chicago Bears at Detroit Lions",FALSE,"2018-11-22T12:30:00",FALSE,"2018-04-20T00:00:00",0.867,"2018-04-20T00:47:36","normal","https://seatgeek.com/bears-at-lions-tickets/11-22-2018-detroit-michigan-ford-field/nfl/4347024",0.919,"2018-11-22T17:30:00","nfl",4347024,NA,107,1202,210.62,NA,NA,104,541,"2018-08-24T21:53:40Z","QRCODE",FALSE,"ford-field",TRUE,"US","Detroit","2000 Brush St.","MI","Ford Field","America/Detroit","Detroit, MI 48226",9,0,"48226","https://seatgeek.com/venues/ford-field/tickets",0.9029952,"Ford Field","Detroit, MI",346,-83.0459,42.34,"2015-11-04T17:31:52Z","NONE",FALSE
"158","2018-09-11","2018-09-11_16.00.13","Redskins at Cowboys",FALSE,"2018-11-23T01:30:00",FALSE,"","Washington Redskins at Dallas Cowboys",FALSE,"2018-11-22T15:30:00",TRUE,"2018-04-05T00:00:00",0.906,"2018-04-05T23:08:47","normal","https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921",0.977,"2018-11-22T21:30:00","nfl",4327921,NA,33,4322,395.37,NA,NA,33,2950,"2018-04-17T22:02:33Z","QRCODE",FALSE,"at-t-stadium",TRUE,"US","Arlington","1 AT&T Way","TX","AT&T Stadium","America/Chicago","Arlington, TX 76011",24,0,"76011","https://seatgeek.com/venues/at-t-stadium/tickets",0.9751414,"AT&T Stadium","Arlington, TX",4965,-97.0957,32.7459,"2018-04-17T22:02:33Z","QRCODE",FALSE
"159","2018-09-11","2018-09-11_16.00.13","Falcons at Saints",FALSE,"2018-11-23T05:20:00",FALSE,"","Atlanta Falcons at New Orleans Saints",FALSE,"2018-11-22T19:20:00",TRUE,"2018-04-20T00:00:00",0.815,"2018-04-20T00:47:24","normal","https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968",0.869,"2018-11-23T01:20:00","nfl",4346968,NA,119,4200,323.63,NA,NA,119,1397,"2018-05-29T20:39:22Z","QRCODE",FALSE,"mercedes-benz-superdome",TRUE,"US","New Orleans","1500 Sugar Bowl Drive","LA","Mercedes-Benz Superdome","America/Chicago","New Orleans, LA 70112",19,0,"70112","https://seatgeek.com/venues/mercedes-benz-superdome/tickets",0.8966978,"Mercedes-Benz Superdome","New Orleans, LA",128,-90.0786,29.9515,"2018-08-27T20:46:59Z","QRCODE_TM",FALSE
"160","2018-09-11","2018-09-11_16.00.13","Coastal Carolina at South Alabama",FALSE,"2018-11-23T22:00:00",FALSE,"","Coastal Carolina Chanticleers at South Alabama Jaguars Football",FALSE,"2018-11-23T12:00:00",FALSE,"2018-02-28T00:00:00",0.33,"2018-02-28T15:00:16","normal","https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-12-pm/4281983",0.29,"2018-11-23T18:00:00","ncaa_football",4281983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ladd-peebles-stadium",TRUE,"US","Mobile","1621 Virginia St.","AL","Ladd Peebles Stadium","America/Chicago","Mobile, AL 36604",7,0,"36604","https://seatgeek.com/venues/ladd-peebles-stadium/tickets",0.50177634,"Ladd Peebles Stadium","Mobile, AL",3716,-88.0761,30.6748,NA,NA,NA
"161","2018-09-11","2018-09-11_16.00.13","Jaguars at Bills",FALSE,"2018-11-25T22:00:00",FALSE,"","Jacksonville Jaguars at Buffalo Bills",FALSE,"2018-11-25T13:00:00",FALSE,"2018-04-20T00:00:00",0.816,"2018-04-20T00:47:43","normal","https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058",0.866,"2018-11-25T18:00:00","nfl",4347058,NA,37,636,101.06,NA,NA,36,1008,"2018-08-24T21:53:41Z","QRCODE",FALSE,"new-era-field",TRUE,"US","Orchard Park","1 Bills Drive","NY","New Era Field","America/New_York","Orchard Park, NY 14127",8,0,"14127","https://seatgeek.com/venues/new-era-field/tickets",0.8815085,"New Era Field","Orchard Park, NY",1135,-78.7874,42.7737,"2015-08-12T16:52:53Z","QRCODE_TM",FALSE
