"","date","timestamp","popularity","description","type","announce_date","time_tbd","title","datetime_utc","date_tbd","datetime_local","url","id","datetime_tbd","visible_until_utc","status","created_at","short_title","score","is_open","general_admission","listing_count","highest_price","visible_listing_count","lowest_price","average_price","median_price","lowest_price_good_deals","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","popularity_venue","address","country","metro_code","extended_address","timezone","url_venue","display_location","has_upcoming_events","id_venue","num_upcoming_events","postal_code","name","name_v2","score_venue","city","state","slug","lat","lon","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"204","2018-09-14","2018-09-14_11.02.26",0.777,"","nfl","2018-04-20T00:00:00",FALSE,"Los Angeles Chargers at Kansas City Chiefs","2018-12-14T01:20:00",FALSE,"2018-12-13T19:20:00","https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978",4346978,FALSE,"2018-12-14T05:20:00","normal","2018-04-20T00:47:26","Chargers at Chiefs",0.886,FALSE,NA,842,700,1079,37,145.39667,135,37,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Arrowhead Drive","US",616,"Kansas City, MO 64129","America/Chicago","https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO",TRUE,1128,9,"64129","Arrowhead Stadium","Arrowhead Stadium",0.8827867,"Kansas City","MO","arrowhead-stadium",39.0489,-94.4839,"QRCODE_TM",FALSE,"2015-08-20T16:20:51Z"
"205","2018-09-14","2018-09-14_11.02.26",0.808,"","nfl","2018-04-20T00:00:00",FALSE,"Houston Texans at New York Jets","2018-12-15T21:30:00",FALSE,"2018-12-15T16:30:00","https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015",4347015,FALSE,"2018-12-16T01:30:00","normal","2018-04-20T00:47:35","Texans at Jets",0.918,FALSE,NA,1182,918,1389,32,135.90694,113,32,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 MetLife Stadium Drive","US",501,"East Rutherford, NJ 07073","America/New_York","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ",TRUE,1587,18,"07073","MetLife Stadium","MetLife Stadium",0.94873494,"East Rutherford","NJ","metlife-stadium",40.8142,-74.0737,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"206","2018-09-14","2018-09-14_11.02.26",0.772,"","nfl","2018-04-20T00:00:00",FALSE,"Cleveland Browns at Denver Broncos","2018-12-15T21:30:00",FALSE,"2018-12-15T14:30:00","https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135",4347135,FALSE,"2018-12-16T01:30:00","normal","2018-04-20T01:04:04","Browns at Broncos",0.874,FALSE,NA,166,1089,681,102,259.12048,208,100,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1701 Bryant Street","US",751,"Denver, CO 80204","America/Denver","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Denver, CO",TRUE,1131,7,"80204","Sports Authority Field at Mile High","Sports Authority Field at Mile High",0.9028296,"Denver","CO","sports-authority-field-at-mile-high",39.74,-105.02,"QRCODE_TM",FALSE,"2015-08-07T18:39:02Z"
"207","2018-09-14","2018-09-14_11.02.26",0.816,"","nfl","2018-04-20T00:00:00",FALSE,"Arizona Cardinals at Atlanta Falcons","2018-12-16T18:00:00",FALSE,"2018-12-16T13:00:00","https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047",4347047,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:41","Cardinals at Falcons",0.914,FALSE,NA,1049,1195,1296,67,195.50716,166,62,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"441 M.L.K. Jr Dr NW","US",0,"Atlanta, GA 30313","America/New_York","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA",TRUE,419590,20,"30313","Mercedes-Benz Stadium","Mercedes-Benz Stadium",0.76958936,"Atlanta","GA","mercedes-benz-stadium",33.76,-84.4,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"208","2018-09-14","2018-09-14_11.02.26",0.827,"","nfl","2018-04-20T00:00:00",FALSE,"Dallas Cowboys at Indianapolis Colts","2018-12-16T18:00:00",FALSE,"2018-12-16T13:00:00","https://seatgeek.com/cowboys-at-colts-tickets/12-16-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346955",4346955,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:20","Cowboys at Colts",0.939,FALSE,NA,465,1980,922,110,275.6559,211,104,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"500 South Capitol Avenue","US",527,"Indianapolis, IN 46225","America/Indiana/Indianapolis","https://seatgeek.com/venues/lucas-oil-stadium/tickets","Indianapolis, IN",TRUE,1130,13,"46225","Lucas Oil Stadium","Lucas Oil Stadium",0.9071682,"Indianapolis","IN","lucas-oil-stadium",39.7601,-86.1639,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"209","2018-09-14","2018-09-14_11.02.26",0.845,"","nfl","2018-04-20T00:00:00",FALSE,"Green Bay Packers at Chicago Bears","2018-12-16T18:00:00",FALSE,"2018-12-16T12:00:00","https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002",4347002,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:32","Packers at Bears",0.959,FALSE,NA,187,2225,969,153,416.123,342,153,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1410 S. Museum Campus Drive","US",602,"Chicago, IL 60605","America/Chicago","https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL",TRUE,31,12,"60605","Soldier Field","Soldier Field",0.940013,"Chicago","IL","soldier-field",41.8623,-87.6159,"NONE",FALSE,"2018-06-02T00:44:08Z"
"210","2018-09-14","2018-09-14_11.02.26",0.77,"","nfl","2018-04-20T00:00:00",FALSE,"Detroit Lions at Buffalo Bills","2018-12-16T18:00:00",FALSE,"2018-12-16T13:00:00","https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057",4347057,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:43","Lions at Bills",0.875,FALSE,NA,1177,637,1581,25,88.15548,68,21,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Bills Drive","US",514,"Orchard Park, NY 14127","America/New_York","https://seatgeek.com/venues/new-era-field/tickets","Orchard Park, NY",TRUE,1135,8,"14127","New Era Field","New Era Field",0.8815085,"Orchard Park","NY","new-era-field",42.7737,-78.7874,"QRCODE_TM",FALSE,"2015-08-12T16:52:53Z"
"211","2018-09-14","2018-09-14_11.02.26",0.758,"","nfl","2018-04-20T00:00:00",FALSE,"Tampa Bay Buccaneers at Baltimore Ravens","2018-12-16T18:00:00",FALSE,"2018-12-16T13:00:00","https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066",4347066,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:44","Buccaneers at Ravens",0.857,FALSE,NA,748,609,1395,39,126.29412,95,39,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1101 Russell St","US",512,"Baltimore, MD 21230","America/New_York","https://seatgeek.com/venues/m-t-bank-stadium/tickets","Baltimore, MD",TRUE,1121,8,"21230","M&T Bank Stadium","M&T Bank Stadium",0.8927189,"Baltimore","MD","m-t-bank-stadium",39.2774,-76.623,"QRCODE_TM",FALSE,"2015-08-04T00:00:00Z"
"212","2018-09-14","2018-09-14_11.02.26",0.751,"","nfl","2018-04-20T00:00:00",FALSE,"Washington Redskins at Jacksonville Jaguars","2018-12-16T18:00:00",FALSE,"2018-12-16T13:00:00","https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945",4346945,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T00:47:18","Redskins at Jaguars",0.856,FALSE,NA,679,654,828,62,162.65244,126,62,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"1 Everbank Field Dr","US",561,"Jacksonville, FL 32202","America/New_York","https://seatgeek.com/venues/everbank-field/tickets","Jacksonville, FL",TRUE,5178,10,"32202","EverBank Field","EverBank Field",0.83759147,"Jacksonville","FL","everbank-field",30.3239,-81.6373,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"213","2018-09-14","2018-09-14_11.02.26",0.818,"","nfl","2018-04-20T00:00:00",FALSE,"Miami Dolphins at Minnesota Vikings","2018-12-16T18:00:00",FALSE,"2018-12-16T12:00:00","https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144",4347144,FALSE,"2018-12-16T22:00:00","normal","2018-04-20T01:04:05","Dolphins at Vikings",0.926,FALSE,NA,685,1627,1054,99,231.84964,195,99,"QRCODE",FALSE,"2018-08-24T21:53:42Z",0,"900 South 5th Street","US",0,"Minneapolis, MN 55415","America/Chicago","https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis, MN",TRUE,218451,13,"55415","U.S. Bank Stadium","U.S. Bank Stadium",0.88524246,"Minneapolis","MN","u-s-bank-stadium",44.97,-93.26,"NONE",FALSE,"2018-08-22T15:34:15Z"
