"","date","timestamp","date_tbd","datetime_utc","datetime_local","type","created_at","description","time_tbd","visible_until_utc","id","score","title","status","datetime_tbd","is_open","popularity","url","announce_date","short_title","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","state","score_venue","address","url_venue","city","postal_code","country","num_upcoming_events","timezone","display_location","name_v2","name","id_venue","popularity_venue","slug","extended_address","metro_code","has_upcoming_events","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"126","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:15","",FALSE,"2018-12-02T22:00:00",4346927,0.886,"Carolina Panthers at Tampa Bay Buccaneers","normal",FALSE,FALSE,0.816,"https://seatgeek.com/panthers-at-buccaneers-tickets/12-2-2018-tampa-florida-raymond-james-stadium/nfl/4346927","2018-04-20T00:00:00","Panthers at Buccaneers",NA,76,150,76,180.5,38,389,279,FALSE,"QRCODE","2018-08-24T21:53:41Z","FL",0.86513025,"4201 North Dale Mabry Highway","https://seatgeek.com/venues/raymond-james-stadium/tickets","Tampa","33607","US",15,"America/New_York","Tampa, FL","Raymond James Stadium","Raymond James Stadium",39,0,"raymond-james-stadium","Tampa, FL 33607",539,TRUE,-82.5034,27.9753,FALSE,"QRCODE_TM","2015-08-24T14:44:53Z"
"127","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:48","",FALSE,"2018-12-02T22:00:00",4347087,0.883,"Buffalo Bills at Miami Dolphins","normal",FALSE,FALSE,0.82,"https://seatgeek.com/bills-at-dolphins-tickets/12-2-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347087","2018-04-20T00:00:00","Bills at Dolphins",NA,51,140,61,199.27434,226,901,945,FALSE,"QRCODE","2018-08-24T21:53:41Z","FL",0.8378203,"347 Don Shula Dr.","https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens","33056","US",35,"America/New_York","Miami Gardens, FL","Hard Rock Stadium","Hard Rock Stadium",29,0,"hard-rock-stadium","Miami Gardens, FL 33056",528,TRUE,-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"128","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T12:00:00","nfl","2018-04-20T00:47:13","",FALSE,"2018-12-02T22:00:00",4346909,0.906,"Arizona Cardinals at Green Bay Packers","normal",FALSE,FALSE,0.849,"https://seatgeek.com/cardinals-at-packers-tickets/12-2-2018-green-bay-wisconsin-lambeau-field/nfl/4346909","2018-04-20T00:00:00","Cardinals at Packers",NA,142,241,154,272.7017,476,1081,1000,FALSE,"QRCODE","2018-08-24T21:53:41Z","WI",0.92909414,"1265 Lombardi Avenue","https://seatgeek.com/venues/lambeau-field/tickets","Green Bay","54304","US",5,"America/Chicago","Green Bay, WI","Lambeau Field","Lambeau Field",1125,0,"lambeau-field","Green Bay, WI 54304",658,TRUE,-88.0622,44.5013,FALSE,"QRCODE_TM","2015-09-02T22:43:34Z"
"129","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:52","",FALSE,"2018-12-02T22:00:00",4347108,0.909,"Los Angeles Chargers at Pittsburgh Steelers","normal",FALSE,FALSE,0.85,"https://seatgeek.com/chargers-at-steelers-tickets/12-2-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347108","2018-04-20T00:00:00","Chargers at Steelers",NA,90,183,92,221.41083,757,966,1092,FALSE,"QRCODE","2018-08-24T21:53:41Z","PA",0.9033526,"100 Art Rooney Avenue","https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh","15212","US",9,"America/New_York","Pittsburgh, PA","Heinz Field","Heinz Field",1119,0,"heinz-field","Pittsburgh, PA 15212",508,TRUE,-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"130","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:19","",FALSE,"2018-12-02T22:00:00",4346946,0.847,"Indianapolis Colts at Jacksonville Jaguars","normal",FALSE,FALSE,0.792,"https://seatgeek.com/colts-at-jaguars-tickets/12-2-2018-jacksonville-florida-everbank-field/nfl/4346946","2018-04-20T00:00:00","Colts at Jaguars",NA,49,107,49,138.25842,712,5579,866,FALSE,"QRCODE","2018-08-24T21:53:41Z","FL",0.83759147,"1 Everbank Field Dr","https://seatgeek.com/venues/everbank-field/tickets","Jacksonville","32202","US",7,"America/New_York","Jacksonville, FL","EverBank Field","EverBank Field",5178,0,"everbank-field","Jacksonville, FL 32202",561,TRUE,-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"131","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:41","",FALSE,"2018-12-02T22:00:00",4347048,0.932,"Baltimore Ravens at Atlanta Falcons","normal",FALSE,FALSE,0.87,"https://seatgeek.com/ravens-at-falcons-tickets/12-2-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347048","2018-04-20T00:00:00","Ravens at Falcons",NA,79,167,80,211.69565,805,1194,1038,FALSE,"QRCODE","2018-08-24T21:53:41Z","GA",0.76958936,"35 Northside Dr NW","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta","30313","US",19,"America/New_York","Atlanta, GA","Mercedes-Benz Stadium","Mercedes-Benz Stadium",419590,0,"mercedes-benz-stadium","Atlanta, GA 30313",0,TRUE,-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"132","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:39","",FALSE,"2018-12-02T22:00:00",4347038,0.919,"Denver Broncos at Cincinnati Bengals","normal",FALSE,FALSE,0.854,"https://seatgeek.com/broncos-at-bengals-tickets/12-2-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347038","2018-04-20T00:00:00","Broncos at Bengals",NA,56,99,50,115.67247,574,511,869,FALSE,"QRCODE","2018-08-24T21:53:41Z","OH",0.86166537,"1 Paul Brown Stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati","45202","US",7,"America/New_York","Cincinnati, OH","Paul Brown Stadium","Paul Brown Stadium",1124,0,"paul-brown-stadium","Cincinnati, OH 45202",515,TRUE,-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"133","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T13:00:00","nfl","2018-04-20T00:47:32","",FALSE,"2018-12-02T22:00:00",4347004,0.938,"Chicago Bears at New York Giants","normal",FALSE,FALSE,0.868,"https://seatgeek.com/bears-at-giants-tickets/12-2-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347004","2018-04-20T00:00:00","Bears at Giants",NA,99,191,101,244.01636,795,1666,1182,FALSE,"QRCODE","2018-08-24T21:53:41Z","NJ",0.94873494,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford","07073","US",15,"America/New_York","East Rutherford, NJ","MetLife Stadium","MetLife Stadium",1587,0,"metlife-stadium","East Rutherford, NJ 07073",501,TRUE,-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"134","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T18:00:00","2018-12-02T12:00:00","nfl","2018-04-20T03:52:35","",FALSE,"2018-12-02T22:00:00",4347156,0.89,"Cleveland Browns at Houston Texans","normal",FALSE,FALSE,0.828,"https://seatgeek.com/browns-at-texans-tickets/12-2-2018-houston-texas-nrg-stadium/nfl/4347156","2018-04-20T00:00:00","Browns at Texans",NA,40,126,40,169.96642,536,2224,1021,FALSE,"QRCODE","2018-08-24T21:53:41Z","TX",0.8624192,"1 Reliant Park","https://seatgeek.com/venues/nrg-stadium/tickets","Houston","77054","US",44,"America/Chicago","Houston, TX","NRG Stadium","NRG Stadium",41,0,"nrg-stadium","Houston, TX 77054",618,TRUE,-95.4107,29.6847,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"135","2018-10-01","2018-10-01_16.00.04",FALSE,"2018-12-02T20:05:00","2018-12-02T15:05:00","nfl","2018-04-20T00:47:29","",FALSE,"2018-12-03T00:05:00",4346989,0.858,"New York Jets at Tennessee Titans","normal",FALSE,FALSE,0.802,"https://seatgeek.com/jets-at-titans-tickets/12-2-2018-nashville-tennessee-nissan-stadium/nfl/4346989","2018-04-20T00:00:00","Jets at Titans",NA,40,127,40,150.97359,530,722,829,FALSE,"QRCODE","2018-08-24T21:53:41Z","TN",0.8546275,"1 Titans Way","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville","37213","US",16,"America/New_York","Nashville, TN","Nissan Stadium","Nissan Stadium",1126,0,"nissan-stadium","Nashville, TN 37213",659,TRUE,-86.7713,36.1665,FALSE,"NONE","2015-10-19T15:09:39Z"
