"","date","timestamp","datetime_utc","visible_until_utc","datetime_local","date_tbd","time_tbd","created_at","title","popularity","description","type","announce_date","datetime_tbd","id","is_open","short_title","url","score","status","general_admission","highest_price","lowest_price_good_deals","average_price","listing_count","lowest_price","employee_only_accessMethod","method_accessMethod","created_at_accessMethod","extended_address","num_upcoming_events","display_location","popularity_venue","has_upcoming_events","name_v2","city","state","timezone","slug","id_venue","name","country","url_venue","score_venue","address","postal_code","lon","lat","employee_only_AccessMethod","method_AccessMethod","created_at_AccessMethod"
"30","2018-09-06","2018-09-06_11.03.41","2018-09-16T20:05:00","2018-09-17T00:05:00","2018-09-16T13:05:00",FALSE,FALSE,"2018-04-20T00:47:54","Detroit Lions at San Francisco 49ers",0.941,"","nfl","2018-04-20T00:00:00",FALSE,4347119,FALSE,"Lions at 49ers","https://seatgeek.com/lions-at-49ers-tickets/9-16-2018-santa-clara-california-levi-s-stadium/nfl/4347119",0.943,"normal",NA,2989,88,244.85,1350,88,FALSE,"QRCODE","2018-08-24T18:24:41Z","Santa Clara, CA 95054",13,"Santa Clara, CA",0,TRUE,"Levi's Stadium","Santa Clara","CA","America/Los_Angeles","levi-s-stadium",58670,"Levi's Stadium","US","https://seatgeek.com/venues/levi-s-stadium/tickets",0.95768774,"4900 Marie P DeBartolo Way","95054",-121.969,37.4023,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
"31","2018-09-06","2018-09-06_11.03.41","2018-09-16T20:25:00","2018-09-17T00:25:00","2018-09-16T14:25:00",FALSE,FALSE,"2018-04-20T01:04:06","Oakland Raiders at Denver Broncos",0.93,"","nfl","2018-04-20T00:00:00",FALSE,4347149,FALSE,"Raiders at Broncos","https://seatgeek.com/raiders-at-broncos-tickets/9-16-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347149",0.922,"normal",NA,1480,128,431.15,888,128,FALSE,"QRCODE","2018-08-24T18:24:52Z","Denver, CO 80204",8,"Denver, CO",0,TRUE,"Sports Authority Field at Mile High","Denver","CO","America/Denver","sports-authority-field-at-mile-high",1131,"Sports Authority Field at Mile High","US","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets",0.9028296,"1701 Bryant St.","80204",-105.02,39.74,FALSE,"QRCODE_TM","2015-08-07T18:39:02Z"
"32","2018-09-06","2018-09-06_11.03.41","2018-09-16T20:25:00","2018-09-17T00:25:00","2018-09-16T16:25:00",FALSE,FALSE,"2018-04-20T00:47:19","New England Patriots at Jacksonville Jaguars",0.929,"","nfl","2018-04-20T00:00:00",FALSE,4346951,FALSE,"Patriots at Jaguars","https://seatgeek.com/patriots-at-jaguars-tickets/9-16-2018-jacksonville-florida-tiaa-bank-field/nfl/4346951",0.919,"normal",NA,123594,153,497.59,787,153,FALSE,"QRCODE","2018-08-24T18:23:21Z","Jacksonville, FL 32202",10,"Jacksonville, FL",0,TRUE,"TIAA Bank Field","Jacksonville","FL","America/New_York","tiaa-bank-field",5178,"TIAA Bank Field","US","https://seatgeek.com/venues/tiaa-bank-field/tickets",0.83759147,"1 Everbank Field Dr","32202",-81.6373,30.3239,FALSE,"QRCODE_TM","2015-10-17T20:03:42Z"
"33","2018-09-06","2018-09-06_11.03.41","2018-09-17T00:20:00","2018-09-17T04:20:00","2018-09-16T19:20:00",FALSE,FALSE,"2018-04-05T23:08:47","New York Giants at Dallas Cowboys",0.988,"","nfl","2018-04-05T00:00:00",FALSE,4327925,TRUE,"Giants at Cowboys","https://seatgeek.com/giants-at-cowboys-tickets/9-16-2018-arlington-texas-at-t-stadium/nfl/4327925",1.001,"normal",NA,14930,49,398.96,2303,49,FALSE,"QRCODE","2018-04-17T22:02:33Z","Arlington, TX 76011",25,"Arlington, TX",0,TRUE,"AT&T Stadium","Arlington","TX","America/Chicago","at-t-stadium",4965,"AT&T Stadium","US","https://seatgeek.com/venues/at-t-stadium/tickets",0.9751414,"1 AT&T Way","76011",-97.0957,32.7459,FALSE,"QRCODE","2018-04-17T22:02:33Z"
"34","2018-09-06","2018-09-06_11.03.41","2018-09-18T00:15:00","2018-09-18T04:15:00","2018-09-17T19:15:00",FALSE,FALSE,"2018-04-20T00:47:34","Seattle Seahawks at Chicago Bears",0.948,"","nfl","2018-04-20T00:00:00",FALSE,4347010,FALSE,"Seahawks at Bears","https://seatgeek.com/seahawks-at-bears-tickets/9-17-2018-chicago-illinois-soldier-field/nfl/4347010",0.952,"normal",NA,11645,153,477.16,954,153,FALSE,"QRCODE","2018-08-24T18:25:05Z","Chicago, IL 60605",12,"Chicago, IL",0,TRUE,"Soldier Field","Chicago","IL","America/Chicago","soldier-field",31,"Soldier Field","US","https://seatgeek.com/venues/soldier-field/tickets",0.940013,"1410 S. Museum Campus Drive","60605",-87.6159,41.8623,FALSE,"NONE","2018-06-02T00:44:08Z"
"35","2018-09-06","2018-09-06_11.03.41","2018-09-21T00:20:00","2018-09-21T04:20:00","2018-09-20T20:20:00",FALSE,FALSE,"2018-04-20T00:47:31","New York Jets at Cleveland Browns",0.886,"","nfl","2018-04-20T00:00:00",FALSE,4347000,FALSE,"Jets at Browns","https://seatgeek.com/jets-at-browns-tickets/9-20-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4347000",0.89,"normal",NA,1723,33,138.26,1709,33,FALSE,"QRCODE","2018-08-24T18:25:16Z","Cleveland, OH 44114",8,"Cleveland, OH",0,TRUE,"FirstEnergy Stadium","Cleveland","OH","America/New_York","firstenergy-stadium-15",1123,"FirstEnergy Stadium","US","https://seatgeek.com/venues/firstenergy-stadium-15/tickets",0.86852187,"100 Alfred Lerner Way","44114",-81.7,41.5065,FALSE,"NONE","2015-11-11T20:55:31Z"
"36","2018-09-06","2018-09-06_11.03.41","2018-09-23T00:00:00","2018-09-23T04:00:00","2018-09-22T19:00:00",FALSE,FALSE,"2018-01-31T15:00:53","South Alabama Jaguars at Memphis Tigers Football",0.602,"","ncaa_football","2018-01-31T00:00:00",FALSE,4241762,FALSE,"South Alabama at Memphis","https://seatgeek.com/south-alabama-jaguars-at-memphis-tigers-football-tickets/ncaa-football/2018-09-22-7-pm/4241762",0.514,"normal",NA,245,26,58.95,289,26,NA,NA,NA,"Memphis, TN 38104",8,"Memphis, TN",0,TRUE,"Liberty Bowl Stadium","Memphis","TN","America/Chicago","liberty-bowl-stadium",2827,"Liberty Bowl Stadium","US","https://seatgeek.com/venues/liberty-bowl-stadium/tickets",0.6733288,"335 South Hollywood St.","38104",-89.98,35.12,NA,NA,NA
"37","2018-09-06","2018-09-06_11.03.41","2018-09-23T17:00:00","2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,FALSE,"2018-04-20T00:47:48","Oakland Raiders at Miami Dolphins",0.899,"","nfl","2018-04-20T00:00:00",FALSE,4347088,FALSE,"Raiders at Dolphins","https://seatgeek.com/raiders-at-dolphins-tickets/9-23-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347088",0.913,"normal",NA,2636,63,249.99,2028,63,FALSE,"QRCODE","2018-08-24T20:34:12Z","Miami Gardens, FL 33056",39,"Miami Gardens, FL",0,TRUE,"Hard Rock Stadium","Miami Gardens","FL","America/New_York","hard-rock-stadium",29,"Hard Rock Stadium","US","https://seatgeek.com/venues/hard-rock-stadium/tickets",0.8378203,"347 Don Shula Dr.","33056",-80.24,25.96,FALSE,"NONE","2017-10-03T18:58:44Z"
"38","2018-09-06","2018-09-06_11.03.41","2018-09-23T17:00:00","2018-09-23T21:00:00","2018-09-23T12:00:00",FALSE,FALSE,"2018-04-20T01:04:05","Buffalo Bills at Minnesota Vikings",0.914,"","nfl","2018-04-20T00:00:00",FALSE,4347142,FALSE,"Bills at Vikings","https://seatgeek.com/bills-at-vikings-tickets/9-23-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347142",0.931,"normal",NA,1667,101,275.03,1213,101,FALSE,"QRCODE","2018-08-23T16:03:24Z","Minneapolis, MN 55415",14,"Minneapolis, MN",0,TRUE,"U.S. Bank Stadium","Minneapolis","MN","America/Chicago","u-s-bank-stadium",218451,"U.S. Bank Stadium","US","https://seatgeek.com/venues/u-s-bank-stadium/tickets",0.88524246,"401 Chicago Avenue","55415",-93.26,44.97,FALSE,"NONE","2018-08-22T15:34:15Z"
"39","2018-09-06","2018-09-06_11.03.41","2018-09-23T17:00:00","2018-09-23T21:00:00","2018-09-23T13:00:00",FALSE,FALSE,"2018-04-20T00:47:23","Indianapolis Colts at Philadelphia Eagles",0.925,"","nfl","2018-04-20T00:00:00",FALSE,4346963,FALSE,"Colts at Eagles","https://seatgeek.com/colts-at-eagles-tickets/9-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346963",0.943,"normal",NA,1837,155,418.53,1174,155,FALSE,"QRCODE","2018-08-24T18:26:28Z","Philadelphia, PA 19148",18,"Philadelphia, PA",0,TRUE,"Lincoln Financial Field","Philadelphia","PA","America/New_York","lincoln-financial-field",330,"Lincoln Financial Field","US","https://seatgeek.com/venues/lincoln-financial-field/tickets",0.90542686,"1020 Pattison Ave","19148",-75.1675,39.9046,FALSE,"QRCODE_TM","2015-07-10T00:00:00Z"
