"","date","timestamp","short_title","status","visible_until_utc","score","time_tbd","date_tbd","datetime_tbd","description","is_open","datetime_local","title","datetime_utc","created_at","id","announce_date","popularity","url","type","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at_accessMethod","employee_only_accessMethod","method_accessMethod","has_upcoming_events","score_venue","slug","country","name_v2","address","name","metro_code","display_location","state","id_venue","num_upcoming_events","city","popularity_venue","postal_code","url_venue","extended_address","timezone","lat","lon","created_at_AccessMethod","employee_only_AccessMethod","method_AccessMethod"
"72","2018-09-13","2018-09-13_11.00.27","Steelers at Bengals","normal","2018-10-14T21:00:00",0.909,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Pittsburgh Steelers at Cincinnati Bengals","2018-10-14T17:00:00","2018-04-20T00:47:40",4347042,"2018-04-20T00:00:00",0.867,"https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042","nfl",NA,76,163,560,76,167.1023,715,391,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.86166537,"paul-brown-stadium","US","Paul Brown Stadium","1 Paul Brown Stadium","Paul Brown Stadium",515,"Cincinnati, OH","OH",1124,8,"Cincinnati",0,"45202","https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH 45202","America/New_York",39.0961,-84.5177,"2015-10-09T16:14:37Z",FALSE,"QRCODE_TM"
"73","2018-09-13","2018-09-13_11.00.27","Buccaneers at Falcons","normal","2018-10-14T21:00:00",0.912,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Tampa Bay Buccaneers at Atlanta Falcons","2018-10-14T17:00:00","2018-04-20T00:47:42",4347051,"2018-04-20T00:00:00",0.873,"https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051","nfl",NA,70,170,1178,72,202.26947,1145,950,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.76958936,"mercedes-benz-stadium","US","Mercedes-Benz Stadium","441 M.L.K. Jr Dr NW","Mercedes-Benz Stadium",0,"Atlanta, GA","GA",419590,20,"Atlanta",0,"30313","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA 30313","America/New_York",33.76,-84.4,"2018-08-23T20:14:46Z",FALSE,"QRCODE"
"74","2018-09-13","2018-09-13_11.00.27","Colts at Jets","normal","2018-10-14T21:00:00",0.937,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Indianapolis Colts at New York Jets","2018-10-14T17:00:00","2018-04-20T00:47:22",4346961,"2018-04-20T00:00:00",0.886,"https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961","nfl",NA,57,122,1033,59,218.47023,6034,655,"2018-08-24T21:52:02Z",FALSE,"QRCODE",TRUE,0.94873494,"metlife-stadium","US","MetLife Stadium","1 MetLife Stadium Drive","MetLife Stadium",501,"East Rutherford, NJ","NJ",1587,18,"East Rutherford",0,"07073","https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ 07073","America/New_York",40.8142,-74.0737,"2015-09-12T14:14:07Z",FALSE,"QRCODE_TM"
"75","2018-09-13","2018-09-13_11.00.27","Bears at Dolphins","normal","2018-10-14T21:00:00",0.919,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Chicago Bears at Miami Dolphins","2018-10-14T17:00:00","2018-04-20T00:47:47",4347081,"2018-04-20T00:00:00",0.872,"https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081","nfl",NA,84,223,768,103,332.64462,11345,121,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.8378203,"hard-rock-stadium","US","Hard Rock Stadium","347 Don Shula Dr.","Hard Rock Stadium",528,"Miami Gardens, FL","FL",29,38,"Miami Gardens",0,"33056","https://seatgeek.com/venues/hard-rock-stadium/tickets","Miami Gardens, FL 33056","America/New_York",25.96,-80.24,"2017-10-03T18:58:44Z",FALSE,"NONE"
"76","2018-09-13","2018-09-13_11.00.27","Chargers at Browns","normal","2018-10-14T21:00:00",0.873,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Los Angeles Chargers at Cleveland Browns","2018-10-14T17:00:00","2018-04-20T00:47:31",4346998,"2018-04-20T00:00:00",0.843,"https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998","nfl",NA,32,78,1145,33,92.87064,675,889,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.86852187,"firstenergy-stadium-15","US","FirstEnergy Stadium","100 Alfred Lerner Way","FirstEnergy Stadium",510,"Cleveland, OH","OH",1123,7,"Cleveland",0,"44114","https://seatgeek.com/venues/firstenergy-stadium-15/tickets","Cleveland, OH 44114","America/New_York",41.5065,-81.7,"2015-11-11T20:55:31Z",FALSE,"NONE"
"77","2018-09-13","2018-09-13_11.00.27","Cardinals at Vikings","normal","2018-10-14T21:00:00",0.907,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T12:00:00","Arizona Cardinals at Minnesota Vikings","2018-10-14T17:00:00","2018-04-20T01:04:06",4347145,"2018-04-20T00:00:00",0.869,"https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145","nfl",NA,104,236,739,113,273.79294,1313,396,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,0.88524246,"u-s-bank-stadium","US","U.S. Bank Stadium","401 Chicago Avenue","U.S. Bank Stadium",0,"Minneapolis, MN","MN",218451,13,"Minneapolis",0,"55415","https://seatgeek.com/venues/u-s-bank-stadium/tickets","Minneapolis, MN 55415","America/Chicago",44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"78","2018-09-13","2018-09-13_11.00.27","Panthers at Redskins","normal","2018-10-14T21:00:00",0.952,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T13:00:00","Carolina Panthers at Washington Redskins","2018-10-14T17:00:00","2018-04-20T00:47:18",4346942,"2018-04-20T00:00:00",0.903,"https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942","nfl",NA,92,190,944,98,216.53645,1011,576,"2018-08-24T21:52:02Z",FALSE,"QRCODE",TRUE,0.9333444,"fedex-field","US","FedEx Field","1600 Fedex Way","FedEx Field",511,"Landover, MD","MD",35,8,"Landover",0,"20785","https://seatgeek.com/venues/fedex-field/tickets","Landover, MD 20785","America/New_York",38.9071,-76.8658,"2015-09-12T14:13:58Z",FALSE,"QRCODE_TM"
"79","2018-09-13","2018-09-13_11.00.27","Bills at Texans","normal","2018-10-14T21:00:00",0.908,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T12:00:00","Buffalo Bills at Houston Texans","2018-10-14T17:00:00","2018-04-20T00:47:36",4347019,"2018-04-20T00:00:00",0.861,"https://seatgeek.com/bills-at-texans-tickets/10-14-2018-houston-texas-nrg-stadium/nfl/4347019","nfl",NA,60,NA,NA,60,191.09,715,493,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.8624192,"nrg-stadium","US","NRG Stadium","1 Reliant Park","NRG Stadium",618,"Houston, TX","TX",41,46,"Houston",0,"77054","https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX 77054","America/Chicago",29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"80","2018-09-13","2018-09-13_11.00.27","Ravens at Titans","normal","2018-10-14T23:25:00",0.867,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T15:25:00","Baltimore Ravens at Tennessee Titans","2018-10-14T19:25:00","2018-04-20T00:47:30",4346991,"2018-04-20T00:00:00",0.833,"https://seatgeek.com/ravens-at-titans-tickets/10-14-2018-nashville-tennessee-nissan-stadium/nfl/4346991","nfl",NA,59,174,669,62,194.125,720,432,"2018-08-24T21:53:35Z",FALSE,"QRCODE",TRUE,0.8546275,"nissan-stadium","US","Nissan Stadium","1 Titans Way","Nissan Stadium",659,"Nashville, TN","TN",1126,15,"Nashville",0,"37213","https://seatgeek.com/venues/nissan-stadium/tickets","Nashville, TN 37213","America/New_York",36.1665,-86.7713,"2015-10-19T15:09:39Z",FALSE,"NONE"
"81","2018-09-13","2018-09-13_11.00.27","Rams at Broncos","normal","2018-10-15T00:05:00",0.899,FALSE,FALSE,FALSE,"",FALSE,"2018-10-14T14:05:00","Los Angeles Rams at Denver Broncos","2018-10-14T20:05:00","2018-04-20T01:04:04",4347138,"2018-04-20T00:00:00",0.863,"https://seatgeek.com/rams-at-broncos-tickets/10-14-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347138","nfl",NA,134,305,753,156,360.11926,1193,109,"2018-08-24T21:53:38Z",FALSE,"QRCODE",TRUE,0.9028296,"sports-authority-field-at-mile-high","US","Sports Authority Field at Mile High","1701 Bryant St.","Sports Authority Field at Mile High",751,"Denver, CO","CO",1131,7,"Denver",0,"80204","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","Denver, CO 80204","America/Denver",39.74,-105.02,"2015-08-07T18:39:02Z",FALSE,"QRCODE_TM"
