"","date","timestamp","datetime_local","time_tbd","type","announce_date","score","visible_until_utc","id","datetime_utc","status","url","description","date_tbd","datetime_tbd","title","created_at","popularity","is_open","short_title","general_admission","lowest_price","highest_price","lowest_price_good_deals","average_price","visible_listing_count","listing_count","median_price","method_accessMethod","created_at_accessMethod","employee_only_accessMethod","city","name","display_location","num_upcoming_events","name_v2","address","metro_code","score_venue","id_venue","popularity_venue","has_upcoming_events","slug","url_venue","country","timezone","extended_address","state","postal_code","lat","lon","method_AccessMethod","created_at_AccessMethod","employee_only_AccessMethod"
"46","2018-10-02","2018-10-02_16.01.32","2018-10-22T20:15:00",FALSE,"nfl","2018-04-20T00:00:00",0.908,"2018-10-23T04:15:00",4347050,"2018-10-23T00:15:00","normal","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","",FALSE,FALSE,"New York Giants at Atlanta Falcons","2018-04-20T00:47:42",0.878,FALSE,"Giants at Falcons",NA,108,1793,108,297.50644,842,778,277,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Atlanta","Mercedes-Benz Stadium","Atlanta, GA",19,"Mercedes-Benz Stadium","35 Northside Dr NW",0,0.76958936,419590,0,TRUE,"mercedes-benz-stadium","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","US","America/New_York","Atlanta, GA 30313","GA","30313",33.76,-84.4,"QRCODE","2018-08-23T20:14:46Z",FALSE
"47","2018-10-02","2018-10-02_16.01.32","2018-10-23T19:00:00",FALSE,"ncaa_football","2018-02-28T00:00:00",0.285,"2018-10-24T04:00:00",4281985,"2018-10-24T00:00:00","normal","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","",FALSE,FALSE,"Troy Trojans at South Alabama Jaguars Football","2018-02-28T15:00:17",0.402,FALSE,"Troy at South Alabama",NA,25,93,25,41,11,23,32,NA,NA,NA,"Mobile","Ladd Peebles Stadium","Mobile, AL",5,"Ladd Peebles Stadium","1621 Virginia St.",686,0.50177634,3716,0,TRUE,"ladd-peebles-stadium","https://seatgeek.com/venues/ladd-peebles-stadium/tickets","US","America/Chicago","Mobile, AL 36604","AL","36604",30.6748,-88.0761,NA,NA,NA
"48","2018-10-02","2018-10-02_16.01.32","2018-10-25T19:20:00",FALSE,"nfl","2018-04-20T00:00:00",0.866,"2018-10-26T04:20:00",4347018,"2018-10-26T00:20:00","normal","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","",FALSE,FALSE,"Miami Dolphins at Houston Texans","2018-04-20T00:47:36",0.835,FALSE,"Dolphins at Texans",NA,38,620,38,162.93962,1020,646,137,"QRCODE","2018-08-24T21:53:38Z",FALSE,"Houston","NRG Stadium","Houston, TX",44,"NRG Stadium","1 Reliant Park",618,0.8624192,41,0,TRUE,"nrg-stadium","https://seatgeek.com/venues/nrg-stadium/tickets","US","America/Chicago","Houston, TX 77054","TX","77054",29.6847,-95.4107,"QRCODE_TM","2015-11-04T18:42:27Z",FALSE
"49","2018-10-02","2018-10-02_16.01.32","2018-10-28T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.84,"2018-10-28T21:00:00",4347041,"2018-10-28T17:00:00","normal","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","",FALSE,FALSE,"Tampa Bay Buccaneers at Cincinnati Bengals","2018-04-20T00:47:40",0.82,FALSE,"Buccaneers at Bengals",NA,43,332,43,107.098694,742,537,94,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Cincinnati","Paul Brown Stadium","Cincinnati, OH",7,"Paul Brown Stadium","1 Paul Brown Stadium",515,0.86166537,1124,0,TRUE,"paul-brown-stadium","https://seatgeek.com/venues/paul-brown-stadium/tickets","US","America/New_York","Cincinnati, OH 45202","OH","45202",39.0961,-84.5177,"QRCODE_TM","2015-10-09T16:14:37Z",FALSE
"50","2018-10-02","2018-10-02_16.01.32","2018-10-28T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.902,"2018-10-28T21:00:00",4347026,"2018-10-28T17:00:00","normal","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","",FALSE,FALSE,"Seattle Seahawks at Detroit Lions","2018-04-20T00:47:37",0.87,FALSE,"Seahawks at Lions",NA,72,2324,73,154.85327,546,443,125,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Detroit","Ford Field","Detroit, MI",11,"Ford Field","2000 Brush St.",505,0.9029952,346,0,TRUE,"ford-field","https://seatgeek.com/venues/ford-field/tickets","US","America/Detroit","Detroit, MI 48226","MI","48226",42.34,-83.0459,"NONE","2015-11-04T17:31:52Z",FALSE
"51","2018-10-02","2018-10-02_16.01.32","2018-10-28T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.873,"2018-10-28T21:00:00",4347070,"2018-10-28T17:00:00","normal","https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","",FALSE,FALSE,"Baltimore Ravens at Carolina Panthers","2018-04-20T00:47:45",0.842,FALSE,"Ravens at Panthers",NA,83,589,83,232.10965,461,228,173,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Charlotte","Bank of America Stadium","Charlotte, NC",8,"Bank of America Stadium","800 South Mint Street",517,0.8968222,1122,0,TRUE,"bank-of-america-stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","US","America/New_York","Charlotte, NC 28202","NC","28202",35.2243,-80.8524,"QRCODE_TM","2015-09-25T18:23:51Z",FALSE
"52","2018-10-02","2018-10-02_16.01.32","2018-10-28T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.907,"2018-10-28T21:00:00",4346940,"2018-10-28T17:00:00","normal","https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","",FALSE,FALSE,"Washington Redskins at New York Giants","2018-04-20T00:47:17",0.868,FALSE,"Redskins at Giants",NA,126,1438,126,300.44232,643,468,235,"QRCODE","2018-08-24T21:53:39Z",FALSE,"East Rutherford","MetLife Stadium","East Rutherford, NJ",15,"MetLife Stadium","1 MetLife Stadium Drive",501,0.94873494,1587,0,TRUE,"metlife-stadium","https://seatgeek.com/venues/metlife-stadium/tickets","US","America/New_York","East Rutherford, NJ 07073","NJ","07073",40.8142,-74.0737,"QRCODE_TM","2015-09-12T14:14:07Z",FALSE
"53","2018-10-02","2018-10-02_16.01.32","2018-10-28T12:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.888,"2018-10-28T21:00:00",4346981,"2018-10-28T17:00:00","normal","https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","",FALSE,FALSE,"Denver Broncos at Kansas City Chiefs","2018-04-20T00:47:27",0.855,FALSE,"Broncos at Chiefs",NA,139,840,139,257.5992,867,756,238,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Kansas City","Arrowhead Stadium","Kansas City, MO",8,"Arrowhead Stadium","1 Arrowhead Drive",616,0.8827867,1128,0,TRUE,"arrowhead-stadium","https://seatgeek.com/venues/arrowhead-stadium/tickets","US","America/Chicago","Kansas City, MO 64129","MO","64129",39.0489,-94.4839,"QRCODE_TM","2015-08-20T16:20:51Z",FALSE
"54","2018-10-02","2018-10-02_16.01.32","2018-10-28T13:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.874,"2018-10-28T21:00:00",4347078,"2018-10-28T17:00:00","normal","https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","",FALSE,FALSE,"Cleveland Browns at Pittsburgh Steelers","2018-04-20T00:47:46",0.845,FALSE,"Browns at Steelers",NA,97,1142,97,306.0851,447,235,259,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Pittsburgh","Heinz Field","Pittsburgh, PA",9,"Heinz Field","100 Art Rooney Avenue",508,0.9033526,1119,0,TRUE,"heinz-field","https://seatgeek.com/venues/heinz-field/tickets","US","America/New_York","Pittsburgh, PA 15212","PA","15212",40.4468,-80.0158,"QRCODE_TM","2015-12-08T15:36:23Z",FALSE
"55","2018-10-02","2018-10-02_16.01.32","2018-10-28T12:00:00",FALSE,"nfl","2018-04-20T00:00:00",0.896,"2018-10-28T21:00:00",4347007,"2018-10-28T17:00:00","normal","https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","",FALSE,FALSE,"New York Jets at Chicago Bears","2018-04-20T00:47:33",0.862,FALSE,"Jets at Bears",NA,133,1197,133,354.05405,516,111,310,"QRCODE","2018-08-24T21:53:39Z",FALSE,"Chicago","Soldier Field","Chicago, IL",8,"Soldier Field","1410 S. Museum Campus Drive",602,0.940013,31,0,TRUE,"soldier-field","https://seatgeek.com/venues/soldier-field/tickets","US","America/Chicago","Chicago, IL 60605","IL","60605",41.8623,-87.6159,"NONE","2018-06-02T00:44:08Z",FALSE
