"","date","timestamp","is_open","time_tbd","visible_until_utc","score","type","description","announce_date","id","datetime_tbd","created_at","popularity","status","url","date_tbd","datetime_utc","short_title","title","datetime_local","general_admission","visible_listing_count","highest_price","lowest_price","average_price","lowest_price_good_deals","median_price","listing_count","method_accessMethod","employee_only_accessMethod","created_at_accessMethod","metro_code","display_location","name","score_venue","extended_address","id_venue","has_upcoming_events","state","popularity_venue","timezone","country","city","postal_code","num_upcoming_events","address","url_venue","slug","name_v2","lon","lat","method_AccessMethod","employee_only_AccessMethod","created_at_AccessMethod"
"146","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.989,"nfl","","2018-04-20T00:00:00",4347049,FALSE,"2018-04-20T00:47:41",0.924,"normal","https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049",FALSE,"2018-11-18T18:00:00","Cowboys at Falcons","Dallas Cowboys at Atlanta Falcons","2018-11-18T13:00:00",NA,1051,2149,213,457.66058,207,390,657,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0,"Atlanta, GA","Mercedes-Benz Stadium",0.76958936,"Atlanta, GA 30313",419590,TRUE,"GA",0,"America/New_York","US","Atlanta","30313",20,"35 Northside Dr NW","https://seatgeek.com/venues/mercedes-benz-stadium/tickets","mercedes-benz-stadium","Mercedes-Benz Stadium",-84.4,33.76,"QRCODE",FALSE,"2018-08-23T20:14:46Z"
"147","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.936,"nfl","","2018-04-20T00:00:00",4347005,FALSE,"2018-04-20T00:47:32",0.875,"normal","https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005",FALSE,"2018-11-18T18:00:00","Vikings at Bears","Minnesota Vikings at Chicago Bears","2018-11-18T12:00:00",NA,778,1197,119,325.23117,119,279,186,"QRCODE",FALSE,"2018-08-24T21:53:40Z",602,"Chicago, IL","Soldier Field",0.940013,"Chicago, IL 60605",31,TRUE,"IL",0,"America/Chicago","US","Chicago","60605",12,"1410 S. Museum Campus Drive","https://seatgeek.com/venues/soldier-field/tickets","soldier-field","Soldier Field",-87.6159,41.8623,"NONE",FALSE,"2018-06-02T00:44:08Z"
"148","2018-09-15","2018-09-15_11.02.57",TRUE,FALSE,"2018-11-18T22:00:00",0.955,"nfl","","2018-04-20T00:00:00",4346969,FALSE,"2018-04-20T00:47:25",0.894,"normal","https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969",FALSE,"2018-11-18T18:00:00","Eagles at Saints","Philadelphia Eagles at New Orleans Saints","2018-11-18T12:00:00",NA,1259,3000,167,387.9971,167,363,1375,"QRCODE",FALSE,"2018-05-29T20:39:16Z",622,"New Orleans, LA","Mercedes-Benz Superdome",0.8966978,"New Orleans, LA 70112",128,TRUE,"LA",0,"America/Chicago","US","New Orleans","70112",18,"1500 Sugar Bowl Drive","https://seatgeek.com/venues/mercedes-benz-superdome/tickets","mercedes-benz-superdome","Mercedes-Benz Superdome",-90.0786,29.9515,"QRCODE_TM",FALSE,"2018-08-27T20:46:59Z"
"149","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.943,"nfl","","2018-04-20T00:00:00",4346929,FALSE,"2018-04-20T00:47:16",0.879,"normal","https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929",FALSE,"2018-11-18T18:00:00","Buccaneers at Giants","Tampa Bay Buccaneers at New York Giants","2018-11-18T13:00:00",NA,NA,1488,96,256.17,96,NA,612,"QRCODE",FALSE,"2018-08-24T21:53:40Z",501,"East Rutherford, NJ","MetLife Stadium",0.94873494,"East Rutherford, NJ 07073",1587,TRUE,"NJ",0,"America/New_York","US","East Rutherford","07073",18,"1 MetLife Stadium Drive","https://seatgeek.com/venues/metlife-stadium/tickets","metlife-stadium","MetLife Stadium",-74.0737,40.8142,"QRCODE_TM",FALSE,"2015-09-12T14:14:07Z"
"150","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.882,"nfl","","2018-04-20T00:00:00",4346957,FALSE,"2018-04-20T00:47:22",0.839,"normal","https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957",FALSE,"2018-11-18T18:00:00","Titans at Colts","Tennessee Titans at Indianapolis Colts","2018-11-18T13:00:00",NA,1113,440,28,103.384926,28,83,743,"QRCODE",FALSE,"2018-08-24T21:53:40Z",527,"Indianapolis, IN","Lucas Oil Stadium",0.9071682,"Indianapolis, IN 46225",1130,TRUE,"IN",0,"America/Indiana/Indianapolis","US","Indianapolis","46225",13,"500 South Capitol Avenue","https://seatgeek.com/venues/lucas-oil-stadium/tickets","lucas-oil-stadium","Lucas Oil Stadium",-86.1639,39.7601,"QRCODE_TM",FALSE,"2018-09-13T22:29:37Z"
"151","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-18T22:00:00",0.946,"nfl","","2018-04-20T00:00:00",4346939,FALSE,"2018-04-20T00:47:17",0.886,"normal","https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939",FALSE,"2018-11-18T18:00:00","Texans at Redskins","Houston Texans at Washington Redskins","2018-11-18T13:00:00",NA,1178,1011,81,174.91577,80,159,843,"QRCODE",FALSE,"2018-08-24T21:53:40Z",511,"Landover, MD","FedEx Field",0.9333444,"Landover, MD 20785",35,TRUE,"MD",0,"America/New_York","US","Landover","20785",8,"1600 Fedex Way","https://seatgeek.com/venues/fedex-field/tickets","fedex-field","FedEx Field",-76.8658,38.9071,"QRCODE_TM",FALSE,"2015-09-12T14:13:58Z"
"152","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-19T01:05:00",0.955,"nfl","","2018-04-20T00:00:00",4347100,FALSE,"2018-04-20T00:47:51",0.896,"normal","https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100",FALSE,"2018-11-18T21:05:00","Raiders at Cardinals","Oakland Raiders at Arizona Cardinals","2018-11-18T14:05:00",NA,885,908,97,255.07112,97,226,464,"QRCODE",FALSE,"2018-08-24T21:53:40Z",753,"Glendale, AZ","State Farm Stadium",0.93402725,"Glendale, AZ 85305",43,TRUE,"AZ",0,"America/Phoenix","US","Glendale","85305",10,"1 Cardinals Drive","https://seatgeek.com/venues/state-farm-stadium/tickets","state-farm-stadium","State Farm Stadium",-112.262,33.5294,"NONE",FALSE,"2015-12-21T17:26:05Z"
"153","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-19T01:05:00",0.975,"nfl","","2018-04-20T00:00:00",4347110,FALSE,"2018-04-20T00:47:52",0.899,"normal","https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110",FALSE,"2018-11-18T21:05:00","Broncos at Chargers","Denver Broncos at Los Angeles Chargers","2018-11-18T13:05:00",NA,526,765,186,302.83383,163,258,325,"QRCODE",FALSE,"2018-08-24T21:53:40Z",803,"Carson, CA","StubHub Center",0.7228164,"Carson, CA 90746",52,TRUE,"CA",0,"America/Los_Angeles","US","Carson","90746",16,"18400 Avalon Blvd","https://seatgeek.com/venues/stubhub-center/tickets","stubhub-center","StubHub Center",-118.261,33.8643,NA,NA,NA
"154","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-19T05:20:00",0.922,"nfl","","2018-04-20T00:00:00",4346947,FALSE,"2018-04-20T00:47:19",0.858,"normal","https://seatgeek.com/steelers-at-jaguars-tickets/11-18-2018-jacksonville-florida-everbank-field/nfl/4346947",FALSE,"2018-11-19T01:20:00","Steelers at Jaguars","Pittsburgh Steelers at Jacksonville Jaguars","2018-11-18T20:20:00",NA,720,1045,155,374.07245,151,320,497,"QRCODE",FALSE,"2018-08-24T21:53:40Z",561,"Jacksonville, FL","EverBank Field",0.83759147,"Jacksonville, FL 32202",5178,TRUE,"FL",0,"America/New_York","US","Jacksonville","32202",10,"1 Everbank Field Dr","https://seatgeek.com/venues/everbank-field/tickets","everbank-field","EverBank Field",-81.6373,30.3239,"QRCODE_TM",FALSE,"2015-10-17T20:03:42Z"
"155","2018-09-15","2018-09-15_11.02.57",FALSE,FALSE,"2018-11-20T05:15:00",0.924,"nfl","","2018-04-20T00:00:00",4347137,FALSE,"2018-04-20T01:04:04",0.862,"normal","https://seatgeek.com/chiefs-at-rams-tickets/11-19-2018-mexico-city-mexico-estadio-azteca-2/nfl/4347137",FALSE,"2018-11-20T01:15:00","Chiefs at Rams","Kansas City Chiefs at Los Angeles Rams","2018-11-19T19:15:00",NA,NA,NA,NA,NA,NA,NA,NA,"QRCODE",FALSE,"2018-08-24T21:53:40Z",0,"Mexico City, Mexico","Estadio Azteca",0,"Mexico City, Mexico",41952,TRUE,NA,0,"America/Mexico_City","Mexico","Mexico City","14370",1,"Calzada de Tlalpan 3665","https://seatgeek.com/venues/estadio-azteca-2/tickets","estadio-azteca-2","Estadio Azteca",-99.15,19.3,NA,NA,NA
