datetime_utc,type,title,is_open,date_tbd,url,short_title,datetime_local,visible_until_utc,created_at,announce_date,score,description,datetime_tbd,time_tbd,status,id,popularity,general_admission,lowest_price,average_price,visible_listing_count,listing_count,median_price,lowest_price_good_deals,highest_price,method,employee_only,created_at,url,state,slug,country,score,name_v2,display_location,city,has_upcoming_events,timezone,address,name,postal_code,id,metro_code,extended_address,num_upcoming_events,popularity,lon,lat,method,employee_only,created_at
2018-11-13T01:15:00,nfl,New York Giants at San Francisco 49ers,FALSE,FALSE,https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117,Giants at 49ers,2018-11-12T17:15:00,2018-11-13T05:15:00,2018-04-20T00:47:54,2018-04-20T00:00:00,0.912,,FALSE,FALSE,normal,4347117,0.857,NA,63,184.68791,1190,1051,157,63,2998,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/levi-s-stadium/tickets,CA,levi-s-stadium,US,0.95768774,Levi's Stadium,"Santa Clara, CA",Santa Clara,TRUE,America/Los_Angeles,4900 Marie P DeBartolo Way,Levi's Stadium,95054,58670,0,"Santa Clara, CA 95054",12,0,-121.969,37.4023,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
2018-11-16T01:20:00,nfl,Green Bay Packers at Seattle Seahawks,FALSE,FALSE,https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126,Packers at Seahawks,2018-11-15T17:20:00,2018-11-16T05:20:00,2018-04-20T00:47:56,2018-04-20T00:00:00,0.955,,FALSE,FALSE,normal,4347126,0.891,NA,250,545.881,559,168,470,229,1606,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/centurylink-field/tickets,WA,centurylink-field,US,0.87232786,CenturyLink Field,"Seattle, WA",Seattle,TRUE,America/Los_Angeles,800 Occidental Ave S,CenturyLink Field,98134,339,819,"Seattle, WA 98134",11,0,-122.33,47.6,QRCODE,FALSE,2018-03-02T22:54:54Z
2018-11-17T22:00:00,ncaa_football,South Alabama Jaguars at Louisiana Ragin Cajuns Football,FALSE,FALSE,https://seatgeek.com/south-alabama-jaguars-at-louisiana-ragin-cajuns-football-tickets/ncaa-football/2018-11-17-4-pm/4281956,South Alabama at Louisiana,2018-11-17T16:00:00,2018-11-18T02:00:00,2018-02-28T15:00:12,2018-02-28T00:00:00,0.504,,FALSE,FALSE,normal,4281956,0.517,NA,54,62.63158,47,95,57,53,103,NA,NA,NA,https://seatgeek.com/venues/cajun-field/tickets,LA,cajun-field,US,0.43303972,Cajun Field,"Lafayette, LA",Lafayette,TRUE,America/Chicago,201 Rhienhardt Drive,Cajun Field,70506,2796,642,"Lafayette, LA 70506",4,0,-92.04,30.22,NA,NA,NA
2018-11-18T18:00:00,nfl,Cincinnati Bengals at Baltimore Ravens,FALSE,FALSE,https://seatgeek.com/bengals-at-ravens-tickets/11-18-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347068,Bengals at Ravens,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:45,2018-04-20T00:00:00,0.831,,FALSE,FALSE,normal,4347068,0.789,NA,44,134.00334,1118,598,103,44,547,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/m-t-bank-stadium/tickets,MD,m-t-bank-stadium,US,0.8927189,M&T Bank Stadium,"Baltimore, MD",Baltimore,TRUE,America/New_York,1101 Russell St,M&T Bank Stadium,21230,1121,512,"Baltimore, MD 21230",7,0,-76.623,39.2774,QRCODE_TM,FALSE,2015-08-04T00:00:00Z
2018-11-18T18:00:00,nfl,Philadelphia Eagles at New Orleans Saints,TRUE,FALSE,https://seatgeek.com/eagles-at-saints-tickets/11-18-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346969,Eagles at Saints,2018-11-18T12:00:00,2018-11-18T22:00:00,2018-04-20T00:47:25,2018-04-20T00:00:00,0.901,,FALSE,FALSE,normal,4346969,0.851,NA,158,377.96213,1365,1294,353,151,3000,QRCODE,FALSE,2018-05-29T20:39:16Z,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,LA,mercedes-benz-superdome,US,0.8966978,Mercedes-Benz Superdome,"New Orleans, LA",New Orleans,TRUE,America/Chicago,1500 Sugar Bowl Drive,Mercedes-Benz Superdome,70112,128,622,"New Orleans, LA 70112",17,0,-90.0786,29.9515,QRCODE_TM,FALSE,2018-08-27T20:46:59Z
2018-11-18T18:00:00,nfl,Carolina Panthers at Detroit Lions,FALSE,FALSE,https://seatgeek.com/panthers-at-lions-tickets/11-18-2018-detroit-michigan-ford-field/nfl/4347025,Panthers at Lions,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:37,2018-04-20T00:00:00,0.916,,FALSE,FALSE,normal,4347025,0.868,NA,63,172.875,893,680,116,64,2397,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/ford-field/tickets,MI,ford-field,US,0.9029952,Ford Field,"Detroit, MI",Detroit,TRUE,America/Detroit,2000 Brush St.,Ford Field,48226,346,505,"Detroit, MI 48226",11,0,-83.0459,42.34,NONE,FALSE,2015-11-04T17:31:52Z
2018-11-18T18:00:00,nfl,Minnesota Vikings at Chicago Bears,FALSE,FALSE,https://seatgeek.com/vikings-at-bears-tickets/11-18-2018-chicago-illinois-soldier-field/nfl/4347005,Vikings at Bears,2018-11-18T12:00:00,2018-11-18T22:00:00,2018-04-20T00:47:32,2018-04-20T00:00:00,0.908,,FALSE,FALSE,normal,4347005,0.854,NA,145,378.8919,775,148,318,145,1286,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/soldier-field/tickets,IL,soldier-field,US,0.940013,Soldier Field,"Chicago, IL",Chicago,TRUE,America/Chicago,1410 S. Museum Campus Drive,Soldier Field,60605,31,602,"Chicago, IL 60605",8,0,-87.6159,41.8623,NONE,FALSE,2018-06-02T00:44:08Z
2018-11-18T18:00:00,nfl,Dallas Cowboys at Atlanta Falcons,FALSE,FALSE,https://seatgeek.com/cowboys-at-falcons-tickets/11-18-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347049,Cowboys at Falcons,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:41,2018-04-20T00:00:00,0.956,,FALSE,FALSE,normal,4347049,0.895,NA,206,442.18903,976,693,365,207,2150,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,GA,mercedes-benz-stadium,US,0.76958936,Mercedes-Benz Stadium,"Atlanta, GA",Atlanta,TRUE,America/New_York,35 Northside Dr NW,Mercedes-Benz Stadium,30313,419590,0,"Atlanta, GA 30313",19,0,-84.4,33.76,QRCODE,FALSE,2018-08-23T20:14:46Z
2018-11-18T18:00:00,nfl,Tennessee Titans at Indianapolis Colts,FALSE,FALSE,https://seatgeek.com/titans-at-colts-tickets/11-18-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346957,Titans at Colts,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:22,2018-04-20T00:00:00,0.85,,FALSE,FALSE,normal,4346957,0.813,NA,31,104.37481,1068,643,85,30,602,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/lucas-oil-stadium/tickets,IN,lucas-oil-stadium,US,0.9071682,Lucas Oil Stadium,"Indianapolis, IN",Indianapolis,TRUE,America/Indiana/Indianapolis,500 South Capitol Avenue,Lucas Oil Stadium,46225,1130,527,"Indianapolis, IN 46225",12,0,-86.1639,39.7601,QRCODE_TM,FALSE,2018-09-13T22:29:37Z
2018-11-18T18:00:00,nfl,Tampa Bay Buccaneers at New York Giants,FALSE,FALSE,https://seatgeek.com/buccaneers-at-giants-tickets/11-18-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346929,Buccaneers at Giants,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:16,2018-04-20T00:00:00,0.907,,FALSE,FALSE,normal,4346929,0.851,NA,99,247.2106,1006,660,191,99,1488,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/metlife-stadium/tickets,NJ,metlife-stadium,US,0.94873494,MetLife Stadium,"East Rutherford, NJ",East Rutherford,TRUE,America/New_York,1 MetLife Stadium Drive,MetLife Stadium,07073,1587,501,"East Rutherford, NJ 07073",15,0,-74.0737,40.8142,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
2018-11-18T18:00:00,nfl,Houston Texans at Washington Redskins,FALSE,FALSE,https://seatgeek.com/texans-at-redskins-tickets/11-18-2018-landover-maryland-fedex-field/nfl/4346939,Texans at Redskins,2018-11-18T13:00:00,2018-11-18T22:00:00,2018-04-20T00:47:17,2018-04-20T00:00:00,0.909,,FALSE,FALSE,normal,4346939,0.858,NA,83,170.97644,1178,976,151,78,430,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/fedex-field/tickets,MD,fedex-field,US,0.9333444,FedEx Field,"Landover, MD",Landover,TRUE,America/New_York,1600 Fedex Way,FedEx Field,20785,35,511,"Landover, MD 20785",6,0,-76.8658,38.9071,QRCODE_TM,FALSE,2015-09-12T14:13:58Z
2018-11-18T21:05:00,nfl,Denver Broncos at Los Angeles Chargers,FALSE,FALSE,https://seatgeek.com/broncos-at-chargers-tickets/11-18-2018-carson-california-stubhub-center/nfl/4347110,Broncos at Chargers,2018-11-18T13:05:00,2018-11-19T01:05:00,2018-04-20T00:47:52,2018-04-20T00:00:00,0.931,,FALSE,FALSE,normal,4347110,0.865,NA,174,285.91666,469,348,233,174,1198,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/stubhub-center/tickets,CA,stubhub-center,US,0.7228164,StubHub Center,"Carson, CA",Carson,TRUE,America/Los_Angeles,18400 Avalon Blvd,StubHub Center,90746,52,803,"Carson, CA 90746",12,0,-118.261,33.8643,NA,NA,NA
2018-11-18T21:05:00,nfl,Oakland Raiders at Arizona Cardinals,FALSE,FALSE,https://seatgeek.com/raiders-at-cardinals-tickets/11-18-2018-glendale-arizona-state-farm-stadium/nfl/4347100,Raiders at Cardinals,2018-11-18T14:05:00,2018-11-19T01:05:00,2018-04-20T00:47:51,2018-04-20T00:00:00,0.913,,FALSE,FALSE,normal,4347100,0.865,NA,85,236.10217,838,597,214,85,729,QRCODE,FALSE,2018-08-24T21:53:40Z,https://seatgeek.com/venues/state-farm-stadium/tickets,AZ,state-farm-stadium,US,0.93402725,State Farm Stadium,"Glendale, AZ",Glendale,TRUE,America/Phoenix,1 Cardinals Drive,State Farm Stadium,85305,43,753,"Glendale, AZ 85305",9,0,-112.262,33.5294,NONE,FALSE,2015-12-21T17:26:05Z
