"","timestamp","time_tbd","title","announce_date","popularity","type","description","url","datetime_local","score","date_tbd","datetime_utc","status","created_at","short_title","datetime_tbd","id","visible_until_utc","is_open","general_admission","lowest_price_good_deals","median_price","lowest_price","average_price","listing_count","highest_price","visible_listing_count","employee_only","method","created_at","country","extended_address","address","popularity","url","display_location","timezone","has_upcoming_events","postal_code","score","name","id","num_upcoming_events","city","state","slug","name_v2","lon","lat","employee_only","method","created_at"
"100","2018-09-10_07.58.17",FALSE,"New York Giants at Atlanta Falcons","2018-04-20T00:00:00",0.868,"nfl","","https://seatgeek.com/giants-at-falcons-tickets/10-22-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347050","2018-10-22T20:15:00",0.916,FALSE,"2018-10-23T00:15:00","normal","2018-04-20T00:47:42","Giants at Falcons",FALSE,4347050,"2018-10-23T04:15:00",FALSE,NA,122,NA,122,331.17,643,1804,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Atlanta, GA 30313","441 M.L.K. Jr Dr NW",0,"https://seatgeek.com/venues/mercedes-benz-stadium/tickets","Atlanta, GA","America/New_York",TRUE,"30313",0.76958936,"Mercedes-Benz Stadium",419590,15,"Atlanta","GA","mercedes-benz-stadium","Mercedes-Benz Stadium",-84.4,33.76,FALSE,"QRCODE","2018-08-23T20:14:46Z"
"101","2018-09-10_07.58.17",FALSE,"Troy Trojans at South Alabama Jaguars Football","2018-02-28T00:00:00",0.371,"ncaa_football","","https://seatgeek.com/troy-trojans-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-23-7-pm/4281985","2018-10-23T19:00:00",0.298,FALSE,"2018-10-24T00:00:00","normal","2018-02-28T15:00:17","Troy at South Alabama",FALSE,4281985,"2018-10-24T04:00:00",FALSE,NA,32,NA,32,46.6,26,93,NA,NA,NA,NA,"US","Mobile, AL 36604","1621 Virginia St.",0,"https://seatgeek.com/venues/ladd-peebles-stadium/tickets","Mobile, AL","America/Chicago",TRUE,"36604",0.50177634,"Ladd Peebles Stadium",3716,7,"Mobile","AL","ladd-peebles-stadium","Ladd Peebles Stadium",-88.0761,30.6748,NA,NA,NA
"102","2018-09-10_07.58.17",FALSE,"Miami Dolphins at Houston Texans","2018-04-20T00:00:00",0.831,"nfl","","https://seatgeek.com/dolphins-at-texans-tickets/10-25-2018-houston-texas-nrg-stadium/nfl/4347018","2018-10-25T19:20:00",0.882,FALSE,"2018-10-26T00:20:00","normal","2018-04-20T00:47:36","Dolphins at Texans",FALSE,4347018,"2018-10-26T04:20:00",FALSE,NA,49,NA,49,182.01,496,1198,NA,FALSE,"QRCODE","2018-08-24T21:53:38Z","US","Houston, TX 77054","1 Reliant Park",0,"https://seatgeek.com/venues/nrg-stadium/tickets","Houston, TX","America/Chicago",TRUE,"77054",0.8624192,"NRG Stadium",41,46,"Houston","TX","nrg-stadium","NRG Stadium",-95.4107,29.6847,FALSE,"QRCODE_TM","2015-11-04T18:42:27Z"
"103","2018-09-10_07.58.17",FALSE,"Tampa Bay Buccaneers at Cincinnati Bengals","2018-04-20T00:00:00",0.811,"nfl","","https://seatgeek.com/buccaneers-at-bengals-tickets/10-28-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347041","2018-10-28T13:00:00",0.852,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:40","Buccaneers at Bengals",FALSE,4347041,"2018-10-28T21:00:00",FALSE,NA,39,NA,39,99.15,688,332,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Cincinnati, OH 45202","1 Paul Brown Stadium",0,"https://seatgeek.com/venues/paul-brown-stadium/tickets","Cincinnati, OH","America/New_York",TRUE,"45202",0.86166537,"Paul Brown Stadium",1124,8,"Cincinnati","OH","paul-brown-stadium","Paul Brown Stadium",-84.5177,39.0961,FALSE,"QRCODE_TM","2015-10-09T16:14:37Z"
"104","2018-09-10_07.58.17",FALSE,"Seattle Seahawks at Detroit Lions","2018-04-20T00:00:00",0.865,"nfl","","https://seatgeek.com/seahawks-at-lions-tickets/10-28-2018-detroit-michigan-ford-field/nfl/4347026","2018-10-28T13:00:00",0.913,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:37","Seahawks at Lions",FALSE,4347026,"2018-10-28T21:00:00",FALSE,NA,72,NA,71,159.2,444,786,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Detroit, MI 48226","2000 Brush St.",0,"https://seatgeek.com/venues/ford-field/tickets","Detroit, MI","America/Detroit",TRUE,"48226",0.9029952,"Ford Field",346,10,"Detroit","MI","ford-field","Ford Field",-83.0459,42.34,FALSE,"NONE","2015-11-04T17:31:52Z"
"105","2018-09-10_07.58.17",FALSE,"Washington Redskins at New York Giants","2018-04-20T00:00:00",0.867,"nfl","","https://seatgeek.com/redskins-at-giants-tickets/10-28-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346940","2018-10-28T13:00:00",0.925,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:17","Redskins at Giants",FALSE,4346940,"2018-10-28T21:00:00",FALSE,NA,127,NA,127,311.97,412,1369,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","East Rutherford, NJ 07073","1 MetLife Stadium Drive",0,"https://seatgeek.com/venues/metlife-stadium/tickets","East Rutherford, NJ","America/New_York",TRUE,"07073",0.94873494,"MetLife Stadium",1587,19,"East Rutherford","NJ","metlife-stadium","MetLife Stadium",-74.0737,40.8142,FALSE,"QRCODE_TM","2015-09-12T14:14:07Z"
"106","2018-09-10_07.58.17",FALSE,"Baltimore Ravens at Carolina Panthers","2018-04-20T00:00:00",0.835,"nfl","","https://seatgeek.com/ravens-at-panthers-tickets/10-28-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347070","2018-10-28T13:00:00",0.882,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:45","Ravens at Panthers",FALSE,4347070,"2018-10-28T21:00:00",FALSE,NA,91,NA,91,235.13,370,840,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Charlotte, NC 28202","800 South Mint Street",0,"https://seatgeek.com/venues/bank-of-america-stadium/tickets","Charlotte, NC","America/New_York",TRUE,"28202",0.8968222,"Bank of America Stadium",1122,9,"Charlotte","NC","bank-of-america-stadium","Bank of America Stadium",-80.8524,35.2243,FALSE,"QRCODE_TM","2015-09-25T18:23:51Z"
"107","2018-09-10_07.58.17",FALSE,"Denver Broncos at Kansas City Chiefs","2018-04-20T00:00:00",0.849,"nfl","","https://seatgeek.com/broncos-at-chiefs-tickets/10-28-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346981","2018-10-28T12:00:00",0.9,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:27","Broncos at Chiefs",FALSE,4346981,"2018-10-28T21:00:00",FALSE,NA,81,NA,81,209.24,767,756,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Kansas City, MO 64129","1 Arrowhead Drive",0,"https://seatgeek.com/venues/arrowhead-stadium/tickets","Kansas City, MO","America/Chicago",TRUE,"64129",0.8827867,"Arrowhead Stadium",1128,9,"Kansas City","MO","arrowhead-stadium","Arrowhead Stadium",-94.4839,39.0489,FALSE,"QRCODE_TM","2015-08-20T16:20:51Z"
"108","2018-09-10_07.58.17",FALSE,"Cleveland Browns at Pittsburgh Steelers","2018-04-20T00:00:00",0.841,"nfl","","https://seatgeek.com/browns-at-steelers-tickets/10-28-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347078","2018-10-28T13:00:00",0.887,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:46","Browns at Steelers",FALSE,4347078,"2018-10-28T21:00:00",FALSE,NA,117,NA,117,287.36,406,2436,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Pittsburgh, PA 15212","100 Art Rooney Avenue",0,"https://seatgeek.com/venues/heinz-field/tickets","Pittsburgh, PA","America/New_York",TRUE,"15212",0.9033526,"Heinz Field",1119,12,"Pittsburgh","PA","heinz-field","Heinz Field",-80.0158,40.4468,FALSE,"QRCODE_TM","2015-12-08T15:36:23Z"
"109","2018-09-10_07.58.17",FALSE,"New York Jets at Chicago Bears","2018-04-20T00:00:00",0.851,"nfl","","https://seatgeek.com/jets-at-bears-tickets/10-28-2018-chicago-illinois-soldier-field/nfl/4347007","2018-10-28T12:00:00",0.903,FALSE,"2018-10-28T17:00:00","normal","2018-04-20T00:47:33","Jets at Bears",FALSE,4347007,"2018-10-28T21:00:00",FALSE,NA,127,NA,109,283.03,147,1197,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Chicago, IL 60605","1410 S. Museum Campus Drive",0,"https://seatgeek.com/venues/soldier-field/tickets","Chicago, IL","America/Chicago",TRUE,"60605",0.940013,"Soldier Field",31,12,"Chicago","IL","soldier-field","Soldier Field",-87.6159,41.8623,FALSE,"NONE","2018-06-02T00:44:08Z"
"110","2018-09-10_07.58.17",FALSE,"Indianapolis Colts at Oakland Raiders","2018-04-20T00:00:00",0.824,"nfl","","https://seatgeek.com/colts-at-raiders-tickets/10-28-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347153","2018-10-28T13:05:00",0.87,FALSE,"2018-10-28T20:05:00","normal","2018-04-20T01:04:25","Colts at Raiders",FALSE,4347153,"2018-10-29T00:05:00",FALSE,NA,85,NA,85,196.4,536,708,NA,FALSE,"QRCODE","2018-08-24T21:53:39Z","US","Oakland, CA 94621","7000 Coliseum Way",0,"https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets","Oakland, CA","America/Los_Angeles",TRUE,"94621",0.7817843,"Oakland-Alameda County Coliseum",14,27,"Oakland","CA","oakland-alameda-county-coliseum","Oakland-Alameda County Coliseum",-122.201,37.7469,FALSE,"PDF417","2015-06-24T00:00:00Z"
