time_tbd,status,is_open,short_title,announce_date,datetime_tbd,popularity,id,description,visible_until_utc,score,datetime_utc,date_tbd,datetime_local,title,url,type,created_at,general_admission,visible_listing_count,lowest_price,lowest_price_good_deals,median_price,highest_price,average_price,listing_count,method,created_at,employee_only,name,postal_code,metro_code,country,city,popularity,timezone,id,num_upcoming_events,state,address,has_upcoming_events,score,name_v2,extended_address,slug,display_location,url,lon,lat,method,created_at,employee_only
FALSE,normal,FALSE,Raiders at Chargers,2018-04-20T00:00:00,FALSE,0.978,4347111,,2018-10-08T00:05:00,0.924,2018-10-07T20:05:00,FALSE,2018-10-07T13:05:00,Oakland Raiders at Los Angeles Chargers,https://seatgeek.com/raiders-at-chargers-tickets/10-7-2018-carson-california-stubhub-center/nfl/4347111,nfl,2018-04-20T00:47:52,NA,507,194,200,261,1198,294.34595,396,QRCODE,2018-08-24T21:17:06Z,FALSE,StubHub Center,90746,803,US,Carson,0,America/Los_Angeles,52,14,CA,18400 Avalon Blvd,TRUE,0.7228164,StubHub Center,"Carson, CA 90746",stubhub-center,"Carson, CA",https://seatgeek.com/venues/stubhub-center/tickets,-118.261,33.8643,NA,NA,NA
FALSE,normal,FALSE,Cardinals at 49ers,2018-04-20T00:00:00,FALSE,0.933,4347115,,2018-10-08T00:25:00,0.878,2018-10-07T20:25:00,FALSE,2018-10-07T13:25:00,Arizona Cardinals at San Francisco 49ers,https://seatgeek.com/cardinals-at-49ers-tickets/10-7-2018-santa-clara-california-levi-s-stadium/nfl/4347115,nfl,2018-04-20T00:47:53,NA,856,45,45,122,595,141.75624,681,QRCODE,2018-09-05T19:47:23Z,FALSE,Levi's Stadium,95054,0,US,Santa Clara,0,America/Los_Angeles,58670,13,CA,4900 Marie P DeBartolo Way,TRUE,0.95768774,Levi's Stadium,"Santa Clara, CA 95054",levi-s-stadium,"Santa Clara, CA",https://seatgeek.com/venues/levi-s-stadium/tickets,-121.969,37.4023,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
FALSE,normal,FALSE,Rams at Seahawks,2018-04-20T00:00:00,FALSE,0.924,4347128,,2018-10-08T00:25:00,0.866,2018-10-07T20:25:00,FALSE,2018-10-07T13:25:00,Los Angeles Rams at Seattle Seahawks,https://seatgeek.com/rams-at-seahawks-tickets/10-7-2018-seattle-washington-centurylink-field/nfl/4347128,nfl,2018-04-20T00:47:56,NA,442,164,164,352,843,376.70834,144,QRCODE,2018-08-24T21:19:14Z,FALSE,CenturyLink Field,98134,819,US,Seattle,0,America/Los_Angeles,339,12,WA,800 Occidental Ave S,TRUE,0.87232786,CenturyLink Field,"Seattle, WA 98134",centurylink-field,"Seattle, WA",https://seatgeek.com/venues/centurylink-field/tickets,-122.33,47.6,QRCODE,2018-03-02T22:54:54Z,FALSE
FALSE,normal,FALSE,Vikings at Eagles,2018-04-20T00:00:00,FALSE,0.951,4346976,,2018-10-08T00:25:00,0.897,2018-10-07T20:25:00,FALSE,2018-10-07T16:25:00,Minnesota Vikings at Philadelphia Eagles,https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976,nfl,2018-04-20T00:47:26,NA,709,213,170,385,1024,428.36862,274,QRCODE,2018-08-24T21:03:38Z,FALSE,Lincoln Financial Field,19148,504,US,Philadelphia,0,America/New_York,330,14,PA,1020 Pattison Ave,TRUE,0.90542685999999994,Lincoln Financial Field,"Philadelphia, PA 19148",lincoln-financial-field,"Philadelphia, PA",https://seatgeek.com/venues/lincoln-financial-field/tickets,-75.1675,39.9046,QRCODE_TM,2015-07-10T00:00:00Z,FALSE
FALSE,normal,FALSE,Cowboys at Texans,2018-04-20T00:00:00,FALSE,0.972,4347020,,2018-10-08T04:20:00,0.921,2018-10-08T00:20:00,FALSE,2018-10-07T19:20:00,Dallas Cowboys at Houston Texans,https://seatgeek.com/cowboys-at-texans-tickets/10-7-2018-houston-texas-nrg-stadium/nfl/4347020,nfl,2018-04-20T00:47:36,NA,688,194,194,394,1575,435.68628,408,QRCODE,2018-08-24T21:04:53Z,FALSE,NRG Stadium,77054,618,US,Houston,0,America/Chicago,41,45,TX,1 Reliant Park,TRUE,0.8624192,NRG Stadium,"Houston, TX 77054",nrg-stadium,"Houston, TX",https://seatgeek.com/venues/nrg-stadium/tickets,-95.4107,29.6847,QRCODE_TM,2015-11-04T18:42:27Z,FALSE
FALSE,normal,FALSE,Baltimore Ravens at A Purple Evening,2018-08-03T00:00:00,FALSE,0.485,4474093,,2018-10-09T00:00:00,0.324,2018-10-08T20:00:00,FALSE,2018-10-08T16:00:00,Baltimore Ravens at A Purple Evening,https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093,sports,2018-08-03T16:01:06,NA,3,65,NA,251,584,260.36365,11,QRCODE_TM,2015-08-04T00:00:00Z,FALSE,M&T Bank Stadium,21230,512,US,Baltimore,0,America/New_York,1121,7,MD,1101 Russell St,TRUE,0.8927189,M&T Bank Stadium,"Baltimore, MD 21230",m-t-bank-stadium,"Baltimore, MD",https://seatgeek.com/venues/m-t-bank-stadium/tickets,-76.623,39.2774,QRCODE_TM,2015-08-04T00:00:00Z,FALSE
FALSE,normal,TRUE,Redskins at Saints,2018-04-20T00:00:00,FALSE,0.901,4346971,,2018-10-09T04:15:00,0.841,2018-10-09T00:15:00,FALSE,2018-10-08T19:15:00,Washington Redskins at New Orleans Saints,https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971,nfl,2018-04-20T00:47:25,NA,1382,78,78,216,5942,240.46738,1487,QRCODE,2018-05-29T20:38:55Z,FALSE,Mercedes-Benz Superdome,70112,622,US,New Orleans,0,America/Chicago,128,17,LA,1500 Sugar Bowl Drive,TRUE,0.8966978,Mercedes-Benz Superdome,"New Orleans, LA 70112",mercedes-benz-superdome,"New Orleans, LA",https://seatgeek.com/venues/mercedes-benz-superdome/tickets,-90.0786,29.9515,QRCODE_TM,2018-08-27T20:46:59Z,FALSE
FALSE,normal,FALSE,Eagles at Giants,2018-04-20T00:00:00,FALSE,0.949,4346917,,2018-10-12T04:20:00,0.907,2018-10-12T00:20:00,FALSE,2018-10-11T20:20:00,Philadelphia Eagles at New York Giants,https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917,nfl,2018-04-20T00:47:14,NA,831,134,134,254,1438,325.5155,516,QRCODE,2018-08-24T21:52:02Z,FALSE,MetLife Stadium,07073,501,US,East Rutherford,0,America/New_York,1587,16,NJ,1 MetLife Stadium Drive,TRUE,0.94873494,MetLife Stadium,"East Rutherford, NJ 07073",metlife-stadium,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
FALSE,normal,FALSE,Alabama State at South Alabama,2017-12-21T00:00:00,FALSE,0.572,4192619,,2018-10-14T01:00:00,0.468,2018-10-13T21:00:00,FALSE,2018-10-13T16:00:00,Alabama State Hornets at South Alabama Jaguars Football,https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-4-pm/4192619,ncaa_football,2017-12-21T15:00:36,NA,6,19,19,36,85,41.076923,13,NA,NA,NA,Ladd Peebles Stadium,36604,686,US,Mobile,0,America/Chicago,3716,5,AL,1621 Virginia St.,TRUE,0.50177634,Ladd Peebles Stadium,"Mobile, AL 36604",ladd-peebles-stadium,"Mobile, AL",https://seatgeek.com/venues/ladd-peebles-stadium/tickets,-88.0761,30.6748,NA,NA,NA
FALSE,normal,FALSE,Steelers at Bengals,2018-04-20T00:00:00,FALSE,0.899,4347042,,2018-10-14T21:00:00,0.856,2018-10-14T17:00:00,FALSE,2018-10-14T13:00:00,Pittsburgh Steelers at Cincinnati Bengals,https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042,nfl,2018-04-20T00:47:40,NA,594,102,111,188,123844,589.75775,322,QRCODE,2018-08-24T21:53:35Z,FALSE,Paul Brown Stadium,45202,515,US,Cincinnati,0,America/New_York,1124,7,OH,1 Paul Brown Stadium,TRUE,0.86166537,Paul Brown Stadium,"Cincinnati, OH 45202",paul-brown-stadium,"Cincinnati, OH",https://seatgeek.com/venues/paul-brown-stadium/tickets,-84.5177,39.0961,QRCODE_TM,2015-10-09T16:14:37Z,FALSE
FALSE,normal,FALSE,Colts at Jets,2018-04-20T00:00:00,FALSE,0.927,4346961,,2018-10-14T21:00:00,0.887,2018-10-14T17:00:00,FALSE,2018-10-14T13:00:00,Indianapolis Colts at New York Jets,https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961,nfl,2018-04-20T00:47:22,NA,1077,46,46,131,1028,157.6302,768,QRCODE,2018-08-24T21:52:02Z,FALSE,MetLife Stadium,07073,501,US,East Rutherford,0,America/New_York,1587,16,NJ,1 MetLife Stadium Drive,TRUE,0.94873494,MetLife Stadium,"East Rutherford, NJ 07073",metlife-stadium,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,-74.0737,40.8142,QRCODE_TM,2015-09-12T14:14:07Z,FALSE
FALSE,normal,FALSE,Buccaneers at Falcons,2018-04-20T00:00:00,FALSE,0.901,4347051,,2018-10-14T21:00:00,0.859,2018-10-14T17:00:00,FALSE,2018-10-14T13:00:00,Tampa Bay Buccaneers at Atlanta Falcons,https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051,nfl,2018-04-20T00:47:42,NA,972,78,78,189,954,208.77942,816,QRCODE,2018-08-24T21:53:35Z,FALSE,Mercedes-Benz Stadium,30313,0,US,Atlanta,0,America/New_York,419590,20,GA,35 Northside Dr NW,TRUE,0.76958936,Mercedes-Benz Stadium,"Atlanta, GA 30313",mercedes-benz-stadium,"Atlanta, GA",https://seatgeek.com/venues/mercedes-benz-stadium/tickets,-84.4,33.76,QRCODE,2018-08-23T20:14:46Z,FALSE
