short_title,visible_until_utc,id,created_at,score,date_tbd,datetime_local,popularity,datetime_utc,time_tbd,announce_date,url,title,status,datetime_tbd,description,type,is_open,general_admission,listing_count,visible_listing_count,lowest_price_good_deals,average_price,lowest_price,highest_price,median_price,created_at,method,employee_only,state,slug,name_v2,city,extended_address,metro_code,id,postal_code,display_location,score,has_upcoming_events,timezone,popularity,address,url,country,num_upcoming_events,name,lat,lon,created_at,method,employee_only
Saints at Bengals,2018-11-11T22:00:00,4347040,2018-04-20T00:47:40,0.88,FALSE,2018-11-11T13:00:00,0.811,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040,New Orleans Saints at Cincinnati Bengals,normal,FALSE,,nfl,FALSE,NA,445,662,55,126.41124,55,413,111,2018-08-24T21:53:40Z,QRCODE,FALSE,OH,paul-brown-stadium,Paul Brown Stadium,Cincinnati,"Cincinnati, OH 45202",515,1124,45202,"Cincinnati, OH",0.86166537,TRUE,America/New_York,0,1 Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,US,7,Paul Brown Stadium,39.0961,-84.5177,2015-10-09T16:14:37Z,QRCODE_TM,FALSE
Lions at Bears,2018-11-11T22:00:00,4347006,2018-04-20T00:47:32,0.911,FALSE,2018-11-11T12:00:00,0.835,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,Detroit Lions at Chicago Bears,normal,FALSE,,nfl,FALSE,NA,134,774,152,365.63434,183,1197,319,2018-08-24T21:53:40Z,QRCODE,FALSE,IL,soldier-field,Soldier Field,Chicago,"Chicago, IL 60605",602,31,60605,"Chicago, IL",0.940013,TRUE,America/Chicago,0,1410 S. Museum Campus Drive,https://seatgeek.com/venues/soldier-field/tickets,US,8,Soldier Field,41.8623,-87.6159,2018-06-02T00:44:08Z,NONE,FALSE
Jaguars at Colts,2018-11-11T22:00:00,4346958,2018-04-20T00:47:22,0.837,FALSE,2018-11-11T13:00:00,0.805,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,Jacksonville Jaguars at Indianapolis Colts,normal,FALSE,,nfl,FALSE,NA,569,1090,32,105.78032,32,871,92,2018-08-24T21:53:40Z,QRCODE,FALSE,IN,lucas-oil-stadium,Lucas Oil Stadium,Indianapolis,"Indianapolis, IN 46225",527,1130,46225,"Indianapolis, IN",0.9071682,TRUE,America/Indiana/Indianapolis,0,500 South Capitol Avenue,https://seatgeek.com/venues/lucas-oil-stadium/tickets,US,12,Lucas Oil Stadium,39.7601,-86.1639,2018-09-13T22:29:37Z,QRCODE_TM,FALSE
Redskins at Buccaneers,2018-11-11T22:00:00,4346930,2018-04-20T00:47:16,0.875,FALSE,2018-11-11T13:00:00,0.805,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930,Washington Redskins at Tampa Bay Buccaneers,normal,FALSE,,nfl,FALSE,NA,33,475,82,194.18182,79,429,174,2018-08-24T21:53:40Z,QRCODE,FALSE,FL,raymond-james-stadium,Raymond James Stadium,Tampa,"Tampa, FL 33607",539,39,33607,"Tampa, FL",0.86513025,TRUE,America/New_York,0,4201 North Dale Mabry Highway,https://seatgeek.com/venues/raymond-james-stadium/tickets,US,15,Raymond James Stadium,27.9753,-82.5034,2015-08-24T14:44:53Z,QRCODE_TM,FALSE
Falcons at Browns,2018-11-11T22:00:00,4346996,2018-04-20T00:47:31,0.856,FALSE,2018-11-11T13:00:00,0.797,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/falcons-at-browns-tickets/11-11-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346996,Atlanta Falcons at Cleveland Browns,normal,FALSE,,nfl,FALSE,NA,984,1206,36,121.604675,54,1172,103,2018-08-24T21:53:40Z,QRCODE,FALSE,OH,firstenergy-stadium-15,FirstEnergy Stadium,Cleveland,"Cleveland, OH 44114",510,1123,44114,"Cleveland, OH",0.86852187,TRUE,America/New_York,0,100 Alfred Lerner Way,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,US,6,FirstEnergy Stadium,41.5065,-81.7,2015-11-11T20:55:31Z,NONE,FALSE
Bills at Jets,2018-11-11T22:00:00,4347060,2018-04-20T00:47:43,0.907,FALSE,2018-11-11T13:00:00,0.83,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060,Buffalo Bills at New York Jets,normal,FALSE,,nfl,FALSE,NA,903,1200,45,173.29568,49,942,143,2018-08-24T21:53:40Z,QRCODE,FALSE,NJ,metlife-stadium,MetLife Stadium,East Rutherford,"East Rutherford, NJ 07073",501,1587,07073,"East Rutherford, NJ",0.94873494,TRUE,America/New_York,0,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,US,15,MetLife Stadium,40.8142,-74.0737,2015-09-12T14:14:07Z,QRCODE_TM,FALSE
Dolphins at Packers,2018-11-11T22:00:00,4346912,2018-04-20T00:47:13,0.917,FALSE,2018-11-11T12:00:00,0.845,2018-11-11T18:00:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/dolphins-at-packers-tickets/11-11-2018-green-bay-wisconsin-lambeau-field/nfl/4346912,Miami Dolphins at Green Bay Packers,normal,FALSE,,nfl,FALSE,NA,124,444,183,419.0645,246,732,425,2018-08-24T21:53:40Z,QRCODE,FALSE,WI,lambeau-field,Lambeau Field,Green Bay,"Green Bay, WI 54304",658,1125,54304,"Green Bay, WI",0.92909414,TRUE,America/Chicago,0,1265 Lombardi Avenue,https://seatgeek.com/venues/lambeau-field/tickets,US,5,Lambeau Field,44.5013,-88.0622,2015-09-02T22:43:34Z,QRCODE_TM,FALSE
Chargers at Raiders,2018-11-12T01:05:00,4347130,2018-04-20T00:47:56,0.882,FALSE,2018-11-11T13:05:00,0.811,2018-11-11T21:05:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/chargers-at-raiders-tickets/11-11-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347130,Los Angeles Chargers at Oakland Raiders,normal,FALSE,,nfl,FALSE,NA,413,745,83,199.1719,83,497,185,2018-08-24T21:53:40Z,QRCODE,FALSE,CA,oakland-alameda-county-coliseum,Oakland-Alameda County Coliseum,Oakland,"Oakland, CA 94621",807,14,94621,"Oakland, CA",0.7817843,TRUE,America/Los_Angeles,0,7000 Coliseum Way,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,US,18,Oakland-Alameda County Coliseum,37.7469,-122.201,2015-06-24T00:00:00Z,PDF417,FALSE
Seahawks at Rams,2018-11-12T01:25:00,4346920,2018-04-20T00:47:14,0.894,FALSE,2018-11-11T13:25:00,0.821,2018-11-11T21:25:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/seahawks-at-rams-tickets/11-11-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346920,Seattle Seahawks at Los Angeles Rams,normal,FALSE,,nfl,FALSE,NA,679,1234,60,199.13991,65,922,151,2018-08-24T21:53:40Z,QRCODE,FALSE,CA,los-angeles-memorial-coliseum-1,Los Angeles Memorial Coliseum,Los Angeles,"Los Angeles, CA 90037",0,51012,90037,"Los Angeles, CA",0.86898464,TRUE,America/Los_Angeles,0,3911 S Figueroa St,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,US,8,Los Angeles Memorial Coliseum,34.0138,-118.288,2018-08-23T17:59:28Z,QRCODE,FALSE
Alex G with Half Waif,2018-11-12T04:00:00,4500554,2018-08-23T20:13:51,0.473,FALSE,2018-11-11T19:00:00,0.517,2018-11-12T00:00:00,FALSE,2018-08-23T00:00:00,https://seatgeek.com/alex-g-with-half-waif-tickets/tampa-florida-crowbar-2-2018-11-11-7-pm/concert/4500554,Alex G with Half Waif,normal,FALSE,,concert,FALSE,TRUE,14,1,NA,235.28572,102,584,244,NA,NA,NA,FL,crowbar-2,Crowbar,Tampa,"Tampa, FL 33605",539,3160,33605,"Tampa, FL",0.42424366,TRUE,America/New_York,0,1812 North 17th Street,https://seatgeek.com/venues/crowbar-2/tickets,US,32,Crowbar,27.9608,-82.4406,NA,NA,NA
Cowboys at Eagles,2018-11-12T05:20:00,4347031,2018-04-20T00:47:38,0.955,FALSE,2018-11-11T20:20:00,0.868,2018-11-12T01:20:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/cowboys-at-eagles-tickets/11-11-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347031,Dallas Cowboys at Philadelphia Eagles,normal,FALSE,,nfl,FALSE,NA,415,924,153,494.2289,210,1381,432,2018-08-24T21:53:40Z,QRCODE,FALSE,PA,lincoln-financial-field,Lincoln Financial Field,Philadelphia,"Philadelphia, PA 19148",504,330,19148,"Philadelphia, PA",0.90542685999999994,TRUE,America/New_York,0,1020 Pattison Ave,https://seatgeek.com/venues/lincoln-financial-field/tickets,US,14,Lincoln Financial Field,39.9046,-75.1675,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Giants at 49ers,2018-11-13T05:15:00,4347117,2018-04-20T00:47:54,0.926,FALSE,2018-11-12T17:15:00,0.844,2018-11-13T01:15:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/giants-at-49ers-tickets/11-12-2018-santa-clara-california-levi-s-stadium/nfl/4347117,New York Giants at San Francisco 49ers,normal,FALSE,,nfl,FALSE,NA,1089,1276,62,179.85399,62,3000,155,2018-08-24T21:53:40Z,QRCODE,FALSE,CA,levi-s-stadium,Levi's Stadium,Santa Clara,"Santa Clara, CA 95054",0,58670,95054,"Santa Clara, CA",0.95768774,TRUE,America/Los_Angeles,0,4900 Marie P DeBartolo Way,https://seatgeek.com/venues/levi-s-stadium/tickets,US,12,Levi's Stadium,37.4023,-121.969,2015-07-10T00:00:00Z,QRCODE_TM,FALSE
Packers at Seahawks,2018-11-16T05:20:00,4347126,2018-04-20T00:47:56,0.919,FALSE,2018-11-15T17:20:00,0.859,2018-11-16T01:20:00,FALSE,2018-04-20T00:00:00,https://seatgeek.com/packers-at-seahawks-tickets/11-15-2018-seattle-washington-centurylink-field/nfl/4347126,Green Bay Packers at Seattle Seahawks,normal,FALSE,,nfl,FALSE,NA,170,539,250,546.7941,250,1605,474,2018-08-24T21:53:40Z,QRCODE,FALSE,WA,centurylink-field,CenturyLink Field,Seattle,"Seattle, WA 98134",819,339,98134,"Seattle, WA",0.87232786,TRUE,America/Los_Angeles,0,800 Occidental Ave S,https://seatgeek.com/venues/centurylink-field/tickets,US,11,CenturyLink Field,47.6,-122.33,2018-03-02T22:54:54Z,QRCODE,FALSE
