"","timestamp","datetime_tbd","popularity","url","is_open","datetime_local","visible_until_utc","score","datetime_utc","created_at","announce_date","description","type","short_title","title","status","time_tbd","date_tbd","id","general_admission","lowest_price_good_deals","median_price","visible_listing_count","lowest_price","average_price","highest_price","listing_count","created_at","employee_only","method","city","name_v2","url","timezone","has_upcoming_events","score","metro_code","display_location","slug","country","postal_code","state","extended_address","address","name","popularity","num_upcoming_events","id","lat","lon","created_at","employee_only","method"
"131","2018-09-26_08.06.25",FALSE,0.887,"https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.883,"2018-11-25T18:00:00","2018-04-20T00:47:55","2018-04-20T00:00:00","","nfl","Seahawks at Panthers","Seattle Seahawks at Carolina Panthers","normal",FALSE,FALSE,4347125,NA,84,167,920,87,222.68297,1132,511,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Charlotte","Bank of America Stadium","https://seatgeek.com/venues/bank-of-america-stadium/tickets","America/New_York",TRUE,0.8968222,517,"Charlotte, NC","bank-of-america-stadium","US","28202","NC","Charlotte, NC 28202","800 South Mint Street","Bank of America Stadium",0,8,1122,35.2243,-80.8524,"2015-09-25T18:23:51Z",FALSE,"QRCODE_TM"
"132","2018-09-26_08.06.25",FALSE,0.85,"https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.841,"2018-11-25T18:00:00","2018-04-20T00:47:44","2018-04-20T00:00:00","","nfl","Raiders at Ravens","Oakland Raiders at Baltimore Ravens","normal",FALSE,FALSE,4347067,NA,66,139,1098,66,175.53268,722,612,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Baltimore","M&T Bank Stadium","https://seatgeek.com/venues/m-t-bank-stadium/tickets","America/New_York",TRUE,0.8927189,512,"Baltimore, MD","m-t-bank-stadium","US","21230","MD","Baltimore, MD 21230","1101 Russell St","M&T Bank Stadium",0,7,1121,39.2774,-76.623,"2015-08-04T00:00:00Z",FALSE,"QRCODE_TM"
"133","2018-09-26_08.06.25",FALSE,0.871,"https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.868,"2018-11-25T18:00:00","2018-04-20T00:47:15","2018-04-20T00:00:00","","nfl","49ers at Buccaneers","San Francisco 49ers at Tampa Bay Buccaneers","normal",FALSE,FALSE,4346928,NA,77,183,406,89,219.23256,459,43,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Tampa","Raymond James Stadium","https://seatgeek.com/venues/raymond-james-stadium/tickets","America/New_York",TRUE,0.86513025,539,"Tampa, FL","raymond-james-stadium","US","33607","FL","Tampa, FL 33607","4201 North Dale Mabry Highway","Raymond James Stadium",0,14,39,27.9753,-82.5034,"2015-08-24T14:44:53Z",FALSE,"QRCODE_TM"
"134","2018-09-26_08.06.25",FALSE,0.862,"https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956",FALSE,"2018-11-25T13:00:00","2018-11-25T22:00:00",0.845,"2018-11-25T18:00:00","2018-04-20T00:47:21","2018-04-20T00:00:00","","nfl","Dolphins at Colts","Miami Dolphins at Indianapolis Colts","normal",FALSE,FALSE,4346956,NA,39,100,1049,34,119.35246,944,610,"2018-08-24T21:53:40Z",FALSE,"QRCODE","Indianapolis","Lucas Oil Stadium","https://seatgeek.com/venues/lucas-oil-stadium/tickets","America/Indiana/Indianapolis",TRUE,0.9071682,527,"Indianapolis, IN","lucas-oil-stadium","US","46225","IN","Indianapolis, IN 46225","500 South Capitol Avenue","Lucas Oil Stadium",0,14,1130,39.7601,-86.1639,"2018-09-13T22:29:37Z",FALSE,"QRCODE_TM"
"135","2018-09-26_08.06.25",FALSE,0.854,"https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109",FALSE,"2018-11-25T13:05:00","2018-11-26T01:05:00",0.855,"2018-11-25T21:05:00","2018-04-20T00:47:52","2018-04-20T00:00:00","","nfl","Cardinals at Chargers","Arizona Cardinals at Los Angeles Chargers","normal",FALSE,FALSE,4347109,NA,95,191,600,112,215.9658,1198,585,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Carson","StubHub Center","https://seatgeek.com/venues/stubhub-center/tickets","America/Los_Angeles",TRUE,0.7228164,803,"Carson, CA","stubhub-center","US","90746","CA","Carson, CA 90746","18400 Avalon Blvd","StubHub Center",0,14,52,33.8643,-118.261,NA,NA,NA
"136","2018-09-26_08.06.25",FALSE,0.907,"https://seatgeek.com/steelers-at-broncos-tickets/11-25-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347143",FALSE,"2018-11-25T14:25:00","2018-11-26T01:25:00",0.901,"2018-11-25T21:25:00","2018-04-20T01:04:05","2018-04-20T00:00:00","","nfl","Steelers at Broncos","Pittsburgh Steelers at Denver Broncos","normal",FALSE,FALSE,4347143,NA,154,403,953,218,838.2207,12361,145,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Denver","Sports Authority Field at Mile High","https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets","America/Denver",TRUE,0.9028296,751,"Denver, CO","sports-authority-field-at-mile-high","US","80204","CO","Denver, CO 80204","1701 Bryant St.","Sports Authority Field at Mile High",0,7,1131,39.74,-105.02,"2015-08-07T18:39:02Z",FALSE,"QRCODE_TM"
"137","2018-09-26_08.06.25",FALSE,0.922,"https://seatgeek.com/packers-at-vikings-tickets/11-25-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347133",FALSE,"2018-11-25T19:20:00","2018-11-26T05:20:00",0.924,"2018-11-26T01:20:00","2018-04-20T01:04:04","2018-04-20T00:00:00","","nfl","Packers at Vikings","Green Bay Packers at Minnesota Vikings","normal",FALSE,FALSE,4347133,NA,242,396,792,242,493.1211,3678,545,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Minneapolis","U.S. Bank Stadium","https://seatgeek.com/venues/u-s-bank-stadium/tickets","America/Chicago",TRUE,0.88524246,0,"Minneapolis, MN","u-s-bank-stadium","US","55415","MN","Minneapolis, MN 55415","900 South 5th Street","U.S. Bank Stadium",0,15,218451,44.97,-93.26,"2018-08-22T15:34:15Z",FALSE,"NONE"
"138","2018-09-26_08.06.25",FALSE,0.832,"https://seatgeek.com/titans-at-texans-tickets/11-26-2018-houston-texas-nrg-stadium/nfl/4347017",FALSE,"2018-11-26T19:15:00","2018-11-27T05:15:00",0.832,"2018-11-27T01:15:00","2018-04-20T00:47:36","2018-04-20T00:00:00","","nfl","Titans at Texans","Tennessee Titans at Houston Texans","normal",FALSE,FALSE,4347017,NA,41,137,1155,41,162.00267,954,749,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Houston","NRG Stadium","https://seatgeek.com/venues/nrg-stadium/tickets","America/Chicago",TRUE,0.8624192,618,"Houston, TX","nrg-stadium","US","77054","TX","Houston, TX 77054","1 Reliant Park","NRG Stadium",0,45,41,29.6847,-95.4107,"2015-11-04T18:42:27Z",FALSE,"QRCODE_TM"
"139","2018-09-26_08.06.25",FALSE,0.957,"https://seatgeek.com/saints-at-cowboys-tickets/11-29-2018-arlington-texas-at-t-stadium/nfl/4327920",TRUE,"2018-11-29T19:20:00","2018-11-30T05:20:00",0.972,"2018-11-30T01:20:00","2018-04-05T23:08:47","2018-04-05T00:00:00","","nfl","Saints at Cowboys","New Orleans Saints at Dallas Cowboys","normal",FALSE,FALSE,4327920,NA,42,330,2516,42,396.34836,4309,2839,"2018-04-17T22:02:33Z",FALSE,"QRCODE","Arlington","AT&T Stadium","https://seatgeek.com/venues/at-t-stadium/tickets","America/Chicago",TRUE,0.9751414,623,"Arlington, TX","at-t-stadium","US","76011","TX","Arlington, TX 76011","1 AT&T Way","AT&T Stadium",0,20,4965,32.7459,-97.0957,"2018-04-17T22:02:33Z",FALSE,"QRCODE"
"140","2018-09-26_08.06.25",FALSE,0.871,"https://seatgeek.com/rams-at-lions-tickets/12-2-2018-detroit-michigan-ford-field/nfl/4347023",FALSE,"2018-12-02T13:00:00","2018-12-02T22:00:00",0.866,"2018-12-02T18:00:00","2018-04-20T00:47:36","2018-04-20T00:00:00","","nfl","Rams at Lions","Los Angeles Rams at Detroit Lions","normal",FALSE,FALSE,4347023,NA,63,127,920,63,166.51491,2392,637,"2018-08-24T21:53:41Z",FALSE,"QRCODE","Detroit","Ford Field","https://seatgeek.com/venues/ford-field/tickets","America/Detroit",TRUE,0.9029952,505,"Detroit, MI","ford-field","US","48226","MI","Detroit, MI 48226","2000 Brush St.","Ford Field",0,11,346,42.34,-83.0459,"2015-11-04T17:31:52Z",FALSE,"NONE"
