"","eventID","eventType","game","gameName_short","V5","venueID","lowest_price","highest_price","average_price","listing_count","lowest_price_good_deals","announce_date","created_at","visible_until_utc","status","url"
"54","4281951","ncaa_football","South Alabama Jaguars at Appalachian State Mountaineers Football","South Alabama at Appalachian State","Kidd Brewer Stadium","3723","54","233","95.37","159","60","2018-02-28T00:00:00","2018-02-28T15:00:11","2018-09-29T23:30:00","normal","https://seatgeek.com/south-alabama-jaguars-at-appalachian-state-mountaineers-football-tickets/ncaa-football/2018-09-29-3-30-pm/4281951"
"55","4346992","nfl","Philadelphia Eagles at Tennessee Titans","Eagles at Titans","Nissan Stadium","1126","242","1200","459.23","717","253","2018-04-20T00:00:00","2018-04-20T00:47:30","2018-09-30T20:00:00","normal","https://seatgeek.com/eagles-at-titans-tickets/9-30-2018-nashville-tennessee-nissan-stadium/nfl/4346992"
"56","4346911","nfl","Buffalo Bills at Green Bay Packers","Bills at Packers","Lambeau Field","1125","186","1553","399.84","1034","186","2018-04-20T00:00:00","2018-04-20T00:47:13","2018-09-30T21:00:00","normal","https://seatgeek.com/bills-at-packers-tickets/9-30-2018-green-bay-wisconsin-lambeau-field/nfl/4346911"
"57","4347009","nfl","Tampa Bay Buccaneers at Chicago Bears","Buccaneers at Bears","Soldier Field","31","139","1949","392.36","1067","139","2018-04-20T00:00:00","2018-04-20T00:47:33","2018-09-30T21:00:00","normal","https://seatgeek.com/buccaneers-at-bears-tickets/9-30-2018-chicago-illinois-soldier-field/nfl/4347009"
"58","4346962","nfl","Houston Texans at Indianapolis Colts","Texans at Colts","Lucas Oil Stadium","1130","30","1238","167.57","1919","30","2018-04-20T00:00:00","2018-04-20T00:47:22","2018-09-30T21:00:00","normal","https://seatgeek.com/texans-at-colts-tickets/9-30-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346962"
"59","4346949","nfl","New York Jets at Jacksonville Jaguars","Jets at Jaguars","TIAA Bank Field","5178","60","1282","132.42","1075","60","2018-04-20T00:00:00","2018-04-20T00:47:19","2018-09-30T21:00:00","normal","https://seatgeek.com/jets-at-jaguars-tickets/9-30-2018-jacksonville-florida-tiaa-bank-field/nfl/4346949"
"60","4347052","nfl","Cincinnati Bengals at Atlanta Falcons","Bengals at Falcons","Mercedes-Benz Stadium","419590","73","11790","264.24","1567","73","2018-04-20T00:00:00","2018-04-20T00:47:42","2018-09-30T21:00:00","normal","https://seatgeek.com/bengals-at-falcons-tickets/9-30-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347052"
"61","4347092","nfl","Miami Dolphins at New England Patriots","Dolphins at Patriots","Gillette Stadium","33","242","2988","667.94","1398","242","2018-04-20T00:00:00","2018-04-20T00:47:49","2018-09-30T21:00:00","normal","https://seatgeek.com/dolphins-at-patriots-tickets/9-30-2018-foxborough-massachusetts-gillette-stadium/nfl/4347092"
"62","4327924","nfl","Detroit Lions at Dallas Cowboys","Lions at Cowboys","AT&T Stadium","4965",NA,"2097","296.52","2738",NA,"2018-04-05T00:00:00","2018-04-05T23:08:47","2018-09-30T21:00:00","normal","https://seatgeek.com/lions-at-cowboys-tickets/9-30-2018-arlington-texas-at-t-stadium/nfl/4327924"
"63","4347103","nfl","Seattle Seahawks at Arizona Cardinals","Seahawks at Cardinals","State Farm Stadium","43","58","6423","199.33","2177","58","2018-04-20T00:00:00","2018-04-20T00:47:51","2018-10-01T00:05:00","normal","https://seatgeek.com/seahawks-at-cardinals-tickets/9-30-2018-glendale-arizona-state-farm-stadium/nfl/4347103"
