id,datetime_local,popularity,short_title,score,status,is_open,url,title,announce_date,datetime_tbd,time_tbd,created_at,datetime_utc,visible_until_utc,date_tbd,type,description,general_admission,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,median_price,listing_count,method,employee_only,created_at,id,has_upcoming_events,state,num_upcoming_events,popularity,timezone,country,city,metro_code,url,address,extended_address,slug,display_location,postal_code,name,score,name_v2,lon,lat,method,employee_only,created_at
4346945,2018-12-16T13:00:00,0.788,Redskins at Jaguars,0.853,normal,FALSE,https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945,Washington Redskins at Jacksonville Jaguars,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:18,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,888,653,63,162.83797,50,129,648,QRCODE,FALSE,2018-08-24T21:53:42Z,5178,TRUE,FL,9,0,America/New_York,US,Jacksonville,561,https://seatgeek.com/venues/everbank-field/tickets,1 Everbank Field Dr,"Jacksonville, FL 32202",everbank-field,"Jacksonville, FL",32202,EverBank Field,0.83759147,EverBank Field,-81.6373,30.3239,QRCODE_TM,FALSE,2015-10-17T20:03:42Z
4347144,2018-12-16T12:00:00,0.871,Dolphins at Vikings,0.942,normal,FALSE,https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144,Miami Dolphins at Minnesota Vikings,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T01:04:05,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,1137,1623,104,237.72,88,198,650,QRCODE,FALSE,2018-08-24T21:53:42Z,218451,TRUE,MN,14,0,America/Chicago,US,Minneapolis,0,https://seatgeek.com/venues/u-s-bank-stadium/tickets,401 Chicago Avenue,"Minneapolis, MN 55415",u-s-bank-stadium,"Minneapolis, MN",55415,U.S. Bank Stadium,0.88524246,U.S. Bank Stadium,-93.26,44.97,NONE,FALSE,2018-08-22T15:34:15Z
4347037,2018-12-16T13:00:00,0.826,Raiders at Bengals,0.897,normal,FALSE,https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037,Oakland Raiders at Cincinnati Bengals,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:39,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,986,601,53,120.11456,47,103,611,QRCODE,FALSE,2018-08-24T21:53:42Z,1124,TRUE,OH,7,0,America/New_York,US,Cincinnati,515,https://seatgeek.com/venues/paul-brown-stadium/tickets,1 Paul Brown Stadium,"Cincinnati, OH 45202",paul-brown-stadium,"Cincinnati, OH",45202,Paul Brown Stadium,0.86166537,Paul Brown Stadium,-84.5177,39.0961,QRCODE_TM,FALSE,2015-10-09T16:14:37Z
4346988,2018-12-16T13:00:00,0.856,Titans at Giants,0.939,normal,FALSE,https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988,Tennessee Titans at New York Giants,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:29,2018-12-16T18:00:00,2018-12-16T22:00:00,FALSE,nfl,,NA,NA,1488,82,224.85,82,NA,811,QRCODE,FALSE,2018-08-24T21:53:42Z,1587,TRUE,NJ,17,0,America/New_York,US,East Rutherford,501,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,"East Rutherford, NJ 07073",metlife-stadium,"East Rutherford, NJ",07073,MetLife Stadium,0.94873494,MetLife Stadium,-74.0737,40.8142,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
4347122,2018-12-16T13:05:00,0.877,Seahawks at 49ers,0.959,normal,FALSE,https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122,Seattle Seahawks at San Francisco 49ers,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:55,2018-12-16T21:05:00,2018-12-17T01:05:00,FALSE,nfl,,NA,1203,2991,96,230.82114,93,196,1079,QRCODE,FALSE,2018-08-24T21:53:42Z,58670,TRUE,CA,13,0,America/Los_Angeles,US,Santa Clara,0,https://seatgeek.com/venues/levi-s-stadium/tickets,4900 Marie P DeBartolo Way,"Santa Clara, CA 95054",levi-s-stadium,"Santa Clara, CA",95054,Levi's Stadium,0.95768774,Levi's Stadium,-121.969,37.4023,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
4347077,2018-12-16T16:25:00,0.897,Patriots at Steelers,0.985,normal,FALSE,https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077,New England Patriots at Pittsburgh Steelers,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:46,2018-12-16T21:25:00,2018-12-17T01:25:00,FALSE,nfl,,NA,1009,10750,196,432.27072,196,347,676,QRCODE,FALSE,2018-08-24T21:53:42Z,1119,TRUE,PA,10,0,America/New_York,US,Pittsburgh,508,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,"Pittsburgh, PA 15212",heinz-field,"Pittsburgh, PA",15212,Heinz Field,0.9033526,Heinz Field,-80.0158,40.4468,QRCODE_TM,FALSE,2015-12-08T15:36:23Z
4346919,2018-12-16T17:20:00,0.855,Eagles at Rams,0.935,normal,FALSE,https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919,Philadelphia Eagles at Los Angeles Rams,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:14,2018-12-17T01:20:00,2018-12-17T05:20:00,FALSE,nfl,,NA,1413,1939,116,344.0027,100,281,741,QRCODE,FALSE,2018-08-24T21:53:42Z,51012,TRUE,CA,11,0,America/Los_Angeles,US,Los Angeles,0,https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,3911 S Figueroa St,"Los Angeles, CA 90037",los-angeles-memorial-coliseum-1,"Los Angeles, CA",90037,Los Angeles Memorial Coliseum,0.86898464,Los Angeles Memorial Coliseum,-118.288,34.0138,QRCODE,FALSE,2018-08-23T17:59:28Z
4347035,2018-12-17T20:15:00,0.836,Saints at Panthers,0.917,normal,FALSE,https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035,New Orleans Saints at Carolina Panthers,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:38,2018-12-18T01:15:00,2018-12-18T05:15:00,FALSE,nfl,,NA,1072,1422,78,219.94183,77,157,533,QRCODE,FALSE,2018-08-24T21:53:42Z,1122,TRUE,NC,9,0,America/New_York,US,Charlotte,517,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,"Charlotte, NC 28202",bank-of-america-stadium,"Charlotte, NC",28202,Bank of America Stadium,0.8968222,Bank of America Stadium,-80.8524,35.2243,QRCODE_TM,FALSE,2015-09-25T18:23:51Z
4346986,2018-12-23T12:00:00,0.799,Redskins at Titans,0.867,normal,FALSE,https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986,Washington Redskins at Tennessee Titans,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:29,2018-12-23T17:00:00,2018-12-23T21:00:00,FALSE,nfl,,NA,1022,788,40,149.79778,39,134,628,QRCODE,FALSE,2018-08-24T21:53:43Z,1126,TRUE,TN,14,0,America/New_York,US,Nashville,659,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN 37213",nissan-stadium,"Nashville, TN",37213,Nissan Stadium,0.8546275,Nissan Stadium,-86.7713,36.1665,NONE,FALSE,2015-10-19T15:09:39Z
4346994,2018-12-23T13:00:00,0.807,Bengals at Browns,0.878,normal,FALSE,https://seatgeek.com/bengals-at-browns-tickets/12-23-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346994,Cincinnati Bengals at Cleveland Browns,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:31,2018-12-23T18:00:00,2018-12-23T22:00:00,FALSE,nfl,,NA,1565,757,32,93.29176,30,74,1323,QRCODE,FALSE,2018-08-24T21:53:43Z,1123,TRUE,OH,7,0,America/New_York,US,Cleveland,510,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,"Cleveland, OH 44114",firstenergy-stadium-15,"Cleveland, OH",44114,FirstEnergy Stadium,0.86852187,FirstEnergy Stadium,-81.7,41.5065,NONE,FALSE,2015-11-11T20:55:31Z
4347013,2018-12-23T13:00:00,0.849,Texans at Eagles,0.934,normal,FALSE,https://seatgeek.com/texans-at-eagles-tickets/12-23-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4347013,Houston Texans at Philadelphia Eagles,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:35,2018-12-23T18:00:00,2018-12-23T22:00:00,FALSE,nfl,,NA,NA,1339,142,340.8,142,NA,588,QRCODE,FALSE,2018-08-24T21:53:43Z,330,TRUE,PA,17,0,America/New_York,US,Philadelphia,504,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,"Philadelphia, PA 19148",lincoln-financial-field,"Philadelphia, PA",19148,Lincoln Financial Field,0.90542685999999994,Lincoln Financial Field,-75.1675,39.9046,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
4347022,2018-12-23T13:00:00,0.89,Vikings at Lions,0.972,normal,FALSE,https://seatgeek.com/vikings-at-lions-tickets/12-23-2018-detroit-michigan-ford-field/nfl/4347022,Minnesota Vikings at Detroit Lions,2018-04-20T00:00:00,FALSE,FALSE,2018-04-20T00:47:36,2018-12-23T18:00:00,2018-12-23T22:00:00,FALSE,nfl,,NA,1031,2402,79,205.31044,60,176,699,QRCODE,FALSE,2018-08-24T21:53:43Z,346,TRUE,MI,11,0,America/Detroit,US,Detroit,505,https://seatgeek.com/venues/ford-field/tickets,2000 Brush St.,"Detroit, MI 48226",ford-field,"Detroit, MI",48226,Ford Field,0.9029952,Ford Field,-83.0459,42.34,NONE,FALSE,2015-11-04T17:31:52Z
