id,type,time_tbd,title,visible_until_utc,created_at,datetime_utc,is_open,description,url,announce_date,short_title,status,datetime_tbd,date_tbd,popularity,datetime_local,score,general_admission,listing_count,average_price,lowest_price,median_price,visible_listing_count,highest_price,lowest_price_good_deals,method,employee_only,created_at,id,name_v2,num_upcoming_events,country,score,timezone,postal_code,extended_address,slug,url,address,has_upcoming_events,display_location,metro_code,popularity,state,name,city,lat,lon,method,employee_only,created_at
4346935,nfl,FALSE,New York Giants at Washington Redskins,2018-12-09T22:00:00,2018-04-20T00:47:17,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935,2018-04-20T00:00:00,Giants at Redskins,normal,FALSE,FALSE,0.881,2018-12-09T13:00:00,0.961,NA,722,205.05124,101,170,915,1042,93,QRCODE,FALSE,2018-08-24T21:53:42Z,35,FedEx Field,6,US,0.9333444,America/New_York,20785,"Landover, MD 20785",fedex-field,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,TRUE,"Landover, MD",511,0,MD,FedEx Field,Landover,38.9071,-76.8658,QRCODE_TM,FALSE,2015-09-12T14:13:58Z
4346910,nfl,FALSE,Atlanta Falcons at Green Bay Packers,2018-12-09T22:00:00,2018-04-20T00:47:13,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/falcons-at-packers-tickets/12-9-2018-green-bay-wisconsin-lambeau-field/nfl/4346910,2018-04-20T00:00:00,Falcons at Packers,normal,FALSE,FALSE,0.852,2018-12-09T12:00:00,0.92,NA,469,277.2921,154,247,971,692,144,QRCODE,FALSE,2018-08-24T21:53:42Z,1125,Lambeau Field,5,US,0.92909414,America/Chicago,54304,"Green Bay, WI 54304",lambeau-field,https://seatgeek.com/venues/lambeau-field/tickets,1265 Lombardi Avenue,TRUE,"Green Bay, WI",658,0,WI,Lambeau Field,Green Bay,44.5013,-88.0622,QRCODE_TM,FALSE,2015-09-02T22:43:34Z
4346979,nfl,FALSE,Baltimore Ravens at Kansas City Chiefs,2018-12-09T22:00:00,2018-04-20T00:47:27,2018-12-09T18:00:00,FALSE,,https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979,2018-04-20T00:00:00,Ravens at Chiefs,normal,FALSE,FALSE,0.838,2018-12-09T12:00:00,0.906,NA,994,136.16399,36,119,1131,971,36,QRCODE,FALSE,2018-08-24T21:53:42Z,1128,Arrowhead Stadium,8,US,0.8827867,America/Chicago,64129,"Kansas City, MO 64129",arrowhead-stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,TRUE,"Kansas City, MO",616,0,MO,Arrowhead Stadium,Kansas City,39.0489,-94.4839,QRCODE_TM,FALSE,2015-08-20T16:20:51Z
4347107,nfl,FALSE,Cincinnati Bengals at Los Angeles Chargers,2018-12-10T01:05:00,2018-04-20T00:47:52,2018-12-09T21:05:00,FALSE,,https://seatgeek.com/bengals-at-chargers-tickets/12-9-2018-carson-california-stubhub-center/nfl/4347107,2018-04-20T00:00:00,Bengals at Chargers,normal,FALSE,FALSE,0.837,2018-12-09T13:05:00,0.917,NA,439,229.72209,118,194,528,1197,118,QRCODE,FALSE,2018-08-24T21:53:42Z,52,StubHub Center,12,US,0.7228164,America/Los_Angeles,90746,"Carson, CA 90746",stubhub-center,https://seatgeek.com/venues/stubhub-center/tickets,18400 Avalon Blvd,TRUE,"Carson, CA",803,0,CA,StubHub Center,Carson,33.8643,-118.261,NA,NA,NA
4347114,nfl,FALSE,Denver Broncos at San Francisco 49ers,2018-12-10T01:05:00,2018-04-20T00:47:53,2018-12-09T21:05:00,FALSE,,https://seatgeek.com/broncos-at-49ers-tickets/12-9-2018-santa-clara-california-levi-s-stadium/nfl/4347114,2018-04-20T00:00:00,Broncos at 49ers,normal,FALSE,FALSE,0.872,2018-12-09T13:05:00,0.95,NA,929,204.27988,73,175,1217,2990,70,QRCODE,FALSE,2018-08-24T21:53:42Z,58670,Levi's Stadium,12,US,0.95768774,America/Los_Angeles,95054,"Santa Clara, CA 95054",levi-s-stadium,https://seatgeek.com/venues/levi-s-stadium/tickets,4900 Marie P DeBartolo Way,TRUE,"Santa Clara, CA",0,0,CA,Levi's Stadium,Santa Clara,37.4023,-121.969,QRCODE_TM,FALSE,2015-07-10T00:00:00Z
4347099,nfl,FALSE,Detroit Lions at Arizona Cardinals,2018-12-10T01:25:00,2018-04-20T00:47:51,2018-12-09T21:25:00,FALSE,,https://seatgeek.com/lions-at-cardinals-tickets/12-9-2018-glendale-arizona-state-farm-stadium/nfl/4347099,2018-04-20T00:00:00,Lions at Cardinals,normal,FALSE,FALSE,0.85,2018-12-09T14:25:00,0.915,NA,1067,116.72915,24,95,1227,615,24,QRCODE,FALSE,2018-08-24T21:53:42Z,43,State Farm Stadium,9,US,0.93402725,America/Phoenix,85305,"Glendale, AZ 85305",state-farm-stadium,https://seatgeek.com/venues/state-farm-stadium/tickets,1 Cardinals Drive,TRUE,"Glendale, AZ",753,0,AZ,State Farm Stadium,Glendale,33.5294,-112.262,NONE,FALSE,2015-12-21T17:26:05Z
4327919,nfl,FALSE,Philadelphia Eagles at Dallas Cowboys,2018-12-10T01:25:00,2018-04-05T23:08:46,2018-12-09T21:25:00,TRUE,,https://seatgeek.com/eagles-at-cowboys-tickets/12-9-2018-arlington-texas-at-t-stadium/nfl/4327919,2018-04-05T00:00:00,Eagles at Cowboys,normal,FALSE,FALSE,0.888,2018-12-09T15:25:00,0.971,NA,2799,439.99713,49,360,2246,4422,49,QRCODE,FALSE,2018-04-17T22:02:33Z,4965,AT&T Stadium,24,US,0.9751414,America/Chicago,76011,"Arlington, TX 76011",at-t-stadium,https://seatgeek.com/venues/at-t-stadium/tickets,1 AT&T Way,TRUE,"Arlington, TX",623,0,TX,AT&T Stadium,Arlington,32.7459,-97.0957,QRCODE,FALSE,2018-04-17T22:02:33Z
4347151,nfl,FALSE,Pittsburgh Steelers at Oakland Raiders,2018-12-10T05:20:00,2018-04-20T01:04:24,2018-12-10T01:20:00,FALSE,,https://seatgeek.com/steelers-at-raiders-tickets/12-9-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347151,2018-04-20T00:00:00,Steelers at Raiders,normal,FALSE,FALSE,0.855,2018-12-09T17:20:00,0.934,NA,361,414.723,165,391,669,1842,165,QRCODE,FALSE,2018-08-24T21:53:42Z,14,Oakland-Alameda County Coliseum,18,US,0.7817843,America/Los_Angeles,94621,"Oakland, CA 94621",oakland-alameda-county-coliseum,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,7000 Coliseum Way,TRUE,"Oakland, CA",807,0,CA,Oakland-Alameda County Coliseum,Oakland,37.7469,-122.201,PDF417,FALSE,2015-06-24T00:00:00Z
4347123,nfl,FALSE,Minnesota Vikings at Seattle Seahawks,2018-12-11T05:15:00,2018-04-20T00:47:55,2018-12-11T01:15:00,FALSE,,https://seatgeek.com/vikings-at-seahawks-tickets/12-10-2018-seattle-washington-centurylink-field/nfl/4347123,2018-04-20T00:00:00,Vikings at Seahawks,normal,FALSE,FALSE,0.866,2018-12-10T17:15:00,0.947,NA,354,379.3277,149,361,868,1341,122,QRCODE,FALSE,2018-08-24T21:53:42Z,339,CenturyLink Field,11,US,0.87232786,America/Los_Angeles,98134,"Seattle, WA 98134",centurylink-field,https://seatgeek.com/venues/centurylink-field/tickets,800 Occidental Ave S,TRUE,"Seattle, WA",819,0,WA,CenturyLink Field,Seattle,47.6,-122.33,QRCODE,FALSE,2018-03-02T22:54:54Z
4346978,nfl,FALSE,Los Angeles Chargers at Kansas City Chiefs,2018-12-14T05:20:00,2018-04-20T00:47:26,2018-12-14T01:20:00,FALSE,,https://seatgeek.com/chargers-at-chiefs-tickets/12-13-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346978,2018-04-20T00:00:00,Chargers at Chiefs,normal,FALSE,FALSE,0.821,2018-12-13T19:20:00,0.896,NA,876,148.99886,42,129,1053,976,42,QRCODE,FALSE,2018-08-24T21:53:42Z,1128,Arrowhead Stadium,8,US,0.8827867,America/Chicago,64129,"Kansas City, MO 64129",arrowhead-stadium,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,TRUE,"Kansas City, MO",616,0,MO,Arrowhead Stadium,Kansas City,39.0489,-94.4839,QRCODE_TM,FALSE,2015-08-20T16:20:51Z
4347015,nfl,FALSE,Houston Texans at New York Jets,2018-12-16T01:30:00,2018-04-20T00:47:35,2018-12-15T21:30:00,FALSE,,https://seatgeek.com/texans-at-jets-tickets/12-15-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347015,2018-04-20T00:00:00,Texans at Jets,normal,FALSE,FALSE,0.85,2018-12-15T16:30:00,0.929,NA,1167,147.7318,32,122,1290,917,28,QRCODE,FALSE,2018-08-24T21:53:42Z,1587,MetLife Stadium,15,US,0.94873494,America/New_York,07073,"East Rutherford, NJ 07073",metlife-stadium,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,TRUE,"East Rutherford, NJ",501,0,NJ,MetLife Stadium,East Rutherford,40.8142,-74.0737,QRCODE_TM,FALSE,2015-09-12T14:14:07Z
4347135,nfl,FALSE,Cleveland Browns at Denver Broncos,2018-12-16T01:30:00,2018-04-20T01:04:04,2018-12-15T21:30:00,FALSE,,https://seatgeek.com/browns-at-broncos-tickets/12-15-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347135,2018-04-20T00:00:00,Browns at Broncos,normal,FALSE,FALSE,0.804,2018-12-15T14:30:00,0.866,NA,110,307.78183,129,245,646,1187,84,QRCODE,FALSE,2018-08-24T21:53:42Z,1131,Sports Authority Field at Mile High,6,US,0.9028296,America/Denver,80204,"Denver, CO 80204",sports-authority-field-at-mile-high,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1701 Bryant Street,TRUE,"Denver, CO",751,0,CO,Sports Authority Field at Mile High,Denver,39.74,-105.02,QRCODE_TM,FALSE,2015-08-07T18:39:02Z
4347047,nfl,FALSE,Arizona Cardinals at Atlanta Falcons,2018-12-16T22:00:00,2018-04-20T00:47:41,2018-12-16T18:00:00,FALSE,,https://seatgeek.com/cardinals-at-falcons-tickets/12-16-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347047,2018-04-20T00:00:00,Cardinals at Falcons,normal,FALSE,FALSE,0.847,2018-12-16T13:00:00,0.918,NA,1061,187.34024,65,154,1228,1197,64,QRCODE,FALSE,2018-08-24T21:53:42Z,419590,Mercedes-Benz Stadium,19,US,0.76958936,America/New_York,30313,"Atlanta, GA 30313",mercedes-benz-stadium,https://seatgeek.com/venues/mercedes-benz-stadium/tickets,35 Northside Dr NW,TRUE,"Atlanta, GA",0,0,GA,Mercedes-Benz Stadium,Atlanta,33.76,-84.4,QRCODE,FALSE,2018-08-23T20:14:46Z
