description,time_tbd,id,visible_until_utc,announce_date,datetime_utc,short_title,created_at,status,datetime_local,popularity,type,date_tbd,title,score,datetime_tbd,url,is_open,general_admission,listing_count,median_price,visible_listing_count,highest_price,lowest_price,average_price,lowest_price_good_deals,created_at,employee_only,method,id,has_upcoming_events,country,state,metro_code,slug,score,display_location,extended_address,popularity,postal_code,city,timezone,num_upcoming_events,name_v2,name,url,address,lat,lon,created_at,employee_only,method
,FALSE,4327921,2018-11-23T01:30:00,2018-04-05T00:00:00,2018-11-22T21:30:00,Redskins at Cowboys,2018-04-05T23:08:47,normal,2018-11-22T15:30:00,0.922,nfl,FALSE,Washington Redskins at Dallas Cowboys,0.992,FALSE,https://seatgeek.com/redskins-at-cowboys-tickets/11-22-2018-arlington-texas-at-t-stadium/nfl/4327921,TRUE,NA,3146,319,2578,3375,37,387.36554,36,2018-04-17T22:02:33Z,FALSE,QRCODE,4965,TRUE,US,TX,623,at-t-stadium,0.9751414,"Arlington, TX","Arlington, TX 76011",0,76011,Arlington,America/Chicago,22,AT&T Stadium,AT&T Stadium,https://seatgeek.com/venues/at-t-stadium/tickets,1 AT&T Way,32.7459,-97.0957,2018-04-17T22:02:33Z,FALSE,QRCODE
,FALSE,4346968,2018-11-23T05:20:00,2018-04-20T00:00:00,2018-11-23T01:20:00,Falcons at Saints,2018-04-20T00:47:24,normal,2018-11-22T19:20:00,0.847,nfl,FALSE,Atlanta Falcons at New Orleans Saints,0.898,FALSE,https://seatgeek.com/falcons-at-saints-tickets/11-22-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346968,TRUE,NA,1367,298,1215,4200,120,318.89246,120,2018-05-29T20:39:22Z,FALSE,QRCODE,128,TRUE,US,LA,622,mercedes-benz-superdome,0.8966978,"New Orleans, LA","New Orleans, LA 70112",0,70112,New Orleans,America/Chicago,18,Mercedes-Benz Superdome,Mercedes-Benz Superdome,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,1500 Sugar Bowl Drive,29.9515,-90.0786,2018-08-27T20:46:59Z,FALSE,QRCODE_TM
,FALSE,4281983,2018-11-24T00:00:00,2018-02-28T00:00:00,2018-11-23T20:00:00,Coastal Carolina at South Alabama,2018-02-28T15:00:16,normal,2018-11-23T14:00:00,0.31,ncaa_football,FALSE,Coastal Carolina Chanticleers at South Alabama Jaguars Football,0.245,FALSE,https://seatgeek.com/coastal-carolina-chanticleers-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-11-23-2-pm/4281983,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3716,TRUE,US,AL,686,ladd-peebles-stadium,0.50177634,"Mobile, AL","Mobile, AL 36604",0,36604,Mobile,America/Chicago,5,Ladd Peebles Stadium,Ladd Peebles Stadium,https://seatgeek.com/venues/ladd-peebles-stadium/tickets,1621 Virginia St.,30.6748,-88.0761,NA,NA,NA
,FALSE,4347058,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Jaguars at Bills,2018-04-20T00:47:43,normal,2018-11-25T13:00:00,0.836,nfl,FALSE,Jacksonville Jaguars at Buffalo Bills,0.883,FALSE,https://seatgeek.com/jaguars-at-bills-tickets/11-25-2018-orchard-park-new-york-new-era-field/nfl/4347058,FALSE,NA,1296,73,1671,636,27,92.611885,23,2018-08-24T21:53:41Z,FALSE,QRCODE,1135,TRUE,US,NY,514,new-era-field,0.8815085,"Orchard Park, NY","Orchard Park, NY 14127",0,14127,Orchard Park,America/New_York,7,New Era Field,New Era Field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,42.7737,-78.7874,2015-08-12T16:52:53Z,FALSE,QRCODE_TM
,FALSE,4346918,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Giants at Eagles,2018-04-20T00:47:14,normal,2018-11-25T13:00:00,0.892,nfl,FALSE,New York Giants at Philadelphia Eagles,0.957,FALSE,https://seatgeek.com/giants-at-eagles-tickets/11-25-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346918,FALSE,NA,401,345,1045,1242,142,412.44638,139,2018-08-24T21:53:40Z,FALSE,QRCODE,330,TRUE,US,PA,504,lincoln-financial-field,0.90542685999999994,"Philadelphia, PA","Philadelphia, PA 19148",0,19148,Philadelphia,America/New_York,16,Lincoln Financial Field,Lincoln Financial Field,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,39.9046,-75.1675,2015-07-10T00:00:00Z,FALSE,QRCODE_TM
,FALSE,4347039,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Browns at Bengals,2018-04-20T00:47:39,normal,2018-11-25T13:00:00,0.834,nfl,FALSE,Cleveland Browns at Cincinnati Bengals,0.886,FALSE,https://seatgeek.com/browns-at-bengals-tickets/11-25-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347039,FALSE,NA,556,102,884,423,56,113.85791,56,2018-08-24T21:53:40Z,FALSE,QRCODE,1124,TRUE,US,OH,515,paul-brown-stadium,0.86166537,"Cincinnati, OH","Cincinnati, OH 45202",0,45202,Cincinnati,America/New_York,7,Paul Brown Stadium,Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,1 Paul Brown Stadium,39.0961,-84.5177,2015-10-09T16:14:37Z,FALSE,QRCODE_TM
,FALSE,4347125,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Seahawks at Panthers,2018-04-20T00:47:55,normal,2018-11-25T13:00:00,0.857,nfl,FALSE,Seattle Seahawks at Carolina Panthers,0.914,FALSE,https://seatgeek.com/seahawks-at-panthers-tickets/11-25-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347125,FALSE,NA,516,169,1038,1132,83,225.03682,80,2018-08-24T21:53:41Z,FALSE,QRCODE,1122,TRUE,US,NC,517,bank-of-america-stadium,0.8968222,"Charlotte, NC","Charlotte, NC 28202",0,28202,Charlotte,America/New_York,9,Bank of America Stadium,Bank of America Stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,35.2243,-80.8524,2015-09-25T18:23:51Z,FALSE,QRCODE_TM
,FALSE,4347067,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Raiders at Ravens,2018-04-20T00:47:44,normal,2018-11-25T13:00:00,0.83,nfl,FALSE,Oakland Raiders at Baltimore Ravens,0.879,FALSE,https://seatgeek.com/raiders-at-ravens-tickets/11-25-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347067,FALSE,NA,594,138,1396,724,67,178.33838,66,2018-08-24T21:53:41Z,FALSE,QRCODE,1121,TRUE,US,MD,512,m-t-bank-stadium,0.8927189,"Baltimore, MD","Baltimore, MD 21230",0,21230,Baltimore,America/New_York,8,M&T Bank Stadium,M&T Bank Stadium,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1101 Russell St,39.2774,-76.623,2015-08-04T00:00:00Z,FALSE,QRCODE_TM
,FALSE,4347098,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Patriots at Jets,2018-04-20T00:47:50,normal,2018-11-25T13:00:00,0.918,nfl,FALSE,New England Patriots at New York Jets,0.996,FALSE,https://seatgeek.com/patriots-at-jets-tickets/11-25-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347098,FALSE,NA,713,261,1216,6034,109,309.31836,96,2018-08-24T21:53:41Z,FALSE,QRCODE,1587,TRUE,US,NJ,501,metlife-stadium,0.94873494,"East Rutherford, NJ","East Rutherford, NJ 07073",0,07073,East Rutherford,America/New_York,16,MetLife Stadium,MetLife Stadium,https://seatgeek.com/venues/metlife-stadium/tickets,1 MetLife Stadium Drive,40.8142,-74.0737,2015-09-12T14:14:07Z,FALSE,QRCODE_TM
,FALSE,4346928,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,49ers at Buccaneers,2018-04-20T00:47:15,normal,2018-11-25T13:00:00,0.842,nfl,FALSE,San Francisco 49ers at Tampa Bay Buccaneers,0.896,FALSE,https://seatgeek.com/49ers-at-buccaneers-tickets/11-25-2018-tampa-florida-raymond-james-stadium/nfl/4346928,FALSE,NA,27,198,441,458,79,239,71,2018-08-24T21:53:40Z,FALSE,QRCODE,39,TRUE,US,FL,539,raymond-james-stadium,0.86513025,"Tampa, FL","Tampa, FL 33607",0,33607,Tampa,America/New_York,16,Raymond James Stadium,Raymond James Stadium,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,27.9753,-82.5034,2015-08-24T14:44:53Z,FALSE,QRCODE_TM
,FALSE,4346956,2018-11-25T22:00:00,2018-04-20T00:00:00,2018-11-25T18:00:00,Dolphins at Colts,2018-04-20T00:47:21,normal,2018-11-25T13:00:00,0.843,nfl,FALSE,Miami Dolphins at Indianapolis Colts,0.888,FALSE,https://seatgeek.com/dolphins-at-colts-tickets/11-25-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346956,FALSE,NA,686,94,1221,944,32,111.88776,28,2018-08-24T21:53:40Z,FALSE,QRCODE,1130,TRUE,US,IN,527,lucas-oil-stadium,0.9071682,"Indianapolis, IN","Indianapolis, IN 46225",0,46225,Indianapolis,America/Indiana/Indianapolis,14,Lucas Oil Stadium,Lucas Oil Stadium,https://seatgeek.com/venues/lucas-oil-stadium/tickets,500 South Capitol Avenue,39.7601,-86.1639,2018-09-13T22:29:37Z,FALSE,QRCODE_TM
,FALSE,4347109,2018-11-26T01:05:00,2018-04-20T00:00:00,2018-11-25T21:05:00,Cardinals at Chargers,2018-04-20T00:47:52,normal,2018-11-25T13:05:00,0.83,nfl,FALSE,Arizona Cardinals at Los Angeles Chargers,0.889,FALSE,https://seatgeek.com/cardinals-at-chargers-tickets/11-25-2018-carson-california-stubhub-center/nfl/4347109,FALSE,NA,584,195,615,600,112,209.762,108,2018-08-24T21:53:41Z,FALSE,QRCODE,52,TRUE,US,CA,803,stubhub-center,0.7228164,"Carson, CA","Carson, CA 90746",0,90746,Carson,America/Los_Angeles,16,StubHub Center,StubHub Center,https://seatgeek.com/venues/stubhub-center/tickets,18400 Avalon Blvd,33.8643,-118.261,NA,NA,NA
