type,is_open,date_tbd,created_at,announce_date,datetime_utc,visible_until_utc,id,url,time_tbd,datetime_local,score,short_title,description,popularity,status,title,datetime_tbd,general_admission,listing_count,lowest_price_good_deals,lowest_price,median_price,visible_listing_count,highest_price,average_price,employee_only,created_at,method,slug,score,country,num_upcoming_events,has_upcoming_events,extended_address,popularity,postal_code,id,display_location,url,timezone,name,city,state,metro_code,address,name_v2,lat,lon,employee_only,created_at,method
nfl,FALSE,FALSE,2018-04-20T00:47:32,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347002,https://seatgeek.com/packers-at-bears-tickets/12-16-2018-chicago-illinois-soldier-field/nfl/4347002,FALSE,2018-12-16T12:00:00,0.983,Packers at Bears,,0.894,normal,Green Bay Packers at Chicago Bears,FALSE,NA,147,194,206,388,794,1462,469.9524,FALSE,2018-08-24T21:53:42Z,QRCODE,soldier-field,0.940013,US,9,TRUE,"Chicago, IL 60605",0,60605,31,"Chicago, IL",https://seatgeek.com/venues/soldier-field/tickets,America/Chicago,Soldier Field,Chicago,IL,602,1410 S. Museum Campus Drive,Soldier Field,41.8623,-87.6159,FALSE,2018-06-02T00:44:08Z,NONE
nfl,FALSE,FALSE,2018-04-20T00:47:43,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347057,https://seatgeek.com/lions-at-bills-tickets/12-16-2018-orchard-park-new-york-new-era-field/nfl/4347057,FALSE,2018-12-16T13:00:00,0.922,Lions at Bills,,0.848,normal,Detroit Lions at Buffalo Bills,FALSE,NA,1233,23,23,59,1445,636,81.50365,FALSE,2018-08-24T21:53:42Z,QRCODE,new-era-field,0.8815085,US,7,TRUE,"Orchard Park, NY 14127",0,14127,1135,"Orchard Park, NY",https://seatgeek.com/venues/new-era-field/tickets,America/New_York,New Era Field,Orchard Park,NY,514,1 Bills Drive,New Era Field,42.7737,-78.7874,FALSE,2015-08-12T16:52:53Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:44,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347066,https://seatgeek.com/buccaneers-at-ravens-tickets/12-16-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347066,FALSE,2018-12-16T13:00:00,0.875,Buccaneers at Ravens,,0.808,normal,Tampa Bay Buccaneers at Baltimore Ravens,FALSE,NA,720,39,39,98,1281,614,129.2375,FALSE,2018-08-24T21:53:42Z,QRCODE,m-t-bank-stadium,0.8927189,US,7,TRUE,"Baltimore, MD 21230",0,21230,1121,"Baltimore, MD",https://seatgeek.com/venues/m-t-bank-stadium/tickets,America/New_York,M&T Bank Stadium,Baltimore,MD,512,1101 Russell St,M&T Bank Stadium,39.2774,-76.623,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:18,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4346945,https://seatgeek.com/redskins-at-jaguars-tickets/12-16-2018-jacksonville-florida-everbank-field/nfl/4346945,FALSE,2018-12-16T13:00:00,0.873,Redskins at Jaguars,,0.803,normal,Washington Redskins at Jacksonville Jaguars,FALSE,NA,656,55,55,129,858,655,160.42378,FALSE,2018-08-24T21:53:42Z,QRCODE,everbank-field,0.83759147,US,8,TRUE,"Jacksonville, FL 32202",0,32202,5178,"Jacksonville, FL",https://seatgeek.com/venues/everbank-field/tickets,America/New_York,EverBank Field,Jacksonville,FL,561,1 Everbank Field Dr,EverBank Field,30.3239,-81.6373,FALSE,2015-10-17T20:03:42Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T01:04:05,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347144,https://seatgeek.com/dolphins-at-vikings-tickets/12-16-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347144,FALSE,2018-12-16T12:00:00,0.948,Dolphins at Vikings,,0.872,normal,Miami Dolphins at Minnesota Vikings,FALSE,NA,632,99,99,202,904,1805,247.37025,FALSE,2018-08-24T21:53:42Z,QRCODE,u-s-bank-stadium,0.88524246,US,15,TRUE,"Minneapolis, MN 55415",0,55415,218451,"Minneapolis, MN",https://seatgeek.com/venues/u-s-bank-stadium/tickets,America/Chicago,U.S. Bank Stadium,Minneapolis,MN,0,900 South 5th Street,U.S. Bank Stadium,44.97,-93.26,FALSE,2018-08-22T15:34:15Z,NONE
nfl,FALSE,FALSE,2018-04-20T00:47:39,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4347037,https://seatgeek.com/raiders-at-bengals-tickets/12-16-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347037,FALSE,2018-12-16T13:00:00,0.914,Raiders at Bengals,,0.837,normal,Oakland Raiders at Cincinnati Bengals,FALSE,NA,628,52,52,105,914,601,119.94586,FALSE,2018-08-24T21:53:42Z,QRCODE,paul-brown-stadium,0.86166537,US,7,TRUE,"Cincinnati, OH 45202",0,45202,1124,"Cincinnati, OH",https://seatgeek.com/venues/paul-brown-stadium/tickets,America/New_York,Paul Brown Stadium,Cincinnati,OH,515,1 Paul Brown Stadium,Paul Brown Stadium,39.0961,-84.5177,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:29,2018-04-20T00:00:00,2018-12-16T18:00:00,2018-12-16T22:00:00,4346988,https://seatgeek.com/titans-at-giants-tickets/12-16-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346988,FALSE,2018-12-16T13:00:00,0.934,Titans at Giants,,0.85,normal,Tennessee Titans at New York Giants,FALSE,NA,1049,81,81,163,1362,1428,206.67683,FALSE,2018-08-24T21:53:42Z,QRCODE,metlife-stadium,0.94873494,US,16,TRUE,"East Rutherford, NJ 07073",0,07073,1587,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,America/New_York,MetLife Stadium,East Rutherford,NJ,501,1 MetLife Stadium Drive,MetLife Stadium,40.8142,-74.0737,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:55,2018-04-20T00:00:00,2018-12-16T21:05:00,2018-12-17T01:05:00,4347122,https://seatgeek.com/seahawks-at-49ers-tickets/12-16-2018-santa-clara-california-levi-s-stadium/nfl/4347122,FALSE,2018-12-16T13:05:00,0.973,Seahawks at 49ers,,0.884,normal,Seattle Seahawks at San Francisco 49ers,FALSE,NA,1041,78,79,176,1207,2998,213.4803,FALSE,2018-08-24T21:53:42Z,QRCODE,levi-s-stadium,0.95768774,US,13,TRUE,"Santa Clara, CA 95054",0,95054,58670,"Santa Clara, CA",https://seatgeek.com/venues/levi-s-stadium/tickets,America/Los_Angeles,Levi's Stadium,Santa Clara,CA,0,4900 Marie P DeBartolo Way,Levi's Stadium,37.4023,-121.969,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:46,2018-04-20T00:00:00,2018-12-16T21:25:00,2018-12-17T01:25:00,4347077,https://seatgeek.com/patriots-at-steelers-tickets/12-16-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347077,FALSE,2018-12-16T16:25:00,0.994,Patriots at Steelers,,0.902,normal,New England Patriots at Pittsburgh Steelers,FALSE,NA,725,192,196,362,1111,11030,448.29932,FALSE,2018-08-24T21:53:42Z,QRCODE,heinz-field,0.9033526,US,10,TRUE,"Pittsburgh, PA 15212",0,15212,1119,"Pittsburgh, PA",https://seatgeek.com/venues/heinz-field/tickets,America/New_York,Heinz Field,Pittsburgh,PA,508,100 Art Rooney Avenue,Heinz Field,40.4468,-80.0158,FALSE,2015-12-08T15:36:23Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:14,2018-04-20T00:00:00,2018-12-17T01:20:00,2018-12-17T05:20:00,4346919,https://seatgeek.com/eagles-at-rams-tickets/12-16-2018-los-angeles-california-los-angeles-memorial-coliseum-1/nfl/4346919,FALSE,2018-12-16T17:20:00,0.955,Eagles at Rams,,0.868,normal,Philadelphia Eagles at Los Angeles Rams,FALSE,NA,875,92,113,275,1312,1939,327.6023,FALSE,2018-08-24T21:53:42Z,QRCODE,los-angeles-memorial-coliseum-1,0.86898464,US,9,TRUE,"Los Angeles, CA 90037",0,90037,51012,"Los Angeles, CA",https://seatgeek.com/venues/los-angeles-memorial-coliseum-1/tickets,America/Los_Angeles,Los Angeles Memorial Coliseum,Los Angeles,CA,0,3911 S Figueroa St,Los Angeles Memorial Coliseum,34.0138,-118.288,FALSE,2018-08-23T17:59:28Z,QRCODE
nfl,FALSE,FALSE,2018-04-20T00:47:38,2018-04-20T00:00:00,2018-12-18T01:15:00,2018-12-18T05:15:00,4347035,https://seatgeek.com/saints-at-panthers-tickets/12-17-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347035,FALSE,2018-12-17T20:15:00,0.936,Saints at Panthers,,0.849,normal,New Orleans Saints at Carolina Panthers,FALSE,NA,479,77,81,164,955,1422,230.11273,FALSE,2018-08-24T21:53:42Z,QRCODE,bank-of-america-stadium,0.8968222,US,8,TRUE,"Charlotte, NC 28202",0,28202,1122,"Charlotte, NC",https://seatgeek.com/venues/bank-of-america-stadium/tickets,America/New_York,Bank of America Stadium,Charlotte,NC,517,800 South Mint Street,Bank of America Stadium,35.2243,-80.8524,FALSE,2015-09-25T18:23:51Z,QRCODE_TM
nfl,FALSE,FALSE,2018-04-20T00:47:29,2018-04-20T00:00:00,2018-12-23T17:00:00,2018-12-23T21:00:00,4346986,https://seatgeek.com/redskins-at-titans-tickets/12-23-2018-nashville-tennessee-nissan-stadium/nfl/4346986,FALSE,2018-12-23T12:00:00,0.871,Redskins at Titans,,0.8,normal,Washington Redskins at Tennessee Titans,FALSE,NA,696,29,35,118,1067,780,142.04167,FALSE,2018-08-24T21:53:43Z,QRCODE,nissan-stadium,0.8546275,US,16,TRUE,"Nashville, TN 37213",0,37213,1126,"Nashville, TN",https://seatgeek.com/venues/nissan-stadium/tickets,America/New_York,Nissan Stadium,Nashville,TN,659,1 Titans Way,Nissan Stadium,36.1665,-86.7713,FALSE,2015-10-19T15:09:39Z,NONE
