datetime_local,is_open,time_tbd,title,type,url,id,datetime_utc,description,score,short_title,popularity,created_at,announce_date,datetime_tbd,date_tbd,visible_until_utc,status,general_admission,median_price,visible_listing_count,highest_price,average_price,listing_count,lowest_price_good_deals,lowest_price,employee_only,created_at,method,address,url,state,id,num_upcoming_events,metro_code,score,popularity,has_upcoming_events,postal_code,city,slug,timezone,country,name_v2,name,display_location,extended_address,lon,lat,employee_only,created_at,method
2018-11-04T15:25:00,TRUE,FALSE,Los Angeles Rams at New Orleans Saints,nfl,https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970,4346970,2018-11-04T21:25:00,,0.837,Rams at Saints,0.825,2018-04-20T00:47:25,2018-04-20T00:00:00,FALSE,FALSE,2018-11-05T01:25:00,normal,NA,224,1300,5942,253.71497,1256,81,81,FALSE,2018-05-29T20:39:08Z,QRCODE,1500 Sugar Bowl Drive,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,LA,128,17,622,0.8966978,0,TRUE,70112,New Orleans,mercedes-benz-superdome,America/Chicago,US,Mercedes-Benz Superdome,Mercedes-Benz Superdome,"New Orleans, LA","New Orleans, LA 70112",-90.0786,29.9515,FALSE,2018-08-27T20:46:59Z,QRCODE_TM
2018-11-04T19:00:00,FALSE,FALSE,Alex G,concert,https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650,4494650,2018-11-05T01:00:00,,0.565,Alex G,0.625,2018-08-23T19:51:10,2018-08-23T00:00:00,FALSE,FALSE,2018-11-05T05:00:00,normal,TRUE,64,1,584,114.10345,29,NA,47,NA,NA,NA,1807 S Allport St,https://seatgeek.com/venues/thalia-hall/tickets,IL,60271,58,0,0.51888376,0,TRUE,60608,Chicago,thalia-hall,America/Chicago,US,Thalia Hall,Thalia Hall,"Chicago, IL","Chicago, IL 60608",-87.6575,41.8577,NA,NA,NA
2018-11-04T20:20:00,FALSE,FALSE,Green Bay Packers at New England Patriots,nfl,https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089,4347089,2018-11-05T01:20:00,,0.959,Packers at Patriots,0.919,2018-04-20T00:47:49,2018-04-20T00:00:00,FALSE,FALSE,2018-11-05T05:20:00,normal,NA,706,630,1892,807.45337,236,384,446,FALSE,2018-08-24T21:53:39Z,QRCODE,1 Patriot Place,https://seatgeek.com/venues/gillette-stadium/tickets,MA,33,15,506,0.8983344,0,TRUE,02035,Foxborough,gillette-stadium,America/New_York,US,Gillette Stadium,Gillette Stadium,"Foxborough, MA","Foxborough, MA 02035",-71.2674,42.0906,FALSE,2018-08-22T15:36:58Z,NONE
2018-11-05T19:15:00,TRUE,FALSE,Tennessee Titans at Dallas Cowboys,nfl,https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922,4327922,2018-11-06T01:15:00,,0.937,Titans at Cowboys,0.899,2018-04-05T23:08:47,2018-04-05T00:00:00,FALSE,FALSE,2018-11-06T05:15:00,normal,NA,222,2863,6034,279.73334,3484,NA,NA,FALSE,2018-04-17T22:02:33Z,QRCODE,1 AT&T Way,https://seatgeek.com/venues/at-t-stadium/tickets,TX,4965,21,623,0.9751414,0,TRUE,76011,Arlington,at-t-stadium,America/Chicago,US,AT&T Stadium,AT&T Stadium,"Arlington, TX","Arlington, TX 76011",-97.0957,32.7459,FALSE,2018-04-17T22:02:33Z,QRCODE
2018-11-08T20:20:00,FALSE,FALSE,Carolina Panthers at Pittsburgh Steelers,nfl,https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075,4347075,2018-11-09T01:20:00,,0.862,Panthers at Steelers,0.838,2018-04-20T00:47:46,2018-04-20T00:00:00,FALSE,FALSE,2018-11-09T05:20:00,normal,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,2018-08-24T21:53:39Z,QRCODE,100 Art Rooney Avenue,https://seatgeek.com/venues/heinz-field/tickets,PA,1119,10,508,0.9033526,0,TRUE,15212,Pittsburgh,heinz-field,America/New_York,US,Heinz Field,Heinz Field,"Pittsburgh, PA","Pittsburgh, PA 15212",-80.0158,40.4468,FALSE,2015-12-08T15:36:23Z,QRCODE_TM
2018-11-11T12:00:00,FALSE,FALSE,New England Patriots at Tennessee Titans,nfl,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,4346990,2018-11-11T17:00:00,,0.89,Patriots at Titans,0.857,2018-04-20T00:47:30,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T21:00:00,normal,NA,472,596,2389,548.3879,330,288,272,FALSE,2018-08-24T21:53:40Z,QRCODE,1 Titans Way,https://seatgeek.com/venues/nissan-stadium/tickets,TN,1126,16,659,0.8546275,0,TRUE,37213,Nashville,nissan-stadium,America/New_York,US,Nissan Stadium,Nissan Stadium,"Nashville, TN","Nashville, TN 37213",-86.7713,36.1665,FALSE,2015-10-19T15:09:39Z,NONE
2018-11-11T13:00:00,FALSE,FALSE,New Orleans Saints at Cincinnati Bengals,nfl,https://seatgeek.com/saints-at-bengals-tickets/11-11-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347040,4347040,2018-11-11T18:00:00,,0.839,Saints at Bengals,0.817,2018-04-20T00:47:40,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,104,844,407,116.6468,453,51,51,FALSE,2018-08-24T21:53:40Z,QRCODE,1 Paul Brown Stadium,https://seatgeek.com/venues/paul-brown-stadium/tickets,OH,1124,7,515,0.86166537,0,TRUE,45202,Cincinnati,paul-brown-stadium,America/New_York,US,Paul Brown Stadium,Paul Brown Stadium,"Cincinnati, OH","Cincinnati, OH 45202",-84.5177,39.0961,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
2018-11-11T12:00:00,FALSE,FALSE,Arizona Cardinals at Kansas City Chiefs,nfl,https://seatgeek.com/cardinals-at-chiefs-tickets/11-11-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346980,4346980,2018-11-11T18:00:00,,0.842,Cardinals at Chiefs,0.82,2018-04-20T00:47:27,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,86,1031,385,120.5039,385,45,51,FALSE,2018-08-24T21:53:40Z,QRCODE,1 Arrowhead Drive,https://seatgeek.com/venues/arrowhead-stadium/tickets,MO,1128,8,616,0.8827867,0,TRUE,64129,Kansas City,arrowhead-stadium,America/Chicago,US,Arrowhead Stadium,Arrowhead Stadium,"Kansas City, MO","Kansas City, MO 64129",-94.4839,39.0489,FALSE,2015-08-20T16:20:51Z,QRCODE_TM
2018-11-11T12:00:00,FALSE,FALSE,Detroit Lions at Chicago Bears,nfl,https://seatgeek.com/lions-at-bears-tickets/11-11-2018-chicago-illinois-soldier-field/nfl/4347006,4347006,2018-11-11T18:00:00,,0.872,Lions at Bears,0.843,2018-04-20T00:47:32,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,320,801,1197,352.3386,127,133,133,FALSE,2018-08-24T21:53:40Z,QRCODE,1410 S. Museum Campus Drive,https://seatgeek.com/venues/soldier-field/tickets,IL,31,9,602,0.940013,0,TRUE,60605,Chicago,soldier-field,America/Chicago,US,Soldier Field,Soldier Field,"Chicago, IL","Chicago, IL 60605",-87.6159,41.8623,FALSE,2018-06-02T00:44:08Z,NONE
2018-11-11T13:00:00,FALSE,FALSE,Jacksonville Jaguars at Indianapolis Colts,nfl,https://seatgeek.com/jaguars-at-colts-tickets/11-11-2018-indianapolis-indiana-lucas-oil-stadium/nfl/4346958,4346958,2018-11-11T18:00:00,,0.818,Jaguars at Colts,0.808,2018-04-20T00:47:22,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,104,1052,868,112.09091,561,34,34,FALSE,2018-08-24T21:53:40Z,QRCODE,500 South Capitol Avenue,https://seatgeek.com/venues/lucas-oil-stadium/tickets,IN,1130,14,527,0.9071682,0,TRUE,46225,Indianapolis,lucas-oil-stadium,America/Indiana/Indianapolis,US,Lucas Oil Stadium,Lucas Oil Stadium,"Indianapolis, IN","Indianapolis, IN 46225",-86.1639,39.7601,FALSE,2018-09-13T22:29:37Z,QRCODE_TM
2018-11-11T13:00:00,FALSE,FALSE,Washington Redskins at Tampa Bay Buccaneers,nfl,https://seatgeek.com/redskins-at-buccaneers-tickets/11-11-2018-tampa-florida-raymond-james-stadium/nfl/4346930,4346930,2018-11-11T18:00:00,,0.851,Redskins at Buccaneers,0.824,2018-04-20T00:47:16,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,181,454,488,224.1,20,89,90,FALSE,2018-08-24T21:53:40Z,QRCODE,4201 North Dale Mabry Highway,https://seatgeek.com/venues/raymond-james-stadium/tickets,FL,39,14,539,0.86513025,0,TRUE,33607,Tampa,raymond-james-stadium,America/New_York,US,Raymond James Stadium,Raymond James Stadium,"Tampa, FL","Tampa, FL 33607",-82.5034,27.9753,FALSE,2015-08-24T14:44:53Z,QRCODE_TM
2018-11-11T13:00:00,FALSE,FALSE,Buffalo Bills at New York Jets,nfl,https://seatgeek.com/bills-at-jets-tickets/11-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4347060,4347060,2018-11-11T18:00:00,,0.878,Bills at Jets,0.844,2018-04-20T00:47:43,2018-04-20T00:00:00,FALSE,FALSE,2018-11-11T22:00:00,normal,NA,141,1233,909,169.21675,812,48,48,FALSE,2018-08-24T21:53:40Z,QRCODE,1 MetLife Stadium Drive,https://seatgeek.com/venues/metlife-stadium/tickets,NJ,1587,16,501,0.94873494,0,TRUE,07073,East Rutherford,metlife-stadium,America/New_York,US,MetLife Stadium,MetLife Stadium,"East Rutherford, NJ","East Rutherford, NJ 07073",-74.0737,40.8142,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
