date_tbd,created_at,score,datetime_utc,title,visible_until_utc,short_title,datetime_local,time_tbd,url,datetime_tbd,popularity,type,description,announce_date,status,id,is_open,general_admission,highest_price,average_price,median_price,visible_listing_count,listing_count,lowest_price,lowest_price_good_deals,employee_only,method,created_at,name,city,score,state,name_v2,popularity,country,has_upcoming_events,postal_code,num_upcoming_events,timezone,url,address,display_location,slug,extended_address,id,lon,lat,employee_only,method,created_at
FALSE,2018-04-20T03:52:35,0.865,2018-12-02T18:00:00,Cleveland Browns at Houston Texans,2018-12-02T22:00:00,Browns at Texans,2018-12-02T12:00:00,FALSE,https://seatgeek.com/browns-at-texans-tickets/12-2-2018-houston-texas-nrg-stadium/nfl/4347156,FALSE,0.787,nfl,,2018-04-20T00:00:00,normal,4347156,FALSE,NA,2225,178.89,NA,NA,505,44,44,FALSE,QRCODE,2018-08-24T21:53:41Z,NRG Stadium,Houston,0.8624192,TX,NRG Stadium,0,US,TRUE,77054,46,America/Chicago,https://seatgeek.com/venues/nrg-stadium/tickets,1 Reliant Park,"Houston, TX",nrg-stadium,"Houston, TX 77054",41,-95.4107,29.6847,FALSE,QRCODE_TM,2015-11-04T18:42:27Z
FALSE,2018-04-20T00:47:29,0.825,2018-12-02T20:05:00,New York Jets at Tennessee Titans,2018-12-03T00:05:00,Jets at Titans,2018-12-02T15:05:00,FALSE,https://seatgeek.com/jets-at-titans-tickets/12-2-2018-nashville-tennessee-nissan-stadium/nfl/4346989,FALSE,0.757,nfl,,2018-04-20T00:00:00,normal,4346989,FALSE,NA,590,157.4,NA,NA,487,42,42,FALSE,QRCODE,2018-08-24T21:53:41Z,Nissan Stadium,Nashville,0.8546275,TN,Nissan Stadium,0,US,TRUE,37213,16,America/New_York,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN",nissan-stadium,"Nashville, TN 37213",1126,-86.7713,36.1665,FALSE,NONE,2015-10-19T15:09:39Z
FALSE,2018-04-20T01:04:24,0.864,2018-12-02T21:05:00,Kansas City Chiefs at Oakland Raiders,2018-12-03T01:05:00,Chiefs at Raiders,2018-12-02T13:05:00,FALSE,https://seatgeek.com/chiefs-at-raiders-tickets/12-2-2018-oakland-california-oakland-alameda-county-coliseum/nfl/4347152,FALSE,0.788,nfl,,2018-04-20T00:00:00,normal,4347152,FALSE,NA,1310,218.93,NA,NA,550,95,95,FALSE,QRCODE,2018-08-24T21:53:41Z,Oakland-Alameda County Coliseum,Oakland,0.7817843,CA,Oakland-Alameda County Coliseum,0,US,TRUE,94621,26,America/Los_Angeles,https://seatgeek.com/venues/oakland-alameda-county-coliseum/tickets,7000 Coliseum Way,"Oakland, CA",oakland-alameda-county-coliseum,"Oakland, CA 94621",14,-122.201,37.7469,FALSE,PDF417,2015-06-24T00:00:00Z
FALSE,2018-04-20T00:47:50,0.931,2018-12-02T21:25:00,Minnesota Vikings at New England Patriots,2018-12-03T01:25:00,Vikings at Patriots,2018-12-02T16:25:00,FALSE,https://seatgeek.com/vikings-at-patriots-tickets/12-2-2018-foxborough-massachusetts-gillette-stadium/nfl/4347094,FALSE,0.853,nfl,,2018-04-20T00:00:00,normal,4347094,FALSE,NA,3198,585.02,NA,NA,235,268,268,FALSE,QRCODE,2018-08-24T21:53:41Z,Gillette Stadium,Foxborough,0.8983344,MA,Gillette Stadium,0,US,TRUE,02035,13,America/New_York,https://seatgeek.com/venues/gillette-stadium/tickets,1 Patriot Place,"Foxborough, MA",gillette-stadium,"Foxborough, MA 02035",33,-71.2674,42.0906,FALSE,NONE,2018-08-22T15:36:58Z
FALSE,2018-04-20T00:47:55,0.915,2018-12-03T01:20:00,San Francisco 49ers at Seattle Seahawks,2018-12-03T05:20:00,49ers at Seahawks,2018-12-02T17:20:00,FALSE,https://seatgeek.com/49ers-at-seahawks-tickets/12-2-2018-seattle-washington-centurylink-field/nfl/4347124,FALSE,0.829,nfl,,2018-04-20T00:00:00,normal,4347124,FALSE,NA,1224,425.47,NA,NA,346,175,175,FALSE,QRCODE,2018-08-24T21:53:41Z,CenturyLink Field,Seattle,0.87232786,WA,CenturyLink Field,0,US,TRUE,98134,14,America/Los_Angeles,https://seatgeek.com/venues/centurylink-field/tickets,800 Occidental Ave S,"Seattle, WA",centurylink-field,"Seattle, WA 98134",339,-122.33,47.6,FALSE,QRCODE,2018-03-02T22:54:54Z
FALSE,2018-04-20T00:47:17,0.89,2018-12-04T01:15:00,Washington Redskins at Philadelphia Eagles,2018-12-04T05:15:00,Redskins at Eagles,2018-12-03T20:15:00,FALSE,https://seatgeek.com/redskins-at-eagles-tickets/12-3-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346936,FALSE,0.804,nfl,,2018-04-20T00:00:00,normal,4346936,FALSE,NA,1230,331.76,NA,NA,515,125,125,FALSE,QRCODE,2018-08-24T21:53:41Z,Lincoln Financial Field,Philadelphia,0.90542685999999994,PA,Lincoln Financial Field,0,US,TRUE,19148,16,America/New_York,https://seatgeek.com/venues/lincoln-financial-field/tickets,1020 Pattison Ave,"Philadelphia, PA",lincoln-financial-field,"Philadelphia, PA 19148",330,-75.1675,39.9046,FALSE,QRCODE_TM,2015-07-10T00:00:00Z
FALSE,2018-04-20T00:47:29,0.816,2018-12-07T00:20:00,Jacksonville Jaguars at Tennessee Titans,2018-12-07T04:20:00,Jaguars at Titans,2018-12-06T19:20:00,FALSE,https://seatgeek.com/jaguars-at-titans-tickets/12-6-2018-nashville-tennessee-nissan-stadium/nfl/4346987,FALSE,0.743,nfl,,2018-04-20T00:00:00,normal,4346987,FALSE,NA,2319,215.23,NA,NA,645,40,40,FALSE,QRCODE,2018-08-24T21:53:42Z,Nissan Stadium,Nashville,0.8546275,TN,Nissan Stadium,0,US,TRUE,37213,16,America/New_York,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN",nissan-stadium,"Nashville, TN 37213",1126,-86.7713,36.1665,FALSE,NONE,2015-10-19T15:09:39Z
FALSE,2018-04-20T00:47:15,0.844,2018-12-09T18:00:00,New Orleans Saints at Tampa Bay Buccaneers,2018-12-09T22:00:00,Saints at Buccaneers,2018-12-09T13:00:00,FALSE,https://seatgeek.com/saints-at-buccaneers-tickets/12-9-2018-tampa-florida-raymond-james-stadium/nfl/4346926,FALSE,0.765,nfl,,2018-04-20T00:00:00,normal,4346926,FALSE,NA,535,200.13,NA,NA,38,62,62,FALSE,QRCODE,2018-08-24T21:53:42Z,Raymond James Stadium,Tampa,0.86513025,FL,Raymond James Stadium,0,US,TRUE,33607,15,America/New_York,https://seatgeek.com/venues/raymond-james-stadium/tickets,4201 North Dale Mabry Highway,"Tampa, FL",raymond-james-stadium,"Tampa, FL 33607",39,-82.5034,27.9753,FALSE,QRCODE_TM,2015-08-24T14:44:53Z
FALSE,2018-04-20T00:47:31,0.85,2018-12-09T18:00:00,Carolina Panthers at Cleveland Browns,2018-12-09T22:00:00,Panthers at Browns,2018-12-09T13:00:00,FALSE,https://seatgeek.com/panthers-at-browns-tickets/12-9-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346995,FALSE,0.779,nfl,,2018-04-20T00:00:00,normal,4346995,FALSE,NA,1172,90.79,NA,NA,1232,30,30,FALSE,QRCODE,2018-08-24T21:53:42Z,FirstEnergy Stadium,Cleveland,0.86852187,OH,FirstEnergy Stadium,0,US,TRUE,44114,7,America/New_York,https://seatgeek.com/venues/firstenergy-stadium-15/tickets,100 Alfred Lerner Way,"Cleveland, OH",firstenergy-stadium-15,"Cleveland, OH 44114",1123,-81.7,41.5065,FALSE,NONE,2015-11-11T20:55:31Z
FALSE,2018-04-20T00:47:32,0.86,2018-12-09T18:00:00,Los Angeles Rams at Chicago Bears,2018-12-09T22:00:00,Rams at Bears,2018-12-09T12:00:00,FALSE,https://seatgeek.com/rams-at-bears-tickets/12-9-2018-chicago-illinois-soldier-field/nfl/4347003,FALSE,0.784,nfl,,2018-04-20T00:00:00,normal,4347003,FALSE,NA,2225,252.2,NA,NA,260,85,85,FALSE,QRCODE,2018-08-24T21:53:42Z,Soldier Field,Chicago,0.940013,IL,Soldier Field,0,US,TRUE,60605,12,America/Chicago,https://seatgeek.com/venues/soldier-field/tickets,1410 S. Museum Campus Drive,"Chicago, IL",soldier-field,"Chicago, IL 60605",31,-87.6159,41.8623,FALSE,NONE,2018-06-02T00:44:08Z
FALSE,2018-04-20T00:47:48,0.919,2018-12-09T18:00:00,New England Patriots at Miami Dolphins,2018-12-09T22:00:00,Patriots at Dolphins,2018-12-09T13:00:00,FALSE,https://seatgeek.com/patriots-at-dolphins-tickets/12-9-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347086,FALSE,0.817,nfl,,2018-04-20T00:00:00,normal,4347086,FALSE,NA,1138,391.09,NA,NA,137,201,201,FALSE,QRCODE,2018-08-24T21:53:42Z,Hard Rock Stadium,Miami Gardens,0.8378203,FL,Hard Rock Stadium,0,US,TRUE,33056,36,America/New_York,https://seatgeek.com/venues/hard-rock-stadium/tickets,347 Don Shula Dr.,"Miami Gardens, FL",hard-rock-stadium,"Miami Gardens, FL 33056",29,-80.24,25.96,FALSE,NONE,2017-10-03T18:58:44Z
FALSE,2018-04-20T00:47:17,0.93,2018-12-09T18:00:00,New York Giants at Washington Redskins,2018-12-09T22:00:00,Giants at Redskins,2018-12-09T13:00:00,FALSE,https://seatgeek.com/giants-at-redskins-tickets/12-9-2018-landover-maryland-fedex-field/nfl/4346935,FALSE,0.828,nfl,,2018-04-20T00:00:00,normal,4346935,FALSE,NA,1187,236.86,NA,NA,599,94,94,FALSE,QRCODE,2018-08-24T21:53:42Z,FedEx Field,Landover,0.9333444,MD,FedEx Field,0,US,TRUE,20785,9,America/New_York,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,"Landover, MD",fedex-field,"Landover, MD 20785",35,-76.8658,38.9071,FALSE,QRCODE_TM,2015-09-12T14:13:58Z
FALSE,2018-04-20T00:47:27,0.88,2018-12-09T18:00:00,Baltimore Ravens at Kansas City Chiefs,2018-12-09T22:00:00,Ravens at Chiefs,2018-12-09T12:00:00,FALSE,https://seatgeek.com/ravens-at-chiefs-tickets/12-9-2018-kansas-city-missouri-arrowhead-stadium/nfl/4346979,FALSE,0.798,nfl,,2018-04-20T00:00:00,normal,4346979,FALSE,NA,811,135.85,NA,NA,940,37,37,FALSE,QRCODE,2018-08-24T21:53:42Z,Arrowhead Stadium,Kansas City,0.8827867,MO,Arrowhead Stadium,0,US,TRUE,64129,9,America/Chicago,https://seatgeek.com/venues/arrowhead-stadium/tickets,1 Arrowhead Drive,"Kansas City, MO",arrowhead-stadium,"Kansas City, MO 64129",1128,-94.4839,39.0489,FALSE,QRCODE_TM,2015-08-20T16:20:51Z
