description,time_tbd,title,id,type,is_open,datetime_utc,score,visible_until_utc,created_at,announce_date,short_title,url,datetime_local,status,popularity,datetime_tbd,date_tbd,general_admission,lowest_price_good_deals,highest_price,median_price,visible_listing_count,listing_count,average_price,lowest_price,method,employee_only,created_at,num_upcoming_events,name_v2,id,postal_code,country,score,timezone,has_upcoming_events,slug,url,address,extended_address,name,city,display_location,popularity,state,metro_code,lat,lon,method,employee_only,created_at
,FALSE,Detroit Lions at Minnesota Vikings,4347140,nfl,FALSE,2018-11-04T18:00:00,0.926,2018-11-04T22:00:00,2018-04-20T01:04:05,2018-04-20T00:00:00,Lions at Vikings,https://seatgeek.com/lions-at-vikings-tickets/11-4-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347140,2018-11-04T12:00:00,normal,0.886,FALSE,FALSE,NA,101,1552,NA,NA,588,242.45,101,QRCODE,FALSE,2018-08-24T21:53:39Z,13,U.S. Bank Stadium,218451,55415,US,0.88524246,America/Chicago,TRUE,u-s-bank-stadium,https://seatgeek.com/venues/u-s-bank-stadium/tickets,401 Chicago Avenue,"Minneapolis, MN 55415",U.S. Bank Stadium,Minneapolis,"Minneapolis, MN",0,MN,0,44.97,-93.26,NONE,FALSE,2018-08-22T15:34:15Z
,FALSE,Pittsburgh Steelers at Baltimore Ravens,4347069,nfl,FALSE,2018-11-04T18:00:00,0.926,2018-11-04T22:00:00,2018-04-20T00:47:45,2018-04-20T00:00:00,Steelers at Ravens,https://seatgeek.com/steelers-at-ravens-tickets/11-4-2018-baltimore-maryland-m-t-bank-stadium/nfl/4347069,2018-11-04T13:00:00,normal,0.879,FALSE,FALSE,NA,123,959,198,1068,591,247.50253,126,QRCODE,FALSE,2018-08-24T21:53:39Z,8,M&T Bank Stadium,1121,21230,US,0.8927189,America/New_York,TRUE,m-t-bank-stadium,https://seatgeek.com/venues/m-t-bank-stadium/tickets,1101 Russell St,"Baltimore, MD 21230",M&T Bank Stadium,Baltimore,"Baltimore, MD",0,MD,512,39.2774,-76.623,QRCODE_TM,FALSE,2015-08-04T00:00:00Z
,FALSE,Atlanta Falcons at Washington Redskins,4346937,nfl,FALSE,2018-11-04T18:00:00,0.96,2018-11-04T22:00:00,2018-04-20T00:47:17,2018-04-20T00:00:00,Falcons at Redskins,https://seatgeek.com/falcons-at-redskins-tickets/11-4-2018-landover-maryland-fedex-field/nfl/4346937,2018-11-04T13:00:00,normal,0.909,FALSE,FALSE,NA,83,1016,NA,NA,675,195.33,83,QRCODE,FALSE,2018-08-24T21:53:39Z,8,FedEx Field,35,20785,US,0.9333444,America/New_York,TRUE,fedex-field,https://seatgeek.com/venues/fedex-field/tickets,1600 Fedex Way,"Landover, MD 20785",FedEx Field,Landover,"Landover, MD",0,MD,511,38.9071,-76.8658,QRCODE_TM,FALSE,2015-09-12T14:13:58Z
,FALSE,Chicago Bears at Buffalo Bills,4347061,nfl,FALSE,2018-11-04T18:00:00,0.927,2018-11-04T22:00:00,2018-04-20T00:47:43,2018-04-20T00:00:00,Bears at Bills,https://seatgeek.com/bears-at-bills-tickets/11-4-2018-orchard-park-new-york-new-era-field/nfl/4347061,2018-11-04T13:00:00,normal,0.884,FALSE,FALSE,NA,47,586,109,1387,685,138.73285,51,QRCODE,FALSE,2018-08-24T21:53:39Z,8,New Era Field,1135,14127,US,0.8815085,America/New_York,TRUE,new-era-field,https://seatgeek.com/venues/new-era-field/tickets,1 Bills Drive,"Orchard Park, NY 14127",New Era Field,Orchard Park,"Orchard Park, NY",0,NY,514,42.7737,-78.7874,QRCODE_TM,FALSE,2015-08-12T16:52:53Z
,FALSE,Tampa Bay Buccaneers at Carolina Panthers,4347033,nfl,FALSE,2018-11-04T18:00:00,0.903,2018-11-04T22:00:00,2018-04-20T00:47:38,2018-04-20T00:00:00,Buccaneers at Panthers,https://seatgeek.com/buccaneers-at-panthers-tickets/11-4-2018-charlotte-north-carolina-bank-of-america-stadium/nfl/4347033,2018-11-04T13:00:00,normal,0.862,FALSE,FALSE,NA,65,996,142,905,395,182.21266,65,QRCODE,FALSE,2018-08-24T21:53:39Z,9,Bank of America Stadium,1122,28202,US,0.8968222,America/New_York,TRUE,bank-of-america-stadium,https://seatgeek.com/venues/bank-of-america-stadium/tickets,800 South Mint Street,"Charlotte, NC 28202",Bank of America Stadium,Charlotte,"Charlotte, NC",0,NC,517,35.2243,-80.8524,QRCODE_TM,FALSE,2015-09-25T18:23:51Z
,FALSE,Los Angeles Chargers at Seattle Seahawks,4347127,nfl,FALSE,2018-11-04T21:05:00,0.946,2018-11-05T01:05:00,2018-04-20T00:47:56,2018-04-20T00:00:00,Chargers at Seahawks,https://seatgeek.com/chargers-at-seahawks-tickets/11-4-2018-seattle-washington-centurylink-field/nfl/4347127,2018-11-04T13:05:00,normal,0.895,FALSE,FALSE,NA,135,1351,328,694,273,358.56042,148,QRCODE,FALSE,2018-08-24T21:53:39Z,19,CenturyLink Field,339,98134,US,0.87232786,America/Los_Angeles,TRUE,centurylink-field,https://seatgeek.com/venues/centurylink-field/tickets,800 Occidental Ave S,"Seattle, WA 98134",CenturyLink Field,Seattle,"Seattle, WA",0,WA,819,47.6,-122.33,QRCODE,FALSE,2018-03-02T22:54:54Z
,FALSE,Houston Texans at Denver Broncos,4347141,nfl,FALSE,2018-11-04T21:05:00,0.905,2018-11-05T01:05:00,2018-04-20T01:04:05,2018-04-20T00:00:00,Texans at Broncos,https://seatgeek.com/texans-at-broncos-tickets/11-4-2018-denver-colorado-sports-authority-field-at-mile-high/nfl/4347141,2018-11-04T14:05:00,normal,0.869,FALSE,FALSE,NA,114,1270,274,1101,118,333.80508,141,QRCODE,FALSE,2018-08-24T21:53:39Z,7,Sports Authority Field at Mile High,1131,80204,US,0.9028296,America/Denver,TRUE,sports-authority-field-at-mile-high,https://seatgeek.com/venues/sports-authority-field-at-mile-high/tickets,1701 Bryant Street,"Denver, CO 80204",Sports Authority Field at Mile High,Denver,"Denver, CO",0,CO,751,39.74,-105.02,QRCODE_TM,FALSE,2015-08-07T18:39:02Z
,FALSE,Los Angeles Rams at New Orleans Saints,4346970,nfl,TRUE,2018-11-04T21:25:00,0.905,2018-11-05T01:25:00,2018-04-20T00:47:25,2018-04-20T00:00:00,Rams at Saints,https://seatgeek.com/rams-at-saints-tickets/11-4-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346970,2018-11-04T15:25:00,normal,0.866,FALSE,FALSE,NA,66,5941,210,1240,1390,245.27122,66,QRCODE,FALSE,2018-05-29T20:39:08Z,18,Mercedes-Benz Superdome,128,70112,US,0.8966978,America/Chicago,TRUE,mercedes-benz-superdome,https://seatgeek.com/venues/mercedes-benz-superdome/tickets,1500 Sugar Bowl Drive,"New Orleans, LA 70112",Mercedes-Benz Superdome,New Orleans,"New Orleans, LA",0,LA,622,29.9515,-90.0786,QRCODE_TM,FALSE,2018-08-27T20:46:59Z
,FALSE,Alex G,4494650,concert,FALSE,2018-11-05T01:00:00,0.528,2018-11-05T05:00:00,2018-08-23T19:51:10,2018-08-23T00:00:00,Alex G,https://seatgeek.com/alex-g-tickets/chicago-illinois-thalia-hall-2018-11-04-7-pm/concert/4494650,2018-11-04T19:00:00,normal,0.582,FALSE,FALSE,TRUE,NA,562,62,1,27,118,53,NA,NA,NA,58,Thalia Hall,60271,60608,US,0.51888376,America/Chicago,TRUE,thalia-hall,https://seatgeek.com/venues/thalia-hall/tickets,1807 S Allport St,"Chicago, IL 60608",Thalia Hall,Chicago,"Chicago, IL",0,IL,0,41.8577,-87.6575,NA,NA,NA
,FALSE,Green Bay Packers at New England Patriots,4347089,nfl,FALSE,2018-11-05T01:20:00,1.025,2018-11-05T05:20:00,2018-04-20T00:47:49,2018-04-20T00:00:00,Packers at Patriots,https://seatgeek.com/packers-at-patriots-tickets/11-4-2018-foxborough-massachusetts-gillette-stadium/nfl/4347089,2018-11-04T20:20:00,normal,0.96,FALSE,FALSE,NA,437,2018,764,642,254,867.063,457,QRCODE,FALSE,2018-08-24T21:53:39Z,16,Gillette Stadium,33,02035,US,0.8983344,America/New_York,TRUE,gillette-stadium,https://seatgeek.com/venues/gillette-stadium/tickets,1 Patriot Place,"Foxborough, MA 02035",Gillette Stadium,Foxborough,"Foxborough, MA",0,MA,506,42.0906,-71.2674,NONE,FALSE,2018-08-22T15:36:58Z
,FALSE,Tennessee Titans at Dallas Cowboys,4327922,nfl,TRUE,2018-11-06T01:15:00,0.991,2018-11-06T05:15:00,2018-04-05T23:08:47,2018-04-05T00:00:00,Titans at Cowboys,https://seatgeek.com/titans-at-cowboys-tickets/11-5-2018-arlington-texas-at-t-stadium/nfl/4327922,2018-11-05T19:15:00,normal,0.928,FALSE,FALSE,NA,23,6034,226,2825,3769,285.59937,23,QRCODE,FALSE,2018-04-17T22:02:33Z,23,AT&T Stadium,4965,76011,US,0.9751414,America/Chicago,TRUE,at-t-stadium,https://seatgeek.com/venues/at-t-stadium/tickets,1 AT&T Way,"Arlington, TX 76011",AT&T Stadium,Arlington,"Arlington, TX",0,TX,623,32.7459,-97.0957,QRCODE,FALSE,2018-04-17T22:02:33Z
,FALSE,Carolina Panthers at Pittsburgh Steelers,4347075,nfl,FALSE,2018-11-09T01:20:00,0.929,2018-11-09T05:20:00,2018-04-20T00:47:46,2018-04-20T00:00:00,Panthers at Steelers,https://seatgeek.com/panthers-at-steelers-tickets/11-8-2018-pittsburgh-pennsylvania-heinz-field/nfl/4347075,2018-11-08T20:20:00,normal,0.878,FALSE,FALSE,NA,89,1197,164,1108,623,209.39487,89,QRCODE,FALSE,2018-08-24T21:53:39Z,12,Heinz Field,1119,15212,US,0.9033526,America/New_York,TRUE,heinz-field,https://seatgeek.com/venues/heinz-field/tickets,100 Art Rooney Avenue,"Pittsburgh, PA 15212",Heinz Field,Pittsburgh,"Pittsburgh, PA",0,PA,508,40.4468,-80.0158,QRCODE_TM,FALSE,2015-12-08T15:36:23Z
,FALSE,New England Patriots at Tennessee Titans,4346990,nfl,FALSE,2018-11-11T17:00:00,0.966,2018-11-11T21:00:00,2018-04-20T00:47:30,2018-04-20T00:00:00,Patriots at Titans,https://seatgeek.com/patriots-at-titans-tickets/11-11-2018-nashville-tennessee-nissan-stadium/nfl/4346990,2018-11-11T12:00:00,normal,0.904,FALSE,FALSE,NA,209,1932,512,609,331,567.4532,209,QRCODE,FALSE,2018-08-24T21:53:40Z,15,Nissan Stadium,1126,37213,US,0.8546275,America/New_York,TRUE,nissan-stadium,https://seatgeek.com/venues/nissan-stadium/tickets,1 Titans Way,"Nashville, TN 37213",Nissan Stadium,Nashville,"Nashville, TN",0,TN,659,36.1665,-86.7713,NONE,FALSE,2015-10-19T15:09:39Z
