id,description,datetime_utc,date_tbd,popularity,datetime_tbd,url,time_tbd,status,title,announce_date,short_title,is_open,type,score,visible_until_utc,datetime_local,created_at,general_admission,lowest_price,highest_price,listing_count,average_price,lowest_price_good_deals,employee_only,created_at,method,num_upcoming_events,id,country,display_location,url,city,slug,extended_address,timezone,score,popularity,address,postal_code,has_upcoming_events,name_v2,name,state,lon,lat,employee_only,created_at,method
4346976,,2018-10-07T20:25:00,FALSE,0.914,FALSE,https://seatgeek.com/vikings-at-eagles-tickets/10-7-2018-philadelphia-pennsylvania-lincoln-financial-field/nfl/4346976,FALSE,normal,Minnesota Vikings at Philadelphia Eagles,2018-04-20T00:00:00,Vikings at Eagles,FALSE,nfl,0.958,2018-10-08T00:25:00,2018-10-07T16:25:00,2018-04-20T00:47:26,NA,152,2066,1696,457.6,152,FALSE,2018-08-24T21:03:38Z,QRCODE,18,330,US,"Philadelphia, PA",https://seatgeek.com/venues/lincoln-financial-field/tickets,Philadelphia,lincoln-financial-field,"Philadelphia, PA 19148",America/New_York,0.90542685999999994,0,1020 Pattison Ave,19148,TRUE,Lincoln Financial Field,Lincoln Financial Field,PA,-75.1675,39.9046,FALSE,2015-07-10T00:00:00Z,QRCODE_TM
4347020,,2018-10-08T00:20:00,FALSE,0.927,FALSE,https://seatgeek.com/cowboys-at-texans-tickets/10-7-2018-houston-texas-nrg-stadium/nfl/4347020,FALSE,normal,Dallas Cowboys at Houston Texans,2018-04-20T00:00:00,Cowboys at Texans,FALSE,nfl,0.985,2018-10-08T04:20:00,2018-10-07T19:20:00,2018-04-20T00:47:36,NA,284,14119,1481,652.78,284,FALSE,2018-08-24T21:04:53Z,QRCODE,47,41,US,"Houston, TX",https://seatgeek.com/venues/nrg-stadium/tickets,Houston,nrg-stadium,"Houston, TX 77054",America/Chicago,0.8624192,0,1 Reliant Park,77054,TRUE,NRG Stadium,NRG Stadium,TX,-95.4107,29.6847,FALSE,2015-11-04T18:42:27Z,QRCODE_TM
4474093,,2018-10-08T20:00:00,FALSE,0.423,FALSE,https://seatgeek.com/baltimore-ravens-at-a-purple-evening-tickets/sport/2018-10-08-4-pm/4474093,FALSE,normal,Baltimore Ravens at A Purple Evening,2018-08-03T00:00:00,Baltimore Ravens at A Purple Evening,FALSE,sports,0.353,2018-10-09T00:00:00,2018-10-08T16:00:00,2018-08-03T16:01:06,NA,76,569,12,244.25,NA,FALSE,2015-08-04T00:00:00Z,QRCODE_TM,9,1121,US,"Baltimore, MD",https://seatgeek.com/venues/m-t-bank-stadium/tickets,Baltimore,m-t-bank-stadium,"Baltimore, MD 21230",America/New_York,0.8927189,0,1101 Russell St,21230,TRUE,M&T Bank Stadium,M&T Bank Stadium,MD,-76.623,39.2774,FALSE,2015-08-04T00:00:00Z,QRCODE_TM
4346971,,2018-10-09T00:15:00,FALSE,0.874,FALSE,https://seatgeek.com/redskins-at-saints-tickets/10-8-2018-new-orleans-louisiana-mercedes-benz-superdome/nfl/4346971,FALSE,normal,Washington Redskins at New Orleans Saints,2018-04-20T00:00:00,Redskins at Saints,TRUE,nfl,0.908,2018-10-09T04:15:00,2018-10-08T19:15:00,2018-04-20T00:47:25,NA,83,5941,1416,248.89,83,FALSE,2018-05-29T20:38:55Z,QRCODE,20,128,US,"New Orleans, LA",https://seatgeek.com/venues/mercedes-benz-superdome/tickets,New Orleans,mercedes-benz-superdome,"New Orleans, LA 70112",America/Chicago,0.8966978,0,1500 Sugar Bowl Drive,70112,TRUE,Mercedes-Benz Superdome,Mercedes-Benz Superdome,LA,-90.0786,29.9515,FALSE,2018-08-27T20:46:59Z,QRCODE_TM
4346917,,2018-10-12T00:20:00,FALSE,0.915,FALSE,https://seatgeek.com/eagles-at-giants-tickets/10-11-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346917,FALSE,normal,Philadelphia Eagles at New York Giants,2018-04-20T00:00:00,Eagles at Giants,FALSE,nfl,0.974,2018-10-12T04:20:00,2018-10-11T20:20:00,2018-04-20T00:47:14,NA,136,4412,2230,366.04,136,FALSE,2018-08-24T21:52:02Z,QRCODE,21,1587,US,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,East Rutherford,metlife-stadium,"East Rutherford, NJ 07073",America/New_York,0.94873494,0,1 MetLife Stadium Drive,07073,TRUE,MetLife Stadium,MetLife Stadium,NJ,-74.0737,40.8142,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
4192619,,2018-10-13T17:00:00,FALSE,0.526,FALSE,https://seatgeek.com/alabama-state-hornets-at-south-alabama-jaguars-football-tickets/ncaa-football/2018-10-13-12-pm/4192619,FALSE,normal,Alabama State Hornets at South Alabama Jaguars Football,2017-12-21T00:00:00,Alabama State at South Alabama,FALSE,ncaa_football,0.477,2018-10-13T21:00:00,2018-10-13T12:00:00,2017-12-21T15:00:36,NA,32,124,17,52.77,32,NA,NA,NA,7,3716,US,"Mobile, AL",https://seatgeek.com/venues/ladd-peebles-stadium/tickets,Mobile,ladd-peebles-stadium,"Mobile, AL 36604",America/Chicago,0.50177634,0,1621 Virginia St.,36604,TRUE,Ladd Peebles Stadium,Ladd Peebles Stadium,AL,-88.0761,30.6748,NA,NA,NA
4346961,,2018-10-14T17:00:00,FALSE,0.898,FALSE,https://seatgeek.com/colts-at-jets-tickets/10-14-2018-east-rutherford-new-jersey-metlife-stadium/nfl/4346961,FALSE,normal,Indianapolis Colts at New York Jets,2018-04-20T00:00:00,Colts at Jets,FALSE,nfl,0.951,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:22,NA,50,6040,2273,197.11,50,FALSE,2018-08-24T21:52:02Z,QRCODE,21,1587,US,"East Rutherford, NJ",https://seatgeek.com/venues/metlife-stadium/tickets,East Rutherford,metlife-stadium,"East Rutherford, NJ 07073",America/New_York,0.94873494,0,1 MetLife Stadium Drive,07073,TRUE,MetLife Stadium,MetLife Stadium,NJ,-74.0737,40.8142,FALSE,2015-09-12T14:14:07Z,QRCODE_TM
4347042,,2018-10-14T17:00:00,FALSE,0.875,FALSE,https://seatgeek.com/steelers-at-bengals-tickets/10-14-2018-cincinnati-ohio-paul-brown-stadium/nfl/4347042,FALSE,normal,Pittsburgh Steelers at Cincinnati Bengals,2018-04-20T00:00:00,Steelers at Bengals,FALSE,nfl,0.921,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:40,NA,68,1505,903,203.35,68,FALSE,2018-08-24T21:53:35Z,QRCODE,9,1124,US,"Cincinnati, OH",https://seatgeek.com/venues/paul-brown-stadium/tickets,Cincinnati,paul-brown-stadium,"Cincinnati, OH 45202",America/New_York,0.86166537,0,1 Paul Brown Stadium,45202,TRUE,Paul Brown Stadium,Paul Brown Stadium,OH,-84.5177,39.0961,FALSE,2015-10-09T16:14:37Z,QRCODE_TM
4347051,,2018-10-14T17:00:00,FALSE,0.887,FALSE,https://seatgeek.com/buccaneers-at-falcons-tickets/10-14-2018-atlanta-georgia-mercedes-benz-stadium/nfl/4347051,FALSE,normal,Tampa Bay Buccaneers at Atlanta Falcons,2018-04-20T00:00:00,Buccaneers at Falcons,FALSE,nfl,0.927,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:42,NA,71,11921,1798,258.2,71,FALSE,2018-08-24T21:53:35Z,QRCODE,15,419590,US,"Atlanta, GA",https://seatgeek.com/venues/mercedes-benz-stadium/tickets,Atlanta,mercedes-benz-stadium,"Atlanta, GA 30313",America/New_York,0.76958936,0,35 Northside Dr NW,30313,TRUE,Mercedes-Benz Stadium,Mercedes-Benz Stadium,GA,-84.4,33.76,FALSE,2018-08-23T20:14:46Z,QRCODE
4347081,,2018-10-14T17:00:00,FALSE,0.872,FALSE,https://seatgeek.com/bears-at-dolphins-tickets/10-14-2018-miami-gardens-florida-hard-rock-stadium/nfl/4347081,FALSE,normal,Chicago Bears at Miami Dolphins,2018-04-20T00:00:00,Bears at Dolphins,FALSE,nfl,0.92,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:47,NA,94,11398,1821,323.42,94,FALSE,2018-08-24T21:53:35Z,QRCODE,39,29,US,"Miami Gardens, FL",https://seatgeek.com/venues/hard-rock-stadium/tickets,Miami Gardens,hard-rock-stadium,"Miami Gardens, FL 33056",America/New_York,0.8378203,0,347 Don Shula Dr.,33056,TRUE,Hard Rock Stadium,Hard Rock Stadium,FL,-80.24,25.96,FALSE,2017-10-03T18:58:44Z,NONE
4347145,,2018-10-14T17:00:00,FALSE,0.89,FALSE,https://seatgeek.com/cardinals-at-vikings-tickets/10-14-2018-minneapolis-minnesota-u-s-bank-stadium/nfl/4347145,FALSE,normal,Arizona Cardinals at Minnesota Vikings,2018-04-20T00:00:00,Cardinals at Vikings,FALSE,nfl,0.931,2018-10-14T21:00:00,2018-10-14T12:00:00,2018-04-20T01:04:06,NA,104,1694,1190,320.42,104,FALSE,2018-08-24T21:53:38Z,QRCODE,14,218451,US,"Minneapolis, MN",https://seatgeek.com/venues/u-s-bank-stadium/tickets,Minneapolis,u-s-bank-stadium,"Minneapolis, MN 55415",America/Chicago,0.88524246,0,401 Chicago Avenue,55415,TRUE,U.S. Bank Stadium,U.S. Bank Stadium,MN,-93.26,44.97,FALSE,2018-08-22T15:34:15Z,NONE
4346942,,2018-10-14T17:00:00,FALSE,0.918,FALSE,https://seatgeek.com/panthers-at-redskins-tickets/10-14-2018-landover-maryland-fedex-field/nfl/4346942,FALSE,normal,Carolina Panthers at Washington Redskins,2018-04-20T00:00:00,Panthers at Redskins,FALSE,nfl,0.966,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:18,NA,96,1276,1827,234.99,96,FALSE,2018-08-24T21:52:02Z,QRCODE,9,35,US,"Landover, MD",https://seatgeek.com/venues/fedex-field/tickets,Landover,fedex-field,"Landover, MD 20785",America/New_York,0.9333444,0,1600 Fedex Way,20785,TRUE,FedEx Field,FedEx Field,MD,-76.8658,38.9071,FALSE,2015-09-12T14:13:58Z,QRCODE_TM
4346998,,2018-10-14T17:00:00,FALSE,0.862,FALSE,https://seatgeek.com/chargers-at-browns-tickets/10-14-2018-cleveland-ohio-firstenergy-stadium-15/nfl/4346998,FALSE,normal,Los Angeles Chargers at Cleveland Browns,2018-04-20T00:00:00,Chargers at Browns,FALSE,nfl,0.898,2018-10-14T21:00:00,2018-10-14T13:00:00,2018-04-20T00:47:31,NA,31,6158,2033,133.28,32,FALSE,2018-08-24T21:53:35Z,QRCODE,8,1123,US,"Cleveland, OH",https://seatgeek.com/venues/firstenergy-stadium-15/tickets,Cleveland,firstenergy-stadium-15,"Cleveland, OH 44114",America/New_York,0.86852187,0,100 Alfred Lerner Way,44114,TRUE,FirstEnergy Stadium,FirstEnergy Stadium,OH,-81.7,41.5065,FALSE,2015-11-11T20:55:31Z,NONE
